meeting_id,entity_id,entity_legal_name,country_code,committee_name,meeting_type,meeting_date,reporting_year,board_size,members_present,attendance_rate_pct,esg_agenda_flag,decision_made_flag,esg_topics_discussed,linked_kpi_code,linked_kpi_name,linked_erm_risk_id,linked_erm_risk_name,decision_summary,action_owner_function,action_due_date,action_status,minutes_status,data_source,created_from
MTG-000001,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2019-01-04,2019,11,9,81.8,True,True,Annual sustainability report sign-off,FIN-012,"Financed emissions Scope 1, 2 and 3",,,Decision recorded: Annual sustainability report sign-off | linked KPI FIN-012,Sustainability Office,2019-05-19,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000002,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2019-04-25,2019,10,9,90.0,True,True,Transition risk appetite approval,FIN-008,Sovereign bond exposure,RISK-010,Client transition plan credibility risk,Decision recorded: Transition risk appetite approval | linked KPI FIN-008 | linked risk RISK-010,Relationship Banking,2019-10-11,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000003,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2019-07-22,2019,11,7,63.6,True,True,Project finance emissions methodology review,FIN-003,High-emission sector exposure,RISK-006,Mandatory climate disclosure non-compliance,Decision recorded: Project finance emissions methodology review | linked KPI FIN-003 | linked risk RISK-006,Compliance,2019-11-24,completed,draft,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000004,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2019-10-11,2019,11,9,81.8,True,True,Supplier ESG policy update,GOV-001,Board meetings with ESG agenda,,,Decision recorded: Supplier ESG policy update | linked KPI GOV-001,Compliance,2019-11-16,in_progress,pending_review,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000005,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2019-03-18,2019,7,7,100.0,True,True,Real estate collateral emissions review; ESG remuneration KPI setting,FIN-008,Sovereign bond exposure,RISK-002,Storm surge - coastal collateral,Decision recorded: Real estate collateral emissions review | linked KPI FIN-008 | linked risk RISK-002,Credit Risk,2019-06-25,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000006,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2019-06-21,2019,9,9,100.0,True,True,Green bond framework update; Project finance emissions methodology review,ENV-001,Scope 1 emissions,,,Decision recorded: Green bond framework update | linked KPI ENV-001,Board Secretariat,2019-11-23,deferred,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000007,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2019-09-13,2019,8,7,87.5,True,True,Project finance emissions methodology review; Green bond framework update,FIN-001,Financed emissions Scope 1 and 2,RISK-008,Stranded assets - fossil fuel sector,Decision recorded: Project finance emissions methodology review | linked KPI FIN-001 | linked risk RISK-008,Sector Risk,2020-02-07,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000008,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2019-12-13,2019,8,7,87.5,True,False,Green bond framework update; Net-zero target progress review,FIN-011,Motor vehicle exposure,,,Committee review completed; action items assigned,Internal Audit,,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000009,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2020-01-17,2020,10,10,100.0,True,True,Annual sustainability report sign-off,ENV-004,Energy consumption,,,Decision recorded: Annual sustainability report sign-off | linked KPI ENV-004,Data Governance,2020-04-01,not_started,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000010,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2020-04-14,2020,9,9,100.0,False,False,,,,,,,,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
