credit_id,entity_id,entity_legal_name,country_code,reporting_year,standard,project_type,credit_type,vintage_year,volume_tco2e,price_eur_per_tco2e,total_cost_eur,status,registry_serial,additionality_verified,permanence_rating,use_case,currency,data_source,created_from
CC-00000001,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,CDM,methane_capture,avoidance_reduction,2017,104.79,18.45,1933.13,purchased,CDM-2017-745728,True,high,operational_emissions_offset,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000002,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,CAR,methane_capture,carbon_removal,2018,104.79,17.1,1791.9,retired,CAR-2018-899099,True,medium,carbon_neutral_product,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000003,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,VCS,blue_carbon,carbon_removal,2015,299.05,16.45,4920.54,purchased,VCS-2015-427515,True,high,carbon_neutral_product,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000004,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,VCS,blue_carbon,avoidance_reduction,2017,188.31,14.6,2748.95,retired,VCS-2017-516646,True,high,carbon_neutral_product,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000005,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,VCS,cookstoves,avoidance_reduction,2015,959.48,19.39,18600.35,purchased,VCS-2015-857521,True,medium,operational_emissions_offset,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000006,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,Gold_Standard,forestry_REDD,carbon_removal,2016,1066.52,26.56,28329.13,purchased,GOL-2016-600081,True,high,operational_emissions_offset,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000007,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,VCS,renewable_energy,avoidance_reduction,2017,334.54,16.78,5612.95,retired,VCS-2017-181509,True,high,operational_emissions_offset,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000008,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,Gold_Standard,renewable_energy,carbon_removal,2017,128.34,13.75,1765.2,retired,GOL-2017-925886,True,medium,carbon_neutral_product,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000009,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,VCS,renewable_energy,carbon_removal,2016,225.95,13.05,2948.53,retired,VCS-2016-794396,True,high,operational_emissions_offset,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000010,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,Gold_Standard,methane_capture,avoidance_reduction,2018,418.78,12.38,5184.48,retired,GOL-2018-646476,True,high,client_solution_inventory,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000011,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,CAR,methane_capture,avoidance_reduction,2016,2377.21,18.68,44405.09,purchased,CAR-2016-335025,True,high,operational_emissions_offset,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000012,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,CAR,renewable_energy,avoidance_reduction,2018,842.11,16.05,13512.32,purchased,CAR-2018-592215,True,medium,carbon_neutral_product,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000013,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,VCS,methane_capture,avoidance_reduction,2015,375.17,9.51,3569.62,purchased,VCS-2015-781738,True,high,operational_emissions_offset,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000014,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,Gold_Standard,forestry_REDD,avoidance_reduction,2017,232.04,20.61,4782.7,purchased,GOL-2017-990714,True,medium,operational_emissions_offset,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000015,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,CAR,renewable_energy,carbon_removal,2017,1366.98,22.24,30395.97,purchased,CAR-2017-704010,False,medium,operational_emissions_offset,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000016,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,Gold_Standard,renewable_energy,avoidance_reduction,2017,239.87,8.69,2083.33,purchased,GOL-2017-427310,False,high,operational_emissions_offset,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000017,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,Gold_Standard,methane_capture,avoidance_reduction,2019,700.25,18.0,12601.86,purchased,GOL-2019-944884,True,low,operational_emissions_offset,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000018,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,Gold_Standard,renewable_energy,avoidance_reduction,2018,186.6,19.07,3558.18,purchased,GOL-2018-966889,False,high,operational_emissions_offset,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000019,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,Gold_Standard,blue_carbon,avoidance_reduction,2016,289.64,14.14,4096.42,purchased,GOL-2016-972435,False,medium,client_solution_inventory,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000020,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,CDM,renewable_energy,avoidance_reduction,2019,650.58,17.13,11147.02,purchased,CDM-2019-469197,True,medium,operational_emissions_offset,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000021,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,CAR,forestry_REDD,avoidance_reduction,2016,3956.07,10.42,41235.54,purchased,CAR-2016-772064,True,low,operational_emissions_offset,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000022,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,Gold_Standard,methane_capture,carbon_removal,2015,496.94,15.45,7677.25,purchased,GOL-2015-940934,True,high,carbon_neutral_product,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000023,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,Gold_Standard,renewable_energy,avoidance_reduction,2015,115.82,11.04,1278.3,purchased,GOL-2015-877882,True,medium,operational_emissions_offset,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000024,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,Gold_Standard,blue_carbon,avoidance_reduction,2019,337.44,14.85,5010.81,purchased,GOL-2019-557534,False,high,client_solution_inventory,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000025,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,Gold_Standard,renewable_energy,avoidance_reduction,2018,136.09,10.25,1395.3,purchased,GOL-2018-773942,False,medium,client_solution_inventory,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000026,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,CDM,renewable_energy,carbon_removal,2017,730.21,14.76,10778.69,purchased,CDM-2017-359138,True,high,operational_emissions_offset,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000027,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,VCS,cookstoves,avoidance_reduction,2019,264.88,13.34,3533.31,purchased,VCS-2019-933824,True,low,operational_emissions_offset,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000028,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,Gold_Standard,forestry_REDD,carbon_removal,2017,4531.94,14.68,66549.23,purchased,GOL-2017-893468,True,high,client_solution_inventory,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000029,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,Gold_Standard,forestry_REDD,carbon_removal,2015,842.46,18.24,15364.35,purchased,GOL-2015-619673,True,high,operational_emissions_offset,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
CC-00000030,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,Gold_Standard,forestry_REDD,avoidance_reduction,2015,1685.58,13.6,22917.06,purchased,GOL-2015-845395,True,low,client_solution_inventory,EUR,synthetic_carbon_credit_registry,synthetic_carbon_credits_generation_v1
