policy_ref_id,entity_id,entity_legal_name,country_code,reporting_year,regulatory_regime,intl_agreement_name,intl_agreement_year,intl_agreement_body,temperature_pathway_c,jurisdiction_policy_regime,ndc_ambition_summary,national_net_zero_year,linked_scenario_ids,scenario_temp_pathways,scenario_includes_1_5c,linked_kpi_targets_json,carbon_price_eur_per_tco2e,carbon_price_applies_to_financed_emissions,ifrs_s2_para_refs,policy_context_narrative,intl_agreement_alignment_note,jurisdictional_commitment_summary,scenario_policy_assumption_note,target_informed_by_agreement_note,data_source,created_from
POLREF-ENT-GROUP-001-2019,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,CSRD,Paris Agreement 2°C,2015,UNFCCC,2.0,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,[],[],0,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 313.2101, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 387.141, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 700.3512, ""target_year"": 2030, ""baseline_year"": 2019}]",33.92,False,"§14(a), §22(i)(4), §22(ii)(1), §33(h), §34(a)","Atlas Banking Group SA operates within the regulatory framework of the EU, complying with the Corporate Sustainability Reporting Directive (CSRD), the EU Emissions Trading System (EU ETS), and the French Loi Energie-Climat. These policies drive the entity's commitments towards significant emission reductions aligned with EU-wide climate goals by 2030.","The entity aligns its climate approach with the Paris Agreement's 2°C temperature pathway, reflecting international efforts to limit global warming and mitigate climate risks.","France, as part of the EU, adopts a nationally determined contribution aiming for a 55% reduction in greenhouse gas emissions by 2030 compared to 1990 levels and a net-zero target year of 2050. These commitments establish a clear trajectory for the entity's climate strategy within its jurisdiction.","In preparing climate-related disclosures, the entity has assumed a 2.0°C temperature pathway consistent with the Paris Agreement but does not incorporate a 1.5°C scenario within its current reporting.","Atlas Banking Group SA has set specific climate-related targets for 2030, including reductions in Scope 1, Scope 2 location-based, and total operational emissions relative to the 2019 baseline. These targets reflect the ambitions of the Paris Agreement and the EU's regulatory objectives to meet the 2°C limit.",Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
POLREF-ENT-GROUP-001-2020,ENT-GROUP-001,Atlas Banking Group SA,FR,2020,CSRD,Paris Agreement 2°C,2015,UNFCCC,2.0,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,[],[],0,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 313.2101, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 387.141, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 700.3512, ""target_year"": 2030, ""baseline_year"": 2019}]",36.86,False,"§14(a), §22(i)(4), §22(ii)(1), §33(h), §34(a)","Atlas Banking Group SA operates within a robust regulatory environment shaped by the EU Climate directives including the CSRD, EU ETS, and the Loi Energie-Climat. These policies collectively enforce stringent emissions reporting and reduction requirements, driving the entity to establish clear climate-related targets consistent with European climate ambitions. The entity's emissions reduction targets for Scope 1 and Scope 2 align with these directives, reflecting a strategic response to regulatory expectations.","The entity's climate strategy aligns with the Paris Agreement's 2°C temperature pathway, illustrating its commitment to international efforts aimed at limiting global warming. Although not adopting the more ambitious 1.5°C pathway, its alignment with the 2.0°C scenario demonstrates a substantive engagement with the key global climate accord.","France, as an EU member state, commits to a 55% reduction in emissions by 2030 relative to 1990 levels, underpinned by the European Union's comprehensive climate framework. The nation target's net-zero emissions by 2050, supported by policies such as the EU ETS and the Loi Energie-Climat, positions entities like Atlas Banking Group SA within a jurisdiction prioritizing long-term decarbonization and climate resilience.","In its scenario analysis, the entity assumes continuation of current EU policies under the EU ETS and CSRD frameworks, which are designed to drive substantial emissions reductions by 2030. The reliance on a 2.0°C pathway serves as the basis for assessing climate-related risks and opportunities in accordance with prevailing policy trajectories.","Atlas Banking Group SA's climate targets for Scope 1 and Scope 2 emissions reductions by 2030 are informed by the ambitions of the Paris Agreement, ensuring that operational goals support broader international climate commitments. These targets reflect the entity's proactive alignment with the 2°C temperature goal, demonstrating integration of global climate objectives into its strategic planning and disclosures.",Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
POLREF-ENT-GROUP-001-2021,ENT-GROUP-001,Atlas Banking Group SA,FR,2021,CSRD,Paris Agreement 2°C,2015,UNFCCC,2.0,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,[],[],0,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 313.2101, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 387.141, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 700.3512, ""target_year"": 2030, ""baseline_year"": 2019}]",45.58,False,"§14(a), §22(i)(4), §22(ii)(1), §33(h), §34(a)","Atlas Banking Group SA operates within the EU regulatory framework, specifically under the CSRD, EU ETS, and the Loi Energie-Climat. These policies drive the bank's approach to emissions reductions and sustainability reporting, aligning operational practices with regional climate goals.","The entity's climate strategy is aligned with the Paris Agreement 2°C goal, supporting international efforts to limit global warming and contributing to global emissions reductions consistent with this temperature pathway.","The European Union has committed to a 55% reduction in emissions by 2030 compared to 1990 levels and aims to achieve net-zero emissions by 2050. Atlas Banking Group SA's operational targets reflect these commitments, demonstrating adherence to stringent EU climate policies.","The bank employs an internal carbon price of EUR 45.6 per ton of CO2e, which is not applied to financed emissions, indicating a focus on operational emissions in line with jurisdictional policy instruments without extending to investment-related emissions.","Climate targets, including reductions in Scope 1 and Scope 2 emissions by 2030 relative to 2019 baselines, are informed by the Paris Agreement's objectives and EU climate commitments. These targets underscore the bank's dedication to contributing to the broader 2°C pathway through measurable operational emissions reductions.",Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
POLREF-ENT-GROUP-001-2022,ENT-GROUP-001,Atlas Banking Group SA,FR,2022,CSRD,Paris Agreement 2°C,2015,UNFCCC,2.0,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,[],[],0,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 313.2101, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 387.141, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 700.3512, ""target_year"": 2030, ""baseline_year"": 2019}]",51.61,False,"§14(a), §22(i)(4), §22(ii)(1), §33(h), §34(a)","Atlas Banking Group SA operates under the EU regulatory regime including CSRD, EU ETS, and the Loi Energie-Climat, which collectively drive emissions reductions within its operational framework. The entity has established specific climate-related KPI targets focused on reducing Scope 1 and Scope 2 emissions by 2030 relative to a 2019 baseline, demonstrating alignment with evolving policy expectations in France and the broader EU.","The entity aligns its climate strategy with the Paris Agreement 2°C pathway (2015, UNFCCC), targeting emission reductions consistent with limiting global warming to 2.0 degrees Celsius.","France, within the EU context, targets a 55% reduction in emissions by 2030 compared to 1990 levels, with a national net-zero goal set for 2050. Atlas Banking Group SA's operations are influenced by these commitments as embedded in the EU CSRD and related legislative instruments.","The climate-related scenarios used by the entity incorporate the EU's current policy frameworks without modeling a 1.5°C pathway, focusing instead on the 2.0°C temperature target consistent with its international commitments.",Atlas Banking Group SA's emission reduction targets for Scope 1 and Scope 2 operations by 2030 are informed directly by its alignment with the Paris Agreement 2°C goal and the EU's mid-century net-zero ambition. These targets reflect the entity's contribution to fulfilling jurisdictional and international climate objectives.,Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
POLREF-ENT-GROUP-001-2023,ENT-GROUP-001,Atlas Banking Group SA,FR,2023,CSRD,Paris Agreement 2°C,2015,UNFCCC,2.0,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,[],[],0,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 313.2101, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 387.141, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 700.3512, ""target_year"": 2030, ""baseline_year"": 2019}]",63.52,False,"§14(a), §22(i)(4), §22(ii)(1), §33(h), §34(a)","Atlas Banking Group SA operates within the EU regulatory framework, specifically under the CSRD, EU ETS, and the Loi Energie-Climat. These policies collectively aim to reduce emissions and promote sustainable finance, influencing the entity's climate-related disclosures and targets.",The entity aligns its climate strategy with the Paris Agreement's 2°C temperature pathway established under the 2015 UNFCCC framework. This alignment informs its overall approach to managing climate-related impacts and setting emission reduction targets.,"France, as part of the EU, has committed to the EU's climate ambitions, including a 55% emission reduction by 2030 compared to 1990 levels and achieving carbon neutrality by 2050. These jurisdictional commitments set the regulatory backdrop for the entity's climate targets and disclosures.",The entity's scenario analysis assumes a 2.0°C temperature pathway consistent with the Paris Agreement but does not include a 1.5°C pathway. This assumption reflects current regulatory and policy expectations influencing the entity's transition planning.,Atlas Banking Group SA's emission reduction targets for Scope 1 and Scope 2 emissions by 2030 are informed by the commitments under the Paris Agreement and the EU's regulatory regime. These targets provide a clear operational benchmark aligned with international and jurisdictional climate goals.,Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
POLREF-ENT-GROUP-001-2024,ENT-GROUP-001,Atlas Banking Group SA,FR,2024,CSRD,Paris Agreement 1.5°C,2015,UNFCCC,1.5,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,"[""NGFS_NET_ZERO_2050"", ""NGFS_DISORDERLY"", ""NGFS_HOT_HOUSE_WORLD""]","[1.5, 2.0, 3.5]",1,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 313.2101, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 387.141, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 700.3512, ""target_year"": 2030, ""baseline_year"": 2019}]",67.74,False,"§14(a), §22(i)(4), §22(ii)(1), §33(h), §34(a)","Atlas Banking Group SA operates within the regulatory framework of the EU, specifically under the CSRD, EU ETS, and the Loi Energie-Climat. These policies collectively guide the entity's approach to managing climate-related impacts and emissions reductions in alignment with EU climate ambitions.",The entity aligns its climate strategy with the Paris Agreement's goal to limit global warming to 1.5°C. This commitment is reflected in the inclusion of the 1.5°C temperature pathway in its climate scenario analyses.,"France, as part of the EU, has committed to a Nationally Determined Contribution (NDC) of reducing emissions by 55% by 2030 compared to 1990 levels, and a national net-zero target year of 2050. Atlas Banking Group SA incorporates these jurisdictional targets into its operational emissions reduction goals.","Climate transition scenarios applied by the entity explicitly include the 1.5°C temperature pathway, alongside 2.0°C and 3.5°C pathways, to assess potential physical and transition risks under varying climate futures.","Atlas Banking Group SA has set specific emissions reduction targets for Scope 1 and Scope 2 emissions to be achieved by 2030, using 2019 as the baseline year. These targets support alignment with the Paris Agreement and EU legislative requirements by directly addressing operational emissions within the entity's control.",Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
POLREF-ENT-FR-002-2019,ENT-FR-002,Atlas Retail Bank France SA,FR,2019,CSRD,Paris Agreement 2°C,2015,UNFCCC,2.0,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,[],[],0,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 313.2101, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 387.141, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 700.3512, ""target_year"": 2030, ""baseline_year"": 2019}]",40.63,False,"§14(a), §22(i)(4), §22(ii)(1), §33(h), §34(a)","Atlas Retail Bank France SA operates within the regulatory framework established by the EU, including the CSRD, EU ETS, and the Loi Energie-Climat. The bank has established climate-related KPI targets focusing on reducing Scope 1 and Scope 2 emissions by 2030 relative to 2019 levels, reflecting its commitment to operational emissions reductions.","The entity's climate strategy aligns with the Paris Agreement's 2°C temperature pathway, demonstrating adherence to internationally recognized climate goals established under the UNFCCC.","The jurisdictional policy regime reflects the EU's ambitious climate commitments, with a Nationally Determined Contribution (NDC) target of reducing emissions by 55% by 2030 compared to 1990 levels and a net-zero target by 2050. These commitments guide the entity's regulatory obligations and climate-related disclosures.","The entity employs a 2.0°C temperature pathway scenario consistent with the Paris Agreement but does not include a 1.5°C pathway in its scenario assumptions, shaping its strategic planning and risk assessment processes accordingly.",Atlas Retail Bank France SA's emission reduction targets for Scope 1 and Scope 2 align with the broader Paris Agreement objectives to limit global warming to well below 2°C. These targets support the entity's contribution to the EU's climate ambitions and demonstrate alignment with national and international climate policy frameworks.,Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
POLREF-ENT-FR-002-2020,ENT-FR-002,Atlas Retail Bank France SA,FR,2020,CSRD,Paris Agreement 2°C,2015,UNFCCC,2.0,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,[],[],0,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 313.2101, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 387.141, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 700.3512, ""target_year"": 2030, ""baseline_year"": 2019}]",44.73,False,"§14(a), §22(i)(4), §22(ii)(1), §33(h), §34(a)","Atlas Retail Bank France SA operates under the EU regulatory regime, including the CSRD, EU ETS, and the Loi Energie-Climat, which collectively enforce stringent climate-related disclosure and emission reduction requirements. The entity's climate strategy reflects these policies through specific operational emissions targets for Scope 1 and Scope 2 by 2030, established against a 2019 baseline.","The entity aligns its climate approach with the Paris Agreement's 2°C temperature pathway, consistent with the international goal to limit global warming. However, it does not incorporate a 1.5°C pathway in its current scenario analysis.","France, as part of the EU, has committed to a 55% reduction in emissions by 2030 compared to 1990 levels, in line with the EU's Nationally Determined Contribution under the Paris Agreement. Additionally, the jurisdiction aims for a net-zero carbon target by 2050, underpinning regulatory expectations affecting the entity's disclosures and emission reduction activities.","The entity assumes a 2.0°C temperature pathway for its climate-related scenario analyses, consistent with the Paris Agreement commitments and its jurisdictional regulatory framework. The scenario reflects expectations embedded in EU policy but excludes more ambitious pathways such as 1.5°C.","Atlas Retail Bank France SA's emission reduction targets for Scope 1 and Scope 2 operational emissions through 2030 are informed by the Paris Agreement's goal to limit warming to 2°C. These targets are also shaped by the EU's policy regime and national climate commitments, ensuring coherence with broader climate objectives including the EU's 2030 and 2050 goals.",Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
POLREF-ENT-FR-002-2021,ENT-FR-002,Atlas Retail Bank France SA,FR,2021,CSRD,Paris Agreement 2°C,2015,UNFCCC,2.0,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,[],[],0,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 313.2101, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 387.141, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 700.3512, ""target_year"": 2030, ""baseline_year"": 2019}]",56.52,False,"§14(a), §22(i)(4), §22(ii)(1), §33(h), §34(a)","Atlas Retail Bank France SA operates within the regulatory framework of the EU, adhering to the Corporate Sustainability Reporting Directive (CSRD), EU Emissions Trading System (EU ETS), and the Loi Energie-Climat. These policies establish a comprehensive climate policy environment aimed at reducing emissions and enhancing climate accountability within the banking sector.","The entity aligns its climate strategy with the Paris Agreement's 2°C temperature goal, reflecting a commitment to international climate targets under the UNFCCC framework.","At the EU level, there is a commitment to reduce greenhouse gas emissions by 55% by 2030 compared to 1990, in pursuit of the EU's broader net-zero target by 2050. These objectives shape the national climate policy landscape in which the entity operates.","Climate-related scenario analyses used by the entity incorporate a temperature pathway consistent with the 2.0°C goal, without explicit inclusion of the more ambitious 1.5°C pathway.",The entity's climate targets for Scope 1 and Scope 2 emissions reductions by 2030 are informed by the objectives of the Paris Agreement and regional climate policies. These targets reflect a clear strategy to contribute to the EU's emissions reduction goals and align operational emissions with the trajectory to net zero by 2050.,Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
POLREF-ENT-FR-002-2022,ENT-FR-002,Atlas Retail Bank France SA,FR,2022,CSRD,Paris Agreement 2°C,2015,UNFCCC,2.0,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,[],[],0,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 313.2101, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 387.141, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 700.3512, ""target_year"": 2030, ""baseline_year"": 2019}]",63.07,False,"§14(a), §22(i)(4), §22(ii)(1), §33(h), §34(a)","Atlas Retail Bank France SA operates under the regulatory regime of the EU Corporate Sustainability Reporting Directive (CSRD), the EU Emissions Trading System (EU ETS), and the French Loi Energie-Climat. These frameworks establish mandatory climate-related disclosures and emissions reduction commitments that guide the entity's operational and reporting practices.","The entity aligns its climate-related activities and disclosures with the Paris Agreement's 2°C temperature pathway, reflecting adherence to international climate goals agreed upon under the UNFCCC.","France, as part of the European Union, has committed to reducing emissions by 55% by 2030 relative to 1990 levels and achieving net-zero emissions by 2050. These jurisdictional policies underpin the entity's targets and strategic planning related to greenhouse gas emissions reduction.","The entity's climate scenarios are based on a 2.0°C temperature pathway consistent with the Paris Agreement, without inclusion of a 1.5°C pathway, which informs its strategic resilience and risk management approaches.","Atlas Retail Bank France SA has established linked climate KPI targets for Scope 1 and Scope 2 emissions to be achieved by 2030, relative to the 2019 base year. These targets reflect commitment to the international and jurisdictional climate goals, specifically aiming to reduce operational greenhouse gas emissions in line with the Paris Agreement and EU climate ambitions.",Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
