policy_ref_id,entity_id,entity_legal_name,country_code,reporting_year,regulatory_regime,intl_agreement_name,intl_agreement_year,intl_agreement_body,temperature_pathway_c,jurisdiction_policy_regime,ndc_ambition_summary,national_net_zero_year,linked_scenario_ids,scenario_temp_pathways,scenario_includes_1_5c,linked_kpi_targets_json,carbon_price_eur_per_tco2e,carbon_price_applies_to_financed_emissions,ifrs_s2_para_refs,policy_context_narrative,intl_agreement_alignment_note,jurisdictional_commitment_summary,scenario_policy_assumption_note,target_informed_by_agreement_note,data_source,created_from
POLREF-ENT-GROUP-001-2019,ENT-GROUP-001,Atlas Banking Group SA,FR,2019,CSRD,Paris Agreement 2°C,2015,UNFCCC,2.0,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,[],[],0,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 313.2101, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 387.141, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 700.3512, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-004"", ""kpi_name"": ""Energy consumption"", ""target_value"": 11065142.216, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-005"", ""kpi_name"": ""Energy cost"", ""target_value"": 1680355.692, ""target_year"": 2030, ""baseline_year"": 2019}]",33.92,False,"§14(a), §22(a), §22(b), §33-34","Atlas Banking Group SA operates within the regulatory regime of the European Union, specifically under the EU Corporate Sustainability Reporting Directive (CSRD), the EU Emissions Trading System (EU ETS), and the French Loi Energie-Climat. These frameworks provide policy context for the entity's climate-related disclosures and operational environment in 2019.","The entity's climate-related disclosures are provided in the context of the Paris Agreement 2°C goal established in 2015 under the UNFCCC, which aims to limit global temperature rise to 2.0 degrees Celsius above pre-industrial levels. This international agreement supports interpretation of the entity's climate strategy and target setting.","Atlas Banking Group SA operates in France, where national climate commitments include a net zero greenhouse gas emissions target by 2050 and an EU-wide Nationally Determined Contribution (NDC) ambition of reducing emissions by 55% by 2030 compared to 1990 levels. These jurisdictional commitments provide a framework for the entity's climate-related risk and opportunity assessment.",No scenario model outputs are linked to this entity-year in the source table. The 2.0°C pathway is used as policy reference context rather than as evidence of an entity-specific scenario analysis result.,"The entity has linked climate-related KPI targets for Scope 1, Scope 2 location-based, total operational Scope 1 and 2 emissions, energy consumption, and energy cost, all with 2019 baselines and 2030 target years. These targets provide evidence of alignment with the Paris Agreement 2°C temperature pathway and jurisdictional climate commitments.",Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
POLREF-ENT-GROUP-001-2020,ENT-GROUP-001,Atlas Banking Group SA,FR,2020,CSRD,Paris Agreement 2°C,2015,UNFCCC,2.0,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,[],[],0,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 313.2101, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 387.141, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 700.3512, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-004"", ""kpi_name"": ""Energy consumption"", ""target_value"": 11065142.216, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-005"", ""kpi_name"": ""Energy cost"", ""target_value"": 1680355.692, ""target_year"": 2030, ""baseline_year"": 2019}]",36.86,False,"§14(a), §22(a), §22(b), §33-34","Atlas Banking Group SA operates within the regulatory framework of the European Union, specifically under the EU Corporate Sustainability Reporting Directive (CSRD), the EU Emissions Trading System (EU ETS), and the French Loi Energie-Climat. These policies provide a structured context for the entity's climate-related disclosures and influence its operational and reporting environment in 2020.","The entity's climate-related disclosures are provided in the context of the Paris Agreement 2°C goal established in 2015 under the UNFCCC. This international agreement sets a global temperature pathway target of limiting warming to 2.0°C, which supports interpretation of the entity's climate strategy and risk management.","Atlas Banking Group SA operates in France, where national climate commitments include the European Union's target to reduce greenhouse gas emissions by 55% by 2030 compared to 1990 levels, and a national net-zero emissions target by 2050. These jurisdictional commitments frame the entity's climate-related risk and opportunity landscape.",No scenario model outputs are linked to this entity-year in the source table. The 2.0°C pathway is used as policy reference context rather than as evidence of an entity-specific scenario analysis result.,"The entity has linked climate-related KPI targets for Scope 1 and Scope 2 emissions, total operational emissions, energy consumption, and energy cost, all with 2030 target years and 2019 baselines. These targets provide evidence of alignment with the Paris Agreement 2°C goal and relevant jurisdictional climate policies.",Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
POLREF-ENT-GROUP-001-2021,ENT-GROUP-001,Atlas Banking Group SA,FR,2021,CSRD,Paris Agreement 2°C,2015,UNFCCC,2.0,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,[],[],0,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 313.2101, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 387.141, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 700.3512, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-004"", ""kpi_name"": ""Energy consumption"", ""target_value"": 11065142.216, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-005"", ""kpi_name"": ""Energy cost"", ""target_value"": 1680355.692, ""target_year"": 2030, ""baseline_year"": 2019}]",45.58,False,"§14(a), §22(a), §22(b), §33-34","Atlas Banking Group SA operates within the regulatory framework of the European Union, specifically under the EU Corporate Sustainability Reporting Directive (CSRD), the EU Emissions Trading System (ETS), and the French Loi Energie-Climat. These policies collectively provide a structured approach to climate-related disclosures and emissions management applicable to the entity's operations in France for the 2021 reporting year.","The entity's climate-related disclosures are provided in the context of the Paris Agreement adopted in 2015 under the UNFCCC, which aims to limit global temperature rise to well below 2°C above pre-industrial levels. The Paris Agreement 2°C temperature pathway serves as an international benchmark for assessing climate-related risks and opportunities relevant to the entity.","Atlas Banking Group SA operates in a jurisdiction where the European Union has set a Nationally Determined Contribution (NDC) ambition to reduce greenhouse gas emissions by 55% by 2030 compared to 1990 levels, with a national net zero target year of 2050. These commitments are supported by EU-wide climate policies including the CSRD and EU ETS, as well as national legislation such as the French Loi Energie-Climat.",No scenario model outputs are linked to this entity-year in the source table. The 2.0°C pathway is used as policy reference context rather than as evidence of an entity-specific scenario analysis result.,"The entity has linked climate-related KPI targets for Scope 1 and Scope 2 emissions, total operational emissions, energy consumption, and energy cost, all with baseline years of 2019 and target years of 2030. These targets provide evidence of emissions and energy management objectives that support interpretation of alignment with the Paris Agreement 2°C temperature pathway and relevant jurisdictional climate commitments.",Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
POLREF-ENT-GROUP-001-2022,ENT-GROUP-001,Atlas Banking Group SA,FR,2022,CSRD,Paris Agreement 2°C,2015,UNFCCC,2.0,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,[],[],0,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 313.2101, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 387.141, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 700.3512, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-004"", ""kpi_name"": ""Energy consumption"", ""target_value"": 11065142.216, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-005"", ""kpi_name"": ""Energy cost"", ""target_value"": 1680355.692, ""target_year"": 2030, ""baseline_year"": 2019}]",51.61,False,"§14(a), §22(a), §22(b), §33-34","Atlas Banking Group SA operates in France and reports under the EU Corporate Sustainability Reporting Directive (CSRD) regulatory regime. The entity's policy context includes the EU Emissions Trading System (EU ETS) and the French Loi Energie-Climat, which collectively provide a framework for climate-related regulatory requirements and emissions reduction obligations. The EU's nationally determined contribution (NDC) aims for a 55% reduction in greenhouse gas emissions by 2030 compared to 1990 levels, with a national net zero target year of 2050. This policy environment informs the entity's climate-related disclosures and strategic planning.","The entity's climate-related disclosures provide context aligned with the Paris Agreement adopted in 2015 under the UNFCCC, which targets limiting global temperature rise to well below 2°C above pre-industrial levels. The Paris Agreement 2°C pathway serves as an international benchmark for assessing climate-related risks and opportunities relevant to the entity's operations and reporting.","Atlas Banking Group SA operates within the jurisdiction of France and the European Union, where climate commitments include the EU's 55% emissions reduction target by 2030 relative to 1990 levels and a national net zero emissions goal by 2050. These commitments are supported by regulatory instruments such as the EU CSRD, EU ETS, and the Loi Energie-Climat, which collectively shape the entity's climate-related risk management and disclosure obligations.",No scenario model outputs are linked to this entity-year in the source table. The 2.0°C pathway is used as policy reference context rather than as evidence of an entity-specific scenario analysis result.,"The entity has linked climate-related KPI targets for Scope 1 emissions, Scope 2 location-based emissions, total operational Scope 1 and 2 emissions, energy consumption, and energy cost, all with 2030 target years and 2019 baselines. These targets provide evidence of emissions and energy management objectives that are consistent with the broader climate ambition of the Paris Agreement 2°C pathway and the EU's 2030 and 2050 climate commitments.",Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
POLREF-ENT-GROUP-001-2023,ENT-GROUP-001,Atlas Banking Group SA,FR,2023,CSRD,Paris Agreement 2°C,2015,UNFCCC,2.0,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,[],[],0,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 313.2101, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 387.141, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 700.3512, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-004"", ""kpi_name"": ""Energy consumption"", ""target_value"": 11065142.216, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-005"", ""kpi_name"": ""Energy cost"", ""target_value"": 1680355.692, ""target_year"": 2030, ""baseline_year"": 2019}]",63.52,False,"§14(a), §22(a), §22(b), §33-34","Atlas Banking Group SA operates within the regulatory framework of the European Union, specifically under the EU Corporate Sustainability Reporting Directive (CSRD), the EU Emissions Trading System (EU ETS), and the French Loi Energie-Climat. These policies collectively provide a structured approach to climate-related disclosures and emissions management, reflecting the EU's broader climate ambitions and regulatory expectations for financial institutions.","The entity's climate-related disclosures and targets are informed by the Paris Agreement 2015 under the UNFCCC, which aims to limit global temperature rise to well below 2°C above pre-industrial levels. The Paris Agreement's 2°C temperature pathway provides an international benchmark for assessing the alignment of the entity's climate strategy and targets.","Atlas Banking Group SA operates in France, where national climate commitments include achieving a 55% reduction in greenhouse gas emissions by 2030 relative to 1990 levels and reaching net zero emissions by 2050. These commitments are embedded within the EU's broader climate policy framework and influence the entity's climate-related disclosures and strategic planning.",No scenario model outputs are linked to this entity-year in the source table. The 2.0°C pathway is used as policy reference context rather than as evidence of an entity-specific scenario analysis result.,"The entity's climate-related KPI targets, including Scope 1, Scope 2 location-based, total operational emissions, energy consumption, and energy cost reduction targets set for 2030 against a 2019 baseline, provide evidence of alignment with the temperature goals of the Paris Agreement 2°C pathway. These targets support interpretation of the entity's strategic response to international climate commitments.",Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
POLREF-ENT-GROUP-001-2024,ENT-GROUP-001,Atlas Banking Group SA,FR,2024,CSRD,Paris Agreement 1.5°C,2015,UNFCCC,1.5,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,"[""NGFS_NET_ZERO_2050"", ""NGFS_DISORDERLY"", ""NGFS_HOT_HOUSE_WORLD""]","[1.5, 2.0, 3.5]",1,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 313.2101, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 387.141, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 700.3512, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-004"", ""kpi_name"": ""Energy consumption"", ""target_value"": 11065142.216, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-005"", ""kpi_name"": ""Energy cost"", ""target_value"": 1680355.692, ""target_year"": 2030, ""baseline_year"": 2019}]",67.74,False,"§14(a), §22(a), §22(b), §33-34","Atlas Banking Group SA operates within the regulatory framework of the European Union, subject to the EU Corporate Sustainability Reporting Directive (CSRD), the EU Emissions Trading System (EU ETS), and the French Loi Energie-Climat. These policies collectively establish binding climate-related reporting and emissions reduction obligations. The entity's policy context is further shaped by the EU's nationally determined contribution (NDC) ambition of reducing greenhouse gas emissions by 55% by 2030 relative to 1990 levels and France's national net zero target year of 2050.","The entity's climate-related disclosures are informed by the Paris Agreement 1.5°C temperature pathway under the UNFCCC framework, which aims to limit global warming to 1.5 degrees Celsius above pre-industrial levels. This international agreement provides a foundational reference point for assessing climate-related risks and opportunities in the entity's reporting year.","Atlas Banking Group SA operates in a jurisdiction where the European Union has committed to a 55% reduction in greenhouse gas emissions by 2030 compared to 1990 levels, alongside a national net zero emissions target by 2050. These commitments are embedded in EU and French climate legislation, influencing the entity's strategic and operational climate considerations.","The entity references scenario analysis outputs linked to three NGFS scenarios: NGFS Net Zero 2050 (1.5°C pathway), NGFS Disorderly (2.0°C pathway), and NGFS Hot House World (3.5°C pathway). These scenarios support interpretation of potential climate-related impacts under varying temperature trajectories and policy environments, including a scenario aligned with the Paris Agreement 1.5°C goal.","Atlas Banking Group SA has established climate-related KPI targets for Scope 1 and Scope 2 emissions, total operational emissions, energy consumption, and energy cost, all with 2030 target years and 2019 baselines. These targets provide evidence of emissions reduction objectives that are consistent with the ambition of the Paris Agreement 1.5°C pathway and the EU's 2030 climate commitments.",Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
POLREF-ENT-FR-002-2019,ENT-FR-002,Atlas Retail Bank France SA,FR,2019,CSRD,Paris Agreement 2°C,2015,UNFCCC,2.0,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,[],[],0,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 332.9248, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 696.8085, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 1029.7333, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-004"", ""kpi_name"": ""Energy consumption"", ""target_value"": 18343913.256, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-005"", ""kpi_name"": ""Energy cost"", ""target_value"": 2899915.362, ""target_year"": 2030, ""baseline_year"": 2019}]",40.63,False,"§14(a), §22(a), §22(b), §33-34","Atlas Retail Bank France SA operates within the regulatory framework of the European Union, subject to the EU Corporate Sustainability Reporting Directive (CSRD), the EU Emissions Trading System (EU ETS), and the French Loi Energie-Climat. These policies collectively establish mandatory climate-related reporting and emissions reduction obligations that provide the policy context for the entity's climate disclosures in 2019.","The entity's climate-related disclosures are informed by the Paris Agreement 2°C goal established under the UNFCCC in 2015, which aims to limit global temperature rise to 2.0 degrees Celsius. This international agreement provides a reference point for assessing the alignment of the entity's climate strategy and targets with global climate objectives.","Atlas Retail Bank France SA operates in France, where national climate commitments include a target to reduce greenhouse gas emissions by 55% by 2030 compared to 1990 levels, in line with the European Union's nationally determined contribution (NDC). Additionally, France has established a national net zero emissions target year of 2050. These jurisdictional commitments frame the entity's climate-related risk and opportunity considerations.",No scenario model outputs are linked to this entity-year in the source table. The 2.0°C pathway is used as policy reference context rather than as evidence of an entity-specific scenario analysis result.,"The entity has established climate-related KPI targets for Scope 1 and Scope 2 emissions, total operational emissions, energy consumption, and energy cost, all with 2019 baselines and 2030 target years. These targets support interpretation of the entity's efforts to align with the Paris Agreement 2°C temperature pathway and jurisdictional climate commitments, as referenced in IFRS S2 §§14(a), 22(a), 22(b), and 33-34.",Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
POLREF-ENT-FR-002-2020,ENT-FR-002,Atlas Retail Bank France SA,FR,2020,CSRD,Paris Agreement 2°C,2015,UNFCCC,2.0,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,[],[],0,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 332.9248, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 696.8085, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 1029.7333, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-004"", ""kpi_name"": ""Energy consumption"", ""target_value"": 18343913.256, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-005"", ""kpi_name"": ""Energy cost"", ""target_value"": 2899915.362, ""target_year"": 2030, ""baseline_year"": 2019}]",44.73,False,"§14(a), §22(a), §22(b), §33-34","Atlas Retail Bank France SA operates within the regulatory framework of the EU CSRD, EU ETS, and the Loi Energie-Climat, which collectively provide a comprehensive policy context for climate-related disclosures and emissions management in France. These policies establish binding requirements and targets that influence the entity's climate strategy and reporting obligations.","The entity's climate-related disclosures and targets are informed by the Paris Agreement 2°C goal established under the UNFCCC in 2015, which aims to limit global temperature rise to 2.0 degrees Celsius. This international agreement provides a foundational reference point for the entity's climate risk assessment and target setting.","The jurisdictional climate commitments relevant to the entity include the European Union's nationally determined contribution (NDC) of reducing greenhouse gas emissions by 55% by 2030 compared to 1990 levels, and France's national net zero target year of 2050. These commitments shape the regulatory and policy environment in which the entity operates.",No scenario model outputs are linked to this entity-year in the source table. The 2.0°C pathway is used as policy reference context rather than as evidence of an entity-specific scenario analysis result.,"The entity's climate-related KPI targets, including Scope 1 emissions, Scope 2 location-based emissions, total operational Scope 1 and 2 emissions, energy consumption, and energy cost targets set for 2030 with a 2019 baseline, provide evidence of target setting informed by the Paris Agreement 2°C goal and aligned with jurisdictional climate commitments.",Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
POLREF-ENT-FR-002-2021,ENT-FR-002,Atlas Retail Bank France SA,FR,2021,CSRD,Paris Agreement 2°C,2015,UNFCCC,2.0,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,[],[],0,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 332.9248, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 696.8085, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 1029.7333, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-004"", ""kpi_name"": ""Energy consumption"", ""target_value"": 18343913.256, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-005"", ""kpi_name"": ""Energy cost"", ""target_value"": 2899915.362, ""target_year"": 2030, ""baseline_year"": 2019}]",56.52,False,"§14(a), §22(a), §22(b), §33-34","Atlas Retail Bank France SA operates within the regulatory regime of the EU CSRD, EU ETS, and the French Loi Energie-Climat, which provide a comprehensive policy framework for climate-related disclosures and emissions management. These policies establish mandatory reporting requirements and emissions trading mechanisms that influence the entity's climate strategy and operational practices.","The entity's climate-related disclosures and targets are informed by the Paris Agreement 2°C goal established under the UNFCCC in 2015, which aims to limit global temperature rise to 2.0 degrees Celsius. This international agreement provides a foundational context for the entity's climate risk management and target setting.","Atlas Retail Bank France SA operates in France, where national climate commitments include a 55% reduction in greenhouse gas emissions by 2030 compared to 1990 levels, aligned with the EU's Nationally Determined Contribution (NDC), and a national net zero emissions target by 2050. These commitments shape the jurisdictional climate policy environment relevant to the entity.",No scenario model outputs are linked to this entity-year in the source table. The 2.0°C pathway is used as policy reference context rather than as evidence of an entity-specific scenario analysis result.,"The entity's climate-related KPI targets for Scope 1, Scope 2 location-based, total operational Scope 1 and 2 emissions, energy consumption, and energy cost by 2030 (baseline year 2019) provide evidence of target setting informed by the Paris Agreement 2°C goal and relevant jurisdictional climate policies.",Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
POLREF-ENT-FR-002-2022,ENT-FR-002,Atlas Retail Bank France SA,FR,2022,CSRD,Paris Agreement 2°C,2015,UNFCCC,2.0,EU CSRD / EU ETS / Loi Energie-Climat,EU: 55% by 2030 vs 1990,2050,[],[],0,"[{""kpi_code"": ""ENV-001"", ""kpi_name"": ""Scope 1 emissions"", ""target_value"": 332.9248, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-002"", ""kpi_name"": ""Scope 2 location-based emissions"", ""target_value"": 696.8085, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-003"", ""kpi_name"": ""Total operational Scope 1 and 2 emissions"", ""target_value"": 1029.7333, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-004"", ""kpi_name"": ""Energy consumption"", ""target_value"": 18343913.256, ""target_year"": 2030, ""baseline_year"": 2019}, {""kpi_code"": ""ENV-005"", ""kpi_name"": ""Energy cost"", ""target_value"": 2899915.362, ""target_year"": 2030, ""baseline_year"": 2019}]",63.07,False,"§14(a), §22(a), §22(b), §33-34","Atlas Retail Bank France SA operates within the regulatory framework of the European Union, specifically under the EU Corporate Sustainability Reporting Directive (CSRD), the EU Emissions Trading System (ETS), and the French Loi Energie-Climat. These policies provide a comprehensive climate policy context that influences the entity's climate-related disclosures and operational considerations in 2022.","The entity's climate-related disclosures are provided in the context of the Paris Agreement 2015 under the UNFCCC, which targets limiting global temperature rise to 2.0°C. This international agreement serves as a foundational reference point for understanding the entity's climate-related risks and opportunities.","The entity operates in France, where jurisdictional climate commitments include the European Union's nationally determined contribution (NDC) of reducing emissions by 55% by 2030 compared to 1990 levels, and a national net-zero emissions target set for 2050. These commitments frame the regulatory and policy environment relevant to the entity's climate strategy and disclosures.",No scenario model outputs are linked to this entity-year in the source table. The 2.0°C pathway is used as policy reference context rather than as evidence of an entity-specific scenario analysis result.,"The entity has linked climate-related KPI targets for Scope 1 emissions, Scope 2 location-based emissions, total operational Scope 1 and 2 emissions, energy consumption, and energy cost, all with 2030 target years and 2019 baselines. These targets support interpretation of the entity's alignment with the Paris Agreement 2°C temperature pathway and relevant jurisdictional climate commitments.",Derived: entity_master + scenario_model_out + esg_kpi_tracker + internal_carbon_price,generate_climate_policy_reference.py
