kpi_record_id,entity_id,kpi_code,kpi_name,category,reporting_year,unit,baseline_year,baseline_value,actual_value,target_year,target_value,target_reduction_pct,progress_to_target_pct,on_track_flag,source_logic,data_lineage,created_from
KPI-ENT-GROUP-001-ENV-001-2019,ENT-GROUP-001,ENV-001,Scope 1 emissions,Climate,2019,tCO2e,2019,626.4203,626.4203,2030,313.2101,50.0,0.0,True,Computed from utility_bills natural_gas and diesel_fleet using emission_factors,derived_from_core_tables,synthetic_esg_kpi_tracker_generation_entity_level_v2
KPI-ENT-GROUP-001-ENV-001-2020,ENT-GROUP-001,ENV-001,Scope 1 emissions,Climate,2020,tCO2e,2019,626.4203,677.2515,2030,313.2101,50.0,-16.23,False,Computed from utility_bills natural_gas and diesel_fleet using emission_factors,derived_from_core_tables,synthetic_esg_kpi_tracker_generation_entity_level_v2
KPI-ENT-GROUP-001-ENV-001-2021,ENT-GROUP-001,ENV-001,Scope 1 emissions,Climate,2021,tCO2e,2019,626.4203,648.1542,2030,313.2101,50.0,-6.94,False,Computed from utility_bills natural_gas and diesel_fleet using emission_factors,derived_from_core_tables,synthetic_esg_kpi_tracker_generation_entity_level_v2
KPI-ENT-GROUP-001-ENV-001-2022,ENT-GROUP-001,ENV-001,Scope 1 emissions,Climate,2022,tCO2e,2019,626.4203,679.6186,2030,313.2101,50.0,-16.98,False,Computed from utility_bills natural_gas and diesel_fleet using emission_factors,derived_from_core_tables,synthetic_esg_kpi_tracker_generation_entity_level_v2
KPI-ENT-GROUP-001-ENV-001-2023,ENT-GROUP-001,ENV-001,Scope 1 emissions,Climate,2023,tCO2e,2019,626.4203,669.8341,2030,313.2101,50.0,-13.86,False,Computed from utility_bills natural_gas and diesel_fleet using emission_factors,derived_from_core_tables,synthetic_esg_kpi_tracker_generation_entity_level_v2
KPI-ENT-GROUP-001-ENV-001-2024,ENT-GROUP-001,ENV-001,Scope 1 emissions,Climate,2024,tCO2e,2019,626.4203,629.4259,2030,313.2101,50.0,-0.96,False,Computed from utility_bills natural_gas and diesel_fleet using emission_factors,derived_from_core_tables,synthetic_esg_kpi_tracker_generation_entity_level_v2
KPI-ENT-GROUP-001-ENV-002-2019,ENT-GROUP-001,ENV-002,Scope 2 location-based emissions,Climate,2019,tCO2e,2019,774.2821,774.2821,2030,387.141,50.0,0.0,True,Computed from utility_bills electricity using country grid factors,derived_from_core_tables,synthetic_esg_kpi_tracker_generation_entity_level_v2
KPI-ENT-GROUP-001-ENV-002-2020,ENT-GROUP-001,ENV-002,Scope 2 location-based emissions,Climate,2020,tCO2e,2019,774.2821,768.1292,2030,387.141,50.0,1.59,False,Computed from utility_bills electricity using country grid factors,derived_from_core_tables,synthetic_esg_kpi_tracker_generation_entity_level_v2
KPI-ENT-GROUP-001-ENV-002-2021,ENT-GROUP-001,ENV-002,Scope 2 location-based emissions,Climate,2021,tCO2e,2019,774.2821,718.3855,2030,387.141,50.0,14.44,False,Computed from utility_bills electricity using country grid factors,derived_from_core_tables,synthetic_esg_kpi_tracker_generation_entity_level_v2
KPI-ENT-GROUP-001-ENV-002-2022,ENT-GROUP-001,ENV-002,Scope 2 location-based emissions,Climate,2022,tCO2e,2019,774.2821,695.2847,2030,387.141,50.0,20.41,False,Computed from utility_bills electricity using country grid factors,derived_from_core_tables,synthetic_esg_kpi_tracker_generation_entity_level_v2
KPI-ENT-GROUP-001-ENV-002-2023,ENT-GROUP-001,ENV-002,Scope 2 location-based emissions,Climate,2023,tCO2e,2019,774.2821,648.6027,2030,387.141,50.0,32.46,False,Computed from utility_bills electricity using country grid factors,derived_from_core_tables,synthetic_esg_kpi_tracker_generation_entity_level_v2
KPI-ENT-GROUP-001-ENV-002-2024,ENT-GROUP-001,ENV-002,Scope 2 location-based emissions,Climate,2024,tCO2e,2019,774.2821,639.5635,2030,387.141,50.0,34.8,False,Computed from utility_bills electricity using country grid factors,derived_from_core_tables,synthetic_esg_kpi_tracker_generation_entity_level_v2
KPI-ENT-GROUP-001-ENV-003-2019,ENT-GROUP-001,ENV-003,Total operational Scope 1 and 2 emissions,Climate,2019,tCO2e,2019,1400.7023,1400.7023,2030,700.3512,50.0,0.0,True,Derived as Scope 1 + Scope 2,derived_from_core_tables,synthetic_esg_kpi_tracker_generation_entity_level_v2
