scenario_record_id,scenario_id,scenario_family,scenario_description,temperature_pathway_c,time_horizon_year,metric_name,metric_category,metric_description,nace_code,nace_description,sector_exposure_eur,sector_exposure_share_pct,base_transition_risk_factor,base_physical_risk_factor,scenario_transition_multiplier,scenario_physical_multiplier,metric_multiplier,impact_eur,impact_eur_m,impact_pct_of_bank_revenue,reporting_year,data_source,created_from
SCN-0000001,NGFS_NET_ZERO_2050,orderly_transition,Orderly transition with early policy action; lower physical risk and higher near-term transition cost.,1.5,2025,credit_loss_transition,transition,Expected credit loss impact driven by transition policy/market shocks,C24.10,Manufacture of basic iron and steel,287731331666.01,43.4903,0.12,0.03,1.85,0.45,1.0,2510626951.87,2510.627,10.8423,2024,synthetic_ngfs_scenario_model_output,synthetic_scenario_model_out_generation_v1
SCN-0000002,NGFS_NET_ZERO_2050,orderly_transition,Orderly transition with early policy action; lower physical risk and higher near-term transition cost.,1.5,2025,credit_loss_physical,physical,Expected credit loss impact driven by physical climate hazards,C24.10,Manufacture of basic iron and steel,287731331666.01,43.4903,0.12,0.03,1.85,0.45,1.0,148668440.87,148.6684,0.642,2024,synthetic_ngfs_scenario_model_output,synthetic_scenario_model_out_generation_v1
SCN-0000003,NGFS_NET_ZERO_2050,orderly_transition,Orderly transition with early policy action; lower physical risk and higher near-term transition cost.,1.5,2025,rwa_increase_transition,transition,Risk-weighted asset increase from transition risk deterioration,C24.10,Manufacture of basic iron and steel,287731331666.01,43.4903,0.12,0.03,1.85,0.45,0.65,1631907518.72,1631.9075,7.0475,2024,synthetic_ngfs_scenario_model_output,synthetic_scenario_model_out_generation_v1
SCN-0000004,NGFS_NET_ZERO_2050,orderly_transition,Orderly transition with early policy action; lower physical risk and higher near-term transition cost.,1.5,2025,collateral_value_loss_physical,physical,Collateral valuation loss driven by physical risk exposure,C24.10,Manufacture of basic iron and steel,287731331666.01,43.4903,0.12,0.03,1.85,0.45,0.75,111501330.65,111.5013,0.4815,2024,synthetic_ngfs_scenario_model_output,synthetic_scenario_model_out_generation_v1
SCN-0000005,NGFS_NET_ZERO_2050,orderly_transition,Orderly transition with early policy action; lower physical risk and higher near-term transition cost.,1.5,2030,credit_loss_transition,transition,Expected credit loss impact driven by transition policy/market shocks,C24.10,Manufacture of basic iron and steel,287731331666.01,43.4903,0.12,0.03,1.85,0.45,1.0,15163576128.62,15163.5761,65.4846,2024,synthetic_ngfs_scenario_model_output,synthetic_scenario_model_out_generation_v1
SCN-0000006,NGFS_NET_ZERO_2050,orderly_transition,Orderly transition with early policy action; lower physical risk and higher near-term transition cost.,1.5,2030,credit_loss_physical,physical,Expected credit loss impact driven by physical climate hazards,C24.10,Manufacture of basic iron and steel,287731331666.01,43.4903,0.12,0.03,1.85,0.45,1.0,910547321.67,910.5473,3.9322,2024,synthetic_ngfs_scenario_model_output,synthetic_scenario_model_out_generation_v1
SCN-0000007,NGFS_NET_ZERO_2050,orderly_transition,Orderly transition with early policy action; lower physical risk and higher near-term transition cost.,1.5,2030,rwa_increase_transition,transition,Risk-weighted asset increase from transition risk deterioration,C24.10,Manufacture of basic iron and steel,287731331666.01,43.4903,0.12,0.03,1.85,0.45,0.65,9856324483.6,9856.3245,42.565,2024,synthetic_ngfs_scenario_model_output,synthetic_scenario_model_out_generation_v1
SCN-0000008,NGFS_NET_ZERO_2050,orderly_transition,Orderly transition with early policy action; lower physical risk and higher near-term transition cost.,1.5,2030,collateral_value_loss_physical,physical,Collateral valuation loss driven by physical risk exposure,C24.10,Manufacture of basic iron and steel,287731331666.01,43.4903,0.12,0.03,1.85,0.45,0.75,682910491.26,682.9105,2.9492,2024,synthetic_ngfs_scenario_model_output,synthetic_scenario_model_out_generation_v1
SCN-0000009,NGFS_NET_ZERO_2050,orderly_transition,Orderly transition with early policy action; lower physical risk and higher near-term transition cost.,1.5,2040,credit_loss_transition,transition,Expected credit loss impact driven by transition policy/market shocks,C24.10,Manufacture of basic iron and steel,287731331666.01,43.4903,0.12,0.03,1.85,0.45,1.0,38032343302.11,38032.3433,164.2445,2024,synthetic_ngfs_scenario_model_output,synthetic_scenario_model_out_generation_v1
SCN-0000010,NGFS_NET_ZERO_2050,orderly_transition,Orderly transition with early policy action; lower physical risk and higher near-term transition cost.,1.5,2040,credit_loss_physical,physical,Expected credit loss impact driven by physical climate hazards,C24.10,Manufacture of basic iron and steel,287731331666.01,43.4903,0.12,0.03,1.85,0.45,1.0,2481336951.57,2481.337,10.7158,2024,synthetic_ngfs_scenario_model_output,synthetic_scenario_model_out_generation_v1
