site_id,entity_id,site_name,site_type,country_code,grid_region,floor_area_m2,fleet_size,data_source
SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,312,1,synthetic_site_inventory
SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,1405,3,synthetic_site_inventory
SITE-00003,ENT-IT-007,BRANCH-IT-003,branch,IT,IT,1286,6,synthetic_site_inventory
SITE-00004,ENT-UK-005,DATA_CENTRE-GB-004,data_centre,GB,GB,9968,11,synthetic_site_inventory
SITE-00005,ENT-UK-005,BRANCH-GB-005,branch,GB,GB,1204,7,synthetic_site_inventory
SITE-00006,ENT-LU-009,BRANCH-LU-006,branch,LU,LU,281,4,synthetic_site_inventory
SITE-00007,ENT-GROUP-001,BRANCH-FR-007,branch,FR,FR,1115,4,synthetic_site_inventory
SITE-00008,ENT-IT-007,BRANCH-IT-008,branch,IT,IT,241,2,synthetic_site_inventory
SITE-00009,ENT-DE-003,HQ-DE-009,hq,DE,DE,8597,67,synthetic_site_inventory
SITE-00010,ENT-GROUP-001,BRANCH-FR-010,branch,FR,FR,1027,0,synthetic_site_inventory
SITE-00011,ENT-ES-006,BRANCH-ES-011,branch,ES,ES,1125,2,synthetic_site_inventory
SITE-00012,ENT-US-010,BRANCH-US-012,branch,US,US,697,3,synthetic_site_inventory
SITE-00013,ENT-BE-008,OFFICE-BE-013,office,BE,BE,6488,16,synthetic_site_inventory
SITE-00014,ENT-BE-008,BRANCH-BE-014,branch,BE,BE,1188,3,synthetic_site_inventory
SITE-00015,ENT-BE-008,HQ-BE-015,hq,BE,BE,31929,30,synthetic_site_inventory
SITE-00016,ENT-BE-008,BRANCH-BE-016,branch,BE,BE,1046,1,synthetic_site_inventory
SITE-00017,ENT-ES-006,BRANCH-ES-017,branch,ES,ES,1128,0,synthetic_site_inventory
SITE-00018,ENT-FR-002,BRANCH-FR-018,branch,FR,FR,580,4,synthetic_site_inventory
