bill_id,site_id,entity_id,site_name,site_type,country_code,grid_region,meter_type,scope_category,billing_period_start,billing_period_end,quantity,unit,unit_price_eur,cost_eur,floor_area_m2,fleet_size,emission_factor_key,emission_factor_country_code,invoice_status,data_source,reporting_year
BILL-00000001,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2019-01-01,2019-03-31,16573.55,kWh,0.145,2403.17,312,1,scope2_location_electricity_grid,FR,estimated,synthetic_utility_invoice,2019
BILL-00000002,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2019-01-01,2019-03-31,201.26,litres,1.25,251.57,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2019
BILL-00000003,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2019-04-01,2019-06-30,11595.98,kWh,0.145,1681.42,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2019
BILL-00000004,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2019-04-01,2019-06-30,143.29,litres,1.25,179.11,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2019
BILL-00000005,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2019-07-01,2019-09-30,13375.66,kWh,0.145,1939.47,312,1,scope2_location_electricity_grid,FR,corrected,synthetic_utility_invoice,2019
BILL-00000006,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2019-07-01,2019-09-30,193.2,litres,1.25,241.5,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2019
BILL-00000007,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2019-10-01,2019-12-31,17460.12,kWh,0.145,2531.72,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2019
BILL-00000008,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2019-10-01,2019-12-31,198.48,litres,1.25,248.11,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2019
BILL-00000009,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2020-01-01,2020-03-31,16743.45,kWh,0.15,2511.52,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2020
BILL-00000010,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2020-01-01,2020-03-31,165.92,litres,1.1,182.52,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2020
BILL-00000011,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2020-04-01,2020-06-30,13011.17,kWh,0.15,1951.68,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2020
BILL-00000012,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2020-04-01,2020-06-30,183.89,litres,1.1,202.28,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2020
BILL-00000013,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2020-07-01,2020-09-30,13214.21,kWh,0.15,1982.13,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2020
BILL-00000014,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2020-07-01,2020-09-30,163.11,litres,1.1,179.42,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2020
BILL-00000015,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2020-10-01,2020-12-31,17787.59,kWh,0.15,2668.14,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2020
BILL-00000016,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2020-10-01,2020-12-31,176.47,litres,1.1,194.11,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2020
BILL-00000017,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2021-01-01,2021-03-31,15136.3,kWh,0.165,2497.49,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2021
BILL-00000018,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2021-01-01,2021-03-31,230.75,litres,1.3,299.97,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2021
BILL-00000019,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2021-04-01,2021-06-30,12224.28,kWh,0.165,2017.01,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2021
BILL-00000020,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2021-04-01,2021-06-30,174.12,litres,1.3,226.36,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2021
BILL-00000021,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2021-07-01,2021-09-30,13581.06,kWh,0.165,2240.87,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2021
BILL-00000022,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2021-07-01,2021-09-30,159.63,litres,1.3,207.52,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2021
BILL-00000023,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2021-10-01,2021-12-31,17399.85,kWh,0.165,2870.98,312,1,scope2_location_electricity_grid,FR,estimated,synthetic_utility_invoice,2021
BILL-00000024,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2021-10-01,2021-12-31,176.88,litres,1.3,229.95,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2021
BILL-00000025,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2022-01-01,2022-03-31,14559.92,kWh,0.26,3785.58,312,1,scope2_location_electricity_grid,FR,estimated,synthetic_utility_invoice,2022
BILL-00000026,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2022-01-01,2022-03-31,199.87,litres,1.75,349.76,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2022
BILL-00000027,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2022-04-01,2022-06-30,11942.39,kWh,0.26,3105.02,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2022
BILL-00000028,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2022-04-01,2022-06-30,186.47,litres,1.75,326.33,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2022
BILL-00000029,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2022-07-01,2022-09-30,14043.74,kWh,0.26,3651.37,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2022
BILL-00000030,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2022-07-01,2022-09-30,172.43,litres,1.75,301.75,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2022
BILL-00000031,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2022-10-01,2022-12-31,15753.58,kWh,0.26,4095.93,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2022
BILL-00000032,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2022-10-01,2022-12-31,190.59,litres,1.75,333.53,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2022
BILL-00000033,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2023-01-01,2023-03-31,17146.37,kWh,0.235,4029.4,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2023
BILL-00000034,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2023-01-01,2023-03-31,152.68,litres,1.65,251.92,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2023
BILL-00000035,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2023-04-01,2023-06-30,12326.25,kWh,0.235,2896.67,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2023
BILL-00000036,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2023-04-01,2023-06-30,200.0,litres,1.65,330.0,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2023
BILL-00000037,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2023-07-01,2023-09-30,12974.65,kWh,0.235,3049.04,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2023
BILL-00000038,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2023-07-01,2023-09-30,196.8,litres,1.65,324.72,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2023
BILL-00000039,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2023-10-01,2023-12-31,16208.08,kWh,0.235,3808.9,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2023
BILL-00000040,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2023-10-01,2023-12-31,172.52,litres,1.65,284.66,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2023
BILL-00000041,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2024-01-01,2024-03-31,16126.24,kWh,0.22,3547.77,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2024
BILL-00000042,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2024-01-01,2024-03-31,214.5,litres,1.58,338.91,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2024
BILL-00000043,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2024-04-01,2024-06-30,13051.22,kWh,0.22,2871.27,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2024
BILL-00000044,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2024-04-01,2024-06-30,196.58,litres,1.58,310.6,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2024
BILL-00000045,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2024-07-01,2024-09-30,13953.52,kWh,0.22,3069.78,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2024
BILL-00000046,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2024-07-01,2024-09-30,124.04,litres,1.58,195.99,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2024
BILL-00000047,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,electricity,scope2_location,2024-10-01,2024-12-31,17375.73,kWh,0.22,3822.66,312,1,scope2_location_electricity_grid,FR,submitted,synthetic_utility_invoice,2024
BILL-00000048,SITE-00001,ENT-GROUP-001,BRANCH-FR-001,branch,FR,FR,diesel_fleet,scope1,2024-10-01,2024-12-31,174.79,litres,1.58,276.17,312,1,scope1_diesel_combustion,FR,submitted,synthetic_utility_invoice,2024
BILL-00000049,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2019-01-01,2019-03-31,57988.19,kWh,0.145,8408.29,1405,3,scope2_location_electricity_grid,BE,corrected,synthetic_utility_invoice,2019
BILL-00000050,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2019-01-01,2019-03-31,598.93,litres,1.25,748.66,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2019
BILL-00000051,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2019-04-01,2019-06-30,48760.43,kWh,0.145,7070.26,1405,3,scope2_location_electricity_grid,BE,submitted,synthetic_utility_invoice,2019
BILL-00000052,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2019-04-01,2019-06-30,563.21,litres,1.25,704.02,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2019
BILL-00000053,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2019-07-01,2019-09-30,52511.26,kWh,0.145,7614.13,1405,3,scope2_location_electricity_grid,BE,submitted,synthetic_utility_invoice,2019
BILL-00000054,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2019-07-01,2019-09-30,644.85,litres,1.25,806.06,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2019
BILL-00000055,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2019-10-01,2019-12-31,66752.94,kWh,0.145,9679.18,1405,3,scope2_location_electricity_grid,BE,submitted,synthetic_utility_invoice,2019
BILL-00000056,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2019-10-01,2019-12-31,555.95,litres,1.25,694.94,1405,3,scope1_diesel_combustion,BE,corrected,synthetic_utility_invoice,2019
BILL-00000057,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2020-01-01,2020-03-31,61559.27,kWh,0.15,9233.89,1405,3,scope2_location_electricity_grid,BE,corrected,synthetic_utility_invoice,2020
BILL-00000058,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2020-01-01,2020-03-31,565.33,litres,1.1,621.86,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2020
BILL-00000059,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2020-04-01,2020-06-30,46920.9,kWh,0.15,7038.14,1405,3,scope2_location_electricity_grid,BE,submitted,synthetic_utility_invoice,2020
BILL-00000060,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2020-04-01,2020-06-30,555.69,litres,1.1,611.26,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2020
BILL-00000061,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2020-07-01,2020-09-30,46647.88,kWh,0.15,6997.18,1405,3,scope2_location_electricity_grid,BE,submitted,synthetic_utility_invoice,2020
BILL-00000062,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2020-07-01,2020-09-30,539.99,litres,1.1,593.99,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2020
BILL-00000063,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2020-10-01,2020-12-31,57733.92,kWh,0.15,8660.09,1405,3,scope2_location_electricity_grid,BE,submitted,synthetic_utility_invoice,2020
