standard,paragraph_id,page,appendix,appendix_title,nearest_heading,text,paragraph_prefix,paragraph_number,paragraph_suffix,report_section,official_section_heading,mapping_method,paragraph_quality_score,paragraph_quality_issues
IFRS S1,1,7,,,Objective,The objective of IFRS S1 General Requirements for Disclosure of Sustainability-related Financial Information is to require an entity to disclose information about its sustainability-related risks and opportunities that is useful to primary users of general purpose financial reports in making decisions relating to providing resources to the entity.,,1,,General Requirements,OBJECTIVE,auto_toc_body_range,1.0,[]
IFRS S1,2,7,,,Objective,"Information about sustainability-related risks and opportunities is useful to primary users because an entity’s ability to generate cash flows over the short, medium and long term is inextricably linked to the interactions between the entity and its stakeholders, society, the economy and the natural environment throughout the entity’s value chain. Together, the entity and the resources and relationships throughout its value chain form an interdependent system in which the entity operates. The entity’s dependencies on those resources and relationships and its impacts on those resources and relationships give rise to sustainability-related risks and opportunities for the entity.",,2,,General Requirements,OBJECTIVE,auto_toc_body_range,1.0,[]
IFRS S1,3,7,,,Objective,"This Standard requires an entity to disclose information about all sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s cash flows, its access to finance or cost of capital over the short, medium or long term. For the purposes of this Standard, these risks and opportunities are collectively referred to as ‘sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects’.",,3,,General Requirements,OBJECTIVE,auto_toc_body_range,1.0,[]
IFRS S1,4,7,,,Objective,This Standard also prescribes how an entity prepares and reports its sustainability-related financial disclosures. It sets out general requirements for the content and presentation of those disclosures so that the information disclosed is useful to primary users in making decisions relating to providing resources to the entity.,,4,,General Requirements,OBJECTIVE,auto_toc_body_range,1.0,[]
IFRS S1,5,7,,,Scope,An entity shall apply this Standard in preparing and reporting sustainability-related financial disclosures in accordance with IFRS Sustainability Disclosure Standards.,,5,,General Requirements,SCOPE,auto_toc_body_range,1.0,[]
IFRS S1,6,7,,,Scope,Sustainability-related risks and opportunities that could not reasonably be expected to affect an entity’s prospects are outside the scope of this Standard.,,6,,General Requirements,SCOPE,auto_toc_body_range,1.0,[]
IFRS S1,7,7,,,Scope,Other IFRS Sustainability Disclosure Standards specify information an entity is required to disclose about specific sustainability-related risks and opportunities.,,7,,General Requirements,SCOPE,auto_toc_body_range,1.0,[]
IFRS S1,8,8,,,Scope,An entity may apply IFRS Sustainability Disclosure Standards irrespective of whether the entity’s related general purpose financial statements (referred to as ‘financial statements’) are prepared in accordance with IFRS Accounting Standards or other generally accepted accounting principles or practices (GAAP).,,8,,General Requirements,SCOPE,auto_toc_body_range,1.0,[]
IFRS S1,9,8,,,Scope,"This Standard uses terminology suitable for profit-oriented entities, including public-sector business entities. If entities with not-for-profit activities in the private sector or the public sector apply this Standard, they might need to amend the descriptions used for particular items of information when applying IFRS Sustainability Disclosure Standards.",,9,,General Requirements,SCOPE,auto_toc_body_range,1.0,[]
IFRS S1,10,8,,,Conceptual foundations,"For sustainability-related financial information to be useful, it must be relevant and faithfully represent what it purports to represent. These are fundamental qualitative characteristics of useful sustainability-related financial information. The usefulness of sustainability-related financial information is enhanced if the information is comparable, verifiable, timely and understandable. These are enhancing qualitative characteristics of useful sustainability-related financial information (see Appendix D).",,10,,General Requirements,CONCEPTUAL FOUNDATIONS,auto_toc_body_range,1.0,[]
IFRS S1,11,8,,,Fair presentation,A complete set of sustainability-related financial disclosures shall present fairly all sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects.,,11,,General Requirements,Fair presentation,auto_toc_body_range,1.0,[]
IFRS S1,12,8,,,Fair presentation,"To identify sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, an entity shall apply paragraphs B1–B12.",,12,,General Requirements,Fair presentation,auto_toc_body_range,1.0,[]
IFRS S1,13,8,,,Fair presentation,"Fair presentation requires disclosure of relevant information about sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects, and their faithful representation in accordance with the principles set out in this Standard. To achieve faithful representation, an entity shall provide a complete, neutral and accurate depiction of those sustainability-related risks and opportunities.",,13,,General Requirements,Fair presentation,auto_toc_body_range,1.0,[]
IFRS S1,14,8,,,Fair presentation,"Materiality is an entity-specific aspect of relevance based on the nature or magnitude, or both, of the items to which the information relates, in the context of the entity’s sustainability-related financial disclosures.",,14,,General Requirements,Fair presentation,auto_toc_body_range,1.0,[]
IFRS S1,15,8,,,Fair presentation,"Fair presentation also requires an entity: (a) to disclose information that is comparable, verifiable, timely and understandable; and (b) to disclose additional information if compliance with the specifically applicable requirements in IFRS Sustainability Disclosure Standards is insufficient to enable users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on the entity’s cash flows, its access to finance and cost of capital over the short, medium and long term.",,15,,General Requirements,Fair presentation,auto_toc_body_range,1.0,[]
IFRS S1,16,9,,,Fair presentation,"Applying IFRS Sustainability Disclosure Standards, with additional information disclosed when necessary (see paragraph 15(b)), is presumed to result in sustainability-related financial disclosures that achieve fair presentation.",,16,,General Requirements,Fair presentation,auto_toc_body_range,1.0,[]
IFRS S1,17,9,,,Materiality,An entity shall disclose material information about the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects.,,17,,General Requirements,Materiality,auto_toc_body_range,1.0,[]
IFRS S1,18,9,,,Materiality,"In the context of sustainability-related financial disclosures, information is material if omitting, misstating or obscuring that information could reasonably be expected to influence decisions that primary users of general purpose financial reports make on the basis of those reports, which include financial statements and sustainability-related financial disclosures and which provide information about a specific reporting entity.",,18,,General Requirements,Materiality,auto_toc_body_range,1.0,[]
IFRS S1,19,9,,,Materiality,"To identify and disclose material information, an entity shall apply paragraphs B13–B37.",,19,,General Requirements,Materiality,auto_toc_body_range,1.0,[]
IFRS S1,20,9,,,Reporting entity,An entity’s sustainability-related financial disclosures shall be for the same reporting entity as the related financial statements (see paragraph B38).,,20,,General Requirements,Reporting entity,auto_toc_body_range,1.0,[]
IFRS S1,21,9,,,Connected information,"An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections: (a) the connections between the items to which the information relates —such as connections between various sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects; and (b) the connections between disclosures provided by the entity: (i) within its sustainability-related financial disclosures—such as connections between disclosures on governance, strategy, risk management and metrics and targets; and (ii) across its sustainability-related financial disclosures and other general purpose financial reports published by the entity —such as its related financial statements (see paragraphs B39–B44).",,21,,General Requirements,Connected information,auto_toc_body_range,1.0,[]
IFRS S1,22,9,,,Connected information,An entity shall identify the financial statements to which the sustainability-related financial disclosures relate.,,22,,General Requirements,Connected information,auto_toc_body_range,1.0,[]
IFRS S1,23,10,,,Connected information,Data and assumptions used in preparing the sustainability-related financial disclosures shall be consistent—to the extent possible considering the requirements of IFRS Accounting Standards or other applicable GAAP— with the corresponding data and assumptions used in preparing the related financial statements (see paragraph B42).,,23,,General Requirements,Connected information,auto_toc_body_range,1.0,[]
IFRS S1,24,10,,,Connected information,"When currency is specified as the unit of measure in the sustainability-related financial disclosures, the entity shall use the presentation currency of its related financial statements.",,24,,General Requirements,Connected information,auto_toc_body_range,1.0,[]
IFRS S1,25,10,,,Core content,"Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about: (a) governance—the governance processes, controls and procedures the entity uses to monitor and manage sustainability-related risks and opportunities (see paragraphs 26–27); (b) strategy—the approach the entity uses to manage sustainability-related risks and opportunities (see paragraphs 28–42); (c) risk management—the processes the entity uses to identify, assess, prioritise and monitor sustainability-related risks and opportunities (see paragraphs 43–44); and (d) metrics and targets—the entity’s performance in relation to sustainability-related risks and opportunities, including progress towards any targets the entity has set or is required to meet by law or regulation (see paragraphs 45–53).",,25,,General Requirements,CORE CONTENT,auto_toc_body_range,1.0,[]
