standard,toc_title,start_paragraph,toc_page,is_uppercase_heading,end_paragraph,report_section,start_number,end_number
IFRS S1,OBJECTIVE,1,4,True,4.0,General Requirements,1,4
IFRS S1,SCOPE,5,4,True,9.0,General Requirements,5,9
IFRS S1,CONCEPTUAL FOUNDATIONS,10,4,True,10.0,General Requirements,10,10
IFRS S1,Fair presentation,11,4,False,16.0,General Requirements,11,16
IFRS S1,Materiality,17,4,False,19.0,General Requirements,17,19
IFRS S1,Reporting entity,20,4,False,20.0,General Requirements,20,20
IFRS S1,Connected information,21,4,False,24.0,General Requirements,21,24
IFRS S1,CORE CONTENT,25,4,True,25.0,General Requirements,25,25
IFRS S1,Governance,26,4,False,27.0,Governance,26,27
IFRS S1,Strategy,28,4,False,42.0,Strategy,28,42
IFRS S1,Risk management,43,4,False,44.0,Risk Management,43,44
IFRS S1,Metrics and targets,45,4,False,53.0,Metrics and Targets,45,53
IFRS S1,Sources of guidance,54,4,False,59.0,General Requirements,54,59
IFRS S1,Location of disclosures,60,4,False,63.0,General Requirements,60,63
IFRS S1,Timing of reporting,64,4,False,69.0,General Requirements,64,69
IFRS S1,Comparative information,70,4,False,71.0,General Requirements,70,71
IFRS S1,Statement of compliance,72,4,False,73.0,General Requirements,72,73
IFRS S1,Judgements,74,4,False,76.0,General Requirements,74,76
IFRS S1,Measurement uncertainty,77,4,False,82.0,General Requirements,77,82
IFRS S1,Errors,83,4,False,,General Requirements,83,86
IFRS S2,OBJECTIVE,1,4,True,2.0,General Requirements,1,2
IFRS S2,SCOPE,3,4,True,4.0,General Requirements,3,4
IFRS S2,CORE CONTENT,5,4,True,7.0,General Requirements,5,7
IFRS S2,Governance,5,4,False,7.0,Governance,5,7
IFRS S2,Strategy,8,4,False,23.0,Strategy,8,23
IFRS S2,Risk management,24,4,False,26.0,Risk Management,24,26
IFRS S2,Metrics and targets,27,4,False,2024.0,Metrics and Targets,27,2024
