requirement_id,standard,paragraph_id,page,report_section,official_section_heading,nearest_pdf_heading,mapping_method,appendix,clause_index,clause_marker,clause_level,clause_path,is_leaf_requirement,requirement_label,requirement_text,clean_requirement_text,parent_context,source_paragraph_text,obligation_type,mandatory,generation_bucket,evidence_tags,banking_relevance,paragraph_quality_score,paragraph_quality_issues,requirement_quality_score,requirement_quality_issues
IFRS_S1_1_C01,IFRS S1,1,7,General Requirements,OBJECTIVE,Objective,auto_toc_body_range,,1,,0,,True,The objective of IFRS S1 General Requirements for Disclosure of Sustainability-related Financial Information is to require…,The objective of IFRS S1 General Requirements for Disclosure of Sustainability-related Financial Information is to require an entity to disclose information about its sustainability-related risks and opportunities that is useful to primary users of general purpose financial reports in making decisions relating to providing resources to the entity.,The objective of IFRS S1 General Requirements for Disclosure of Sustainability-related Financial Information is to require an entity to disclose information about its sustainability-related risks and opportunities that is useful to primary users of general purpose financial reports in making decisions relating to providing resources to the entity.,,The objective of IFRS S1 General Requirements for Disclosure of Sustainability-related Financial Information is to require an entity to disclose information about its sustainability-related risks and opportunities that is useful to primary users of general purpose financial reports in making decisions relating to providing resources to the entity.,context_objective,False,supporting_objective,[],general,1.0,[],1.0,[]
IFRS_S1_2_C01,IFRS S1,2,7,General Requirements,OBJECTIVE,Objective,auto_toc_body_range,,1,,0,,True,Information about sustainability-related risks and opportunities is useful to primary users because an entity’s ability to…,"Information about sustainability-related risks and opportunities is useful to primary users because an entity’s ability to generate cash flows over the short, medium and long term is inextricably linked to the interactions between the entity and its stakeholders, society, the economy and the natural environment throughout the entity’s value chain. Together, the entity and the resources and relationships throughout its value chain form an interdependent system in which the entity operates. The entity’s dependencies on those resources and relationships and its impacts on those resources and relationships give rise to sustainability-related risks and opportunities for the entity.","Information about sustainability-related risks and opportunities is useful to primary users because an entity’s ability to generate cash flows over the short, medium and long term is inextricably linked to the interactions between the entity and its stakeholders, society, the economy and the natural environment throughout the entity’s value chain. Together, the entity and the resources and relationships throughout its value chain form an interdependent system in which the entity operates. The entity’s dependencies on those resources and relationships and its impacts on those resources and relationships give rise to sustainability-related risks and opportunities for the entity.",,"Information about sustainability-related risks and opportunities is useful to primary users because an entity’s ability to generate cash flows over the short, medium and long term is inextricably linked to the interactions between the entity and its stakeholders, society, the economy and the natural environment throughout the entity’s value chain. Together, the entity and the resources and relationships throughout its value chain form an interdependent system in which the entity operates. The entity’s dependencies on those resources and relationships and its impacts on those resources and relationships give rise to sustainability-related risks and opportunities for the entity.",guidance,False,supporting_guidance_leaf,"[""business_model_value_chain"", ""financial_effects""]",medium,1.0,[],1.0,[]
IFRS_S1_3_C01,IFRS S1,3,7,General Requirements,OBJECTIVE,Objective,auto_toc_body_range,,1,,0,,True,This Standard requires an entity to disclose information about all sustainability-related risks and opportunities that could…,"This Standard requires an entity to disclose information about all sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s cash flows, its access to finance or cost of capital over the short, medium or long term. For the purposes of this Standard, these risks and opportunities are collectively referred to as ‘sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects’.","This Standard requires an entity to disclose information about all sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s cash flows, its access to finance or cost of capital over the short, medium or long term. For the purposes of this Standard, these risks and opportunities are collectively referred to as ‘sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects’.",,"This Standard requires an entity to disclose information about all sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s cash flows, its access to finance or cost of capital over the short, medium or long term. For the purposes of this Standard, these risks and opportunities are collectively referred to as ‘sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects’.",mandatory,True,must_disclose_leaf,"[""financial_effects""]",medium,1.0,[],1.0,[]
IFRS_S1_4_C01,IFRS S1,4,7,General Requirements,OBJECTIVE,Objective,auto_toc_body_range,,1,,0,,True,This Standard also prescribes how an entity prepares and reports its sustainability-related financial disclosures. It sets…,This Standard also prescribes how an entity prepares and reports its sustainability-related financial disclosures. It sets out general requirements for the content and presentation of those disclosures so that the information disclosed is useful to primary users in making decisions relating to providing resources to the entity.,This Standard also prescribes how an entity prepares and reports its sustainability-related financial disclosures. It sets out general requirements for the content and presentation of those disclosures so that the information disclosed is useful to primary users in making decisions relating to providing resources to the entity.,,This Standard also prescribes how an entity prepares and reports its sustainability-related financial disclosures. It sets out general requirements for the content and presentation of those disclosures so that the information disclosed is useful to primary users in making decisions relating to providing resources to the entity.,guidance,False,supporting_guidance_leaf,[],general,1.0,[],1.0,[]
IFRS_S1_5_C01,IFRS S1,5,7,General Requirements,SCOPE,Scope,auto_toc_body_range,,1,,0,,True,An entity shall apply this Standard in preparing and reporting sustainability-related financial disclosures in accordance with…,An entity shall apply this Standard in preparing and reporting sustainability-related financial disclosures in accordance with IFRS Sustainability Disclosure Standards.,An entity shall apply this Standard in preparing and reporting sustainability-related financial disclosures in accordance with IFRS Sustainability Disclosure Standards.,,An entity shall apply this Standard in preparing and reporting sustainability-related financial disclosures in accordance with IFRS Sustainability Disclosure Standards.,mandatory,True,must_disclose_leaf,[],general,1.0,[],1.0,[]
IFRS_S1_6_C01,IFRS S1,6,7,General Requirements,SCOPE,Scope,auto_toc_body_range,,1,,0,,True,Sustainability-related risks and opportunities that could not reasonably be expected to affect an entity’s prospects are…,Sustainability-related risks and opportunities that could not reasonably be expected to affect an entity’s prospects are outside the scope of this Standard.,Sustainability-related risks and opportunities that could not reasonably be expected to affect an entity’s prospects are outside the scope of this Standard.,,Sustainability-related risks and opportunities that could not reasonably be expected to affect an entity’s prospects are outside the scope of this Standard.,guidance,False,supporting_guidance_leaf,[],general,1.0,[],1.0,[]
IFRS_S1_7_C01,IFRS S1,7,7,General Requirements,SCOPE,Scope,auto_toc_body_range,,1,,0,,True,Other IFRS Sustainability Disclosure Standards specify information an entity is required to disclose about specific sustainability-related…,Other IFRS Sustainability Disclosure Standards specify information an entity is required to disclose about specific sustainability-related risks and opportunities.,Other IFRS Sustainability Disclosure Standards specify information an entity is required to disclose about specific sustainability-related risks and opportunities.,,Other IFRS Sustainability Disclosure Standards specify information an entity is required to disclose about specific sustainability-related risks and opportunities.,mandatory,True,must_disclose_leaf,[],general,1.0,[],1.0,[]
IFRS_S1_8_C01,IFRS S1,8,8,General Requirements,SCOPE,Scope,auto_toc_body_range,,1,,0,,True,An entity may apply IFRS Sustainability Disclosure Standards irrespective of whether the entity’s related general purpose…,An entity may apply IFRS Sustainability Disclosure Standards irrespective of whether the entity’s related general purpose financial statements (referred to as ‘financial statements’) are prepared in accordance with IFRS Accounting Standards or other generally accepted accounting principles or practices (GAAP).,An entity may apply IFRS Sustainability Disclosure Standards irrespective of whether the entity’s related general purpose financial statements (referred to as ‘financial statements’) are prepared in accordance with IFRS Accounting Standards or other generally accepted accounting principles or practices (GAAP).,,An entity may apply IFRS Sustainability Disclosure Standards irrespective of whether the entity’s related general purpose financial statements (referred to as ‘financial statements’) are prepared in accordance with IFRS Accounting Standards or other generally accepted accounting principles or practices (GAAP).,relief_or_optional,False,optional_relief_leaf,"[""connected_information""]",general,1.0,[],1.0,[]
IFRS_S1_9_C01,IFRS S1,9,8,General Requirements,SCOPE,Scope,auto_toc_body_range,,1,,0,,True,"This Standard uses terminology suitable for profit-oriented entities, including public-sector business entities. If entities with not-for-profit…","This Standard uses terminology suitable for profit-oriented entities, including public-sector business entities. If entities with not-for-profit activities in the private sector or the public sector apply this Standard, they might need to amend the descriptions used for particular items of information when applying IFRS Sustainability Disclosure Standards.","This Standard uses terminology suitable for profit-oriented entities, including public-sector business entities. If entities with not-for-profit activities in the private sector or the public sector apply this Standard, they might need to amend the descriptions used for particular items of information when applying IFRS Sustainability Disclosure Standards.",,"This Standard uses terminology suitable for profit-oriented entities, including public-sector business entities. If entities with not-for-profit activities in the private sector or the public sector apply this Standard, they might need to amend the descriptions used for particular items of information when applying IFRS Sustainability Disclosure Standards.",guidance,False,supporting_guidance_leaf,[],general,1.0,[],1.0,[]
IFRS_S1_10_C01,IFRS S1,10,8,General Requirements,CONCEPTUAL FOUNDATIONS,Conceptual foundations,auto_toc_body_range,,1,,0,,True,"For sustainability-related financial information to be useful, it must be relevant and faithfully represent what it…","For sustainability-related financial information to be useful, it must be relevant and faithfully represent what it purports to represent. These are fundamental qualitative characteristics of useful sustainability-related financial information. The usefulness of sustainability-related financial information is enhanced if the information is comparable, verifiable, timely and understandable. These are enhancing qualitative characteristics of useful sustainability-related financial information (see Appendix D).","For sustainability-related financial information to be useful, it must be relevant and faithfully represent what it purports to represent. These are fundamental qualitative characteristics of useful sustainability-related financial information. The usefulness of sustainability-related financial information is enhanced if the information is comparable, verifiable, timely and understandable. These are enhancing qualitative characteristics of useful sustainability-related financial information (see Appendix D).",,"For sustainability-related financial information to be useful, it must be relevant and faithfully represent what it purports to represent. These are fundamental qualitative characteristics of useful sustainability-related financial information. The usefulness of sustainability-related financial information is enhanced if the information is comparable, verifiable, timely and understandable. These are enhancing qualitative characteristics of useful sustainability-related financial information (see Appendix D).",guidance,False,supporting_guidance_leaf,[],general,1.0,[],1.0,[]
