requirement_id,standard,paragraph_id,page,report_section,official_section_heading,nearest_pdf_heading,clean_requirement_text,source_paragraph_text,clause_path,obligation_type,mandatory,evidence_tags,banking_relevance,paragraph_quality_score,requirement_quality_score
IFRS_S1_3_C01,IFRS S1,3,7,General Requirements,OBJECTIVE,Objective,"This Standard requires an entity to disclose information about all sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s cash flows, its access to finance or cost of capital over the short, medium or long term. For the purposes of this Standard, these risks and opportunities are collectively referred to as ‘sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects’.","This Standard requires an entity to disclose information about all sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s cash flows, its access to finance or cost of capital over the short, medium or long term. For the purposes of this Standard, these risks and opportunities are collectively referred to as ‘sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects’.",,mandatory,True,"[""financial_effects""]",medium,1.0,1.0
IFRS_S1_5_C01,IFRS S1,5,7,General Requirements,SCOPE,Scope,An entity shall apply this Standard in preparing and reporting sustainability-related financial disclosures in accordance with IFRS Sustainability Disclosure Standards.,An entity shall apply this Standard in preparing and reporting sustainability-related financial disclosures in accordance with IFRS Sustainability Disclosure Standards.,,mandatory,True,[],general,1.0,1.0
IFRS_S1_7_C01,IFRS S1,7,7,General Requirements,SCOPE,Scope,Other IFRS Sustainability Disclosure Standards specify information an entity is required to disclose about specific sustainability-related risks and opportunities.,Other IFRS Sustainability Disclosure Standards specify information an entity is required to disclose about specific sustainability-related risks and opportunities.,,mandatory,True,[],general,1.0,1.0
IFRS_S1_11_C01,IFRS S1,11,8,General Requirements,Fair presentation,Fair presentation,A complete set of sustainability-related financial disclosures shall present fairly all sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects.,A complete set of sustainability-related financial disclosures shall present fairly all sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects.,,mandatory,True,[],general,1.0,1.0
IFRS_S1_12_C01,IFRS S1,12,8,General Requirements,Fair presentation,Fair presentation,"To identify sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, an entity shall apply paragraphs B1–B12.","To identify sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, an entity shall apply paragraphs B1–B12.",,mandatory,True,[],general,1.0,1.0
IFRS_S1_13_C01,IFRS S1,13,8,General Requirements,Fair presentation,Fair presentation,"Fair presentation requires disclosure of relevant information about sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects, and their faithful representation in accordance with the principles set out in this Standard. To achieve faithful representation, an entity shall provide a complete, neutral and accurate depiction of those sustainability-related risks and opportunities.","Fair presentation requires disclosure of relevant information about sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects, and their faithful representation in accordance with the principles set out in this Standard. To achieve faithful representation, an entity shall provide a complete, neutral and accurate depiction of those sustainability-related risks and opportunities.",,mandatory,True,[],general,1.0,1.0
IFRS_S1_15_C01,IFRS S1,15,8,General Requirements,Fair presentation,Fair presentation,"Fair presentation also requires an entity — (a) to disclose information that is comparable, verifiable, timely and understandable","Fair presentation also requires an entity: (a) to disclose information that is comparable, verifiable, timely and understandable; and (b) to disclose additional information if compliance with the specifically applicable requirements in IFRS Sustainability Disclosure Standards is insufficient to enable users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on the entity’s cash flows, its access to finance and cost of capital over the short, medium and long term.",(a),mandatory,True,[],general,1.0,1.0
IFRS_S1_15_C02,IFRS S1,15,8,General Requirements,Fair presentation,Fair presentation,"Fair presentation also requires an entity — (b) to disclose additional information if compliance with the specifically applicable requirements in IFRS Sustainability Disclosure Standards is insufficient to enable users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on the entity’s cash flows, its access to finance and cost of capital over the short, medium and long term.","Fair presentation also requires an entity: (a) to disclose information that is comparable, verifiable, timely and understandable; and (b) to disclose additional information if compliance with the specifically applicable requirements in IFRS Sustainability Disclosure Standards is insufficient to enable users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on the entity’s cash flows, its access to finance and cost of capital over the short, medium and long term.",(b),mandatory,True,"[""financial_effects""]",medium,1.0,1.0
IFRS_S1_17_C01,IFRS S1,17,9,General Requirements,Materiality,Materiality,An entity shall disclose material information about the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects.,An entity shall disclose material information about the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects.,,mandatory,True,"[""materiality""]",general,1.0,1.0
IFRS_S1_19_C01,IFRS S1,19,9,General Requirements,Materiality,Materiality,"To identify and disclose material information, an entity shall apply paragraphs B13–B37.","To identify and disclose material information, an entity shall apply paragraphs B13–B37.",,mandatory,True,"[""materiality""]",general,1.0,1.0
