meeting_id,bank_id,committee_name,committee_type,meeting_date,reporting_year,quorum_reached,members_present,climate_agenda_flag,climate_topics_discussed,decision_made_flag,decision_summary,ifrs_s2_para_evidence
MTG-BANK01-FB-2022-001,BANK01,Full Board,full_board,2022-01-12,2022,True,7,True,transition_plan_review|exec_remuneration_esg_kpis,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK01-FB-2022-002,BANK01,Full Board,full_board,2022-04-12,2022,False,8,True,carbon_credit_approval,False,,§6(a)(iii)
MTG-BANK01-FB-2022-003,BANK01,Full Board,full_board,2022-07-08,2022,True,8,True,exec_remuneration_esg_kpis|tcfd_review|carbon_credit_approval,False,,§6(a)(iii)
MTG-BANK01-FB-2022-004,BANK01,Full Board,full_board,2022-10-11,2022,True,9,True,carbon_credit_approval,True,Approved carbon credit procurement budget,§6(a)(iii)
MTG-BANK01-ESG-2022-005,BANK01,ESG & Sustainability Committee,esg_committee,2022-07-01,2022,True,5,True,net_zero_progress|carbon_credit_approval|tcfd_review,False,,§6(a)(iii)
MTG-BANK01-ESG-2022-006,BANK01,ESG & Sustainability Committee,esg_committee,2022-10-03,2022,True,4,True,transition_plan_review|physical_risk_update|tcfd_review|scenario_analysis,False,,§6(a)(iii)
MTG-BANK01-ESG-2022-007,BANK01,ESG & Sustainability Committee,esg_committee,2022-03-28,2022,True,4,True,physical_risk_update|transition_plan_review|carbon_credit_approval,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK01-ESG-2022-008,BANK01,ESG & Sustainability Committee,esg_committee,2022-08-25,2022,True,3,True,transition_plan_review|green_finance_growth|net_zero_progress|scenario_analysis,True,Endorsed updated transition plan,§6(a)(v)
MTG-BANK01-ESG-2022-009,BANK01,ESG & Sustainability Committee,esg_committee,2022-04-04,2022,True,5,True,scenario_analysis|transition_plan_review|tcfd_review|exec_remuneration_esg_kpis,False,,§6(a)(iii)
MTG-BANK01-FB-2023-001,BANK01,Full Board,full_board,2023-01-13,2023,True,8,True,green_finance_growth,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK01-FB-2023-002,BANK01,Full Board,full_board,2023-04-25,2023,True,9,True,green_finance_growth|exec_remuneration_esg_kpis|carbon_credit_approval,True,Endorsed net-zero interim target revision,§6(a)(iii)
MTG-BANK01-FB-2023-003,BANK01,Full Board,full_board,2023-07-11,2023,True,8,True,transition_plan_review,False,,§6(a)(iii)
MTG-BANK01-FB-2023-004,BANK01,Full Board,full_board,2023-10-30,2023,True,9,True,exec_remuneration_esg_kpis|green_finance_growth|transition_plan_review,True,Endorsed net-zero interim target revision,§6(a)(iii)
MTG-BANK01-FB-2023-005,BANK01,Full Board,full_board,2023-11-16,2023,True,10,True,scenario_analysis|transition_plan_review,True,Approved carbon credit procurement budget,§6(a)(iii)
MTG-BANK01-FB-2023-006,BANK01,Full Board,full_board,2023-03-20,2023,True,9,False,,False,,§6(a)(iii)
MTG-BANK01-FB-2023-007,BANK01,Full Board,full_board,2023-10-19,2023,True,10,True,net_zero_progress,True,Approved carbon credit procurement budget,§6(a)(iii)
MTG-BANK01-ESG-2023-008,BANK01,ESG & Sustainability Committee,esg_committee,2023-12-22,2023,True,4,True,carbon_credit_approval|physical_risk_update,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK01-ESG-2023-009,BANK01,ESG & Sustainability Committee,esg_committee,2023-07-10,2023,False,5,True,net_zero_progress|scenario_analysis|tcfd_review,False,,§6(a)(iii)
MTG-BANK01-ESG-2023-010,BANK01,ESG & Sustainability Committee,esg_committee,2023-04-17,2023,True,4,True,exec_remuneration_esg_kpis|carbon_credit_approval|physical_risk_update|tcfd_review,True,Approved climate scenario analysis methodology,§6(a)(v)
MTG-BANK01-ESG-2023-011,BANK01,ESG & Sustainability Committee,esg_committee,2023-09-04,2023,True,5,True,physical_risk_update|transition_plan_review|tcfd_review,False,,§6(a)(iii)
MTG-BANK01-ESG-2023-012,BANK01,ESG & Sustainability Committee,esg_committee,2023-08-18,2023,True,5,True,exec_remuneration_esg_kpis|transition_plan_review|green_finance_growth|scenario_analysis,False,,§6(a)(iii)
MTG-BANK01-ESG-2023-013,BANK01,ESG & Sustainability Committee,esg_committee,2023-09-25,2023,True,5,True,green_finance_growth|scenario_analysis|tcfd_review|carbon_credit_approval,True,Endorsed updated transition plan,§6(a)(v)
MTG-BANK01-FB-2024-001,BANK01,Full Board,full_board,2024-01-24,2024,True,9,True,transition_plan_review|carbon_credit_approval,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK01-FB-2024-002,BANK01,Full Board,full_board,2024-04-12,2024,True,9,True,tcfd_review,False,,§6(a)(iii)
MTG-BANK01-FB-2024-003,BANK01,Full Board,full_board,2024-07-17,2024,True,10,True,transition_plan_review,True,Approved climate scenario analysis methodology,§6(a)(iii)
MTG-BANK01-FB-2024-004,BANK01,Full Board,full_board,2024-10-07,2024,True,10,True,tcfd_review|green_finance_growth,True,Endorsed updated transition plan,§6(a)(iii)
MTG-BANK01-FB-2024-005,BANK01,Full Board,full_board,2024-11-04,2024,True,10,True,tcfd_review,False,,§6(a)(iii)
MTG-BANK01-FB-2024-006,BANK01,Full Board,full_board,2024-03-18,2024,False,10,True,tcfd_review|green_finance_growth|exec_remuneration_esg_kpis,False,,§6(a)(iii)
MTG-BANK01-FB-2024-007,BANK01,Full Board,full_board,2024-11-01,2024,True,6,True,net_zero_progress,True,Endorsed net-zero interim target revision,§6(a)(iii)
MTG-BANK01-FB-2024-008,BANK01,Full Board,full_board,2024-11-26,2024,True,10,True,exec_remuneration_esg_kpis|physical_risk_update,True,Approved carbon credit procurement budget,§6(a)(iii)
MTG-BANK01-ESG-2024-009,BANK01,ESG & Sustainability Committee,esg_committee,2024-07-19,2024,True,5,True,transition_plan_review|scenario_analysis,True,Approved carbon credit procurement budget,§6(a)(v)
MTG-BANK01-ESG-2024-010,BANK01,ESG & Sustainability Committee,esg_committee,2024-04-15,2024,True,5,True,physical_risk_update|tcfd_review|transition_plan_review,True,Approved carbon credit procurement budget,§6(a)(v)
MTG-BANK01-ESG-2024-011,BANK01,ESG & Sustainability Committee,esg_committee,2024-04-15,2024,True,5,True,tcfd_review|physical_risk_update,True,Approved climate scenario analysis methodology,§6(a)(v)
MTG-BANK01-ESG-2024-012,BANK01,ESG & Sustainability Committee,esg_committee,2024-08-29,2024,True,4,True,tcfd_review|exec_remuneration_esg_kpis,True,Approved climate scenario analysis methodology,§6(a)(v)
MTG-BANK01-ESG-2024-013,BANK01,ESG & Sustainability Committee,esg_committee,2024-07-15,2024,True,5,True,exec_remuneration_esg_kpis|carbon_credit_approval|net_zero_progress,False,,§6(a)(iii)
MTG-BANK01-ESG-2024-014,BANK01,ESG & Sustainability Committee,esg_committee,2024-06-10,2024,True,5,True,net_zero_progress|exec_remuneration_esg_kpis,True,Approved climate scenario analysis methodology,§6(a)(v)
MTG-BANK01-ESG-2024-015,BANK01,ESG & Sustainability Committee,esg_committee,2024-05-20,2024,False,5,True,net_zero_progress|physical_risk_update,True,Approved carbon credit procurement budget,§6(a)(v)
MTG-BANK02-FB-2022-001,BANK02,Full Board,full_board,2022-01-13,2022,True,5,True,green_finance_growth|net_zero_progress|carbon_credit_approval,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK02-FB-2022-002,BANK02,Full Board,full_board,2022-04-18,2022,True,7,True,physical_risk_update|exec_remuneration_esg_kpis,True,Approved 2024 ESG report for publication,§6(a)(iii)
MTG-BANK02-FB-2022-003,BANK02,Full Board,full_board,2022-07-18,2022,True,8,False,,False,,§6(a)(iii)
MTG-BANK02-FB-2022-004,BANK02,Full Board,full_board,2022-10-20,2022,True,9,True,tcfd_review|physical_risk_update,False,,§6(a)(iii)
MTG-BANK02-FB-2022-005,BANK02,Full Board,full_board,2022-09-06,2022,True,8,True,green_finance_growth|physical_risk_update|scenario_analysis,True,Approved climate scenario analysis methodology,§6(a)(iii)
MTG-BANK02-FB-2022-006,BANK02,Full Board,full_board,2022-01-31,2022,True,4,False,,False,,§6(a)(iii)
MTG-BANK02-ESG-2022-007,BANK02,ESG & Sustainability Committee,esg_committee,2022-04-07,2022,True,3,True,carbon_credit_approval|physical_risk_update,True,Approved carbon credit procurement budget,§6(a)(v)
MTG-BANK02-ESG-2022-008,BANK02,ESG & Sustainability Committee,esg_committee,2022-10-10,2022,True,4,True,green_finance_growth|net_zero_progress,False,,§6(a)(iii)
MTG-BANK02-ESG-2022-009,BANK02,ESG & Sustainability Committee,esg_committee,2022-09-05,2022,True,3,True,scenario_analysis|carbon_credit_approval,True,Endorsed updated transition plan,§6(a)(v)
MTG-BANK02-ESG-2022-010,BANK02,ESG & Sustainability Committee,esg_committee,2022-11-02,2022,True,4,True,green_finance_growth|carbon_credit_approval|tcfd_review,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK02-FB-2023-001,BANK02,Full Board,full_board,2023-01-30,2023,True,9,True,exec_remuneration_esg_kpis|scenario_analysis,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK02-FB-2023-002,BANK02,Full Board,full_board,2023-04-06,2023,True,6,False,,False,,§6(a)(iii)
MTG-BANK02-FB-2023-003,BANK02,Full Board,full_board,2023-07-11,2023,True,9,True,scenario_analysis,True,Approved carbon credit procurement budget,§6(a)(iii)
MTG-BANK02-FB-2023-004,BANK02,Full Board,full_board,2023-10-16,2023,True,7,False,,False,,§6(a)(iii)
MTG-BANK02-FB-2023-005,BANK02,Full Board,full_board,2023-04-03,2023,True,6,False,,False,,§6(a)(iii)
MTG-BANK02-FB-2023-006,BANK02,Full Board,full_board,2023-06-12,2023,True,8,False,,False,,§6(a)(iii)
MTG-BANK02-ESG-2023-007,BANK02,ESG & Sustainability Committee,esg_committee,2023-03-27,2023,True,4,True,physical_risk_update|green_finance_growth|exec_remuneration_esg_kpis,True,Approved carbon credit procurement budget,§6(a)(v)
MTG-BANK02-ESG-2023-008,BANK02,ESG & Sustainability Committee,esg_committee,2023-08-07,2023,True,4,True,transition_plan_review|green_finance_growth,False,,§6(a)(iii)
MTG-BANK02-ESG-2023-009,BANK02,ESG & Sustainability Committee,esg_committee,2023-06-09,2023,True,4,True,scenario_analysis|net_zero_progress,True,Endorsed updated transition plan,§6(a)(v)
MTG-BANK02-ESG-2023-010,BANK02,ESG & Sustainability Committee,esg_committee,2023-10-02,2023,True,4,True,scenario_analysis|tcfd_review|green_finance_growth,True,Endorsed updated transition plan,§6(a)(v)
MTG-BANK02-FB-2024-001,BANK02,Full Board,full_board,2024-01-22,2024,True,8,True,tcfd_review,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK02-FB-2024-002,BANK02,Full Board,full_board,2024-04-15,2024,True,7,True,scenario_analysis|carbon_credit_approval|tcfd_review,True,Approved carbon credit procurement budget,§6(a)(iii)
MTG-BANK02-FB-2024-003,BANK02,Full Board,full_board,2024-07-29,2024,True,8,True,green_finance_growth|scenario_analysis|carbon_credit_approval,False,,§6(a)(iii)
MTG-BANK02-FB-2024-004,BANK02,Full Board,full_board,2024-10-21,2024,True,9,False,,False,,§6(a)(iii)
MTG-BANK02-ESG-2024-005,BANK02,ESG & Sustainability Committee,esg_committee,2024-06-20,2024,True,4,True,net_zero_progress|carbon_credit_approval,True,Approved carbon credit procurement budget,§6(a)(v)
MTG-BANK02-ESG-2024-006,BANK02,ESG & Sustainability Committee,esg_committee,2024-02-19,2024,True,4,True,transition_plan_review|scenario_analysis|net_zero_progress,False,,§6(a)(iii)
