data_req_id,category,field_name,data_type,source_system
DR-GOV-001,Governance,board_oversight_description,text,ERM_GRC
DR-GOV-002,Governance,esg_committee_composition,text,HR
DR-GOV-003,Governance,esg_linked_compensation_pct,numeric,HR
DR-EM-001,Emissions,scope_1_tco2e,numeric,ESG_DATA
DR-EM-002,Emissions,scope_2_location_tco2e,numeric,ESG_DATA
DR-EM-003,Emissions,scope_2_market_tco2e,numeric,ESG_DATA
DR-EM-004,Emissions,scope_3_financed_tco2e,numeric,ESG_DATA
DR-EM-005,Emissions,pcaf_data_quality_score,numeric,ESG_DATA
DR-EX-001,Exposures,outstanding_amount_meur,numeric,LMS
DR-EX-002,Exposures,counterparty_nace_code,text,CIF
DR-EX-003,Exposures,counterparty_evic_meur,numeric,CIF
DR-EN-001,Energy,electricity_kwh,numeric,FACILITIES
DR-EN-002,Energy,renewable_share_pct,numeric,FACILITIES
DR-TR-001,Transport,vehicle_emissions_g_co2_per_km,numeric,FLEET
DR-TR-002,Transport,travel_emissions_kg_co2e,numeric,TRAVEL
DR-TG-001,Targets,target_year,numeric,ESG_DATA
DR-TG-002,Targets,target_pct_reduction,numeric,ESG_DATA
DR-CL-001,Collateral,epc_rating,text,LMS
DR-CL-002,Collateral,property_market_value,numeric,LMS
DR-RM-001,Risk_management,climate_risk_identification_process,text,ERM_GRC
DR-SC-001,Scenarios,scenario_framework,text,ESG_DATA
DR-SC-002,Scenarios,physical_risk_loss_pct,numeric,ESG_DATA
DR-SC-003,Scenarios,transition_risk_loss_pct,numeric,ESG_DATA
DR-PR-001,Physical_risk,hazard_type,text,ESG_DATA
DR-PR-002,Physical_risk,acute_risk_score,numeric,ESG_DATA
DR-CC-001,Carbon_credits,tonnes_co2e_retired,numeric,ESG_DATA
