disclosure_id,data_req_id,relevance,role
S2.29(a)(i),DR-EM-001,primary,quantitative_input
S2.29(a)(i),DR-EN-001,secondary,quantitative_input
S2.29(a)(i),DR-TR-001,secondary,quantitative_input
S2.29(a)(ii),DR-EM-002,primary,quantitative_input
S2.29(a)(ii),DR-EM-003,primary,quantitative_input
S2.29(a)(ii),DR-EN-002,secondary,quantitative_input
S2.29(a)(iii),DR-EM-004,primary,quantitative_input
S2.29(a)(iii),DR-EM-005,primary,supporting
S2.29(a)(iii),DR-EX-001,primary,quantitative_input
S2.29(a)(iii),DR-EX-002,primary,supporting
S2.29(a)(iii),DR-EX-003,primary,quantitative_input
S2.29(a)(iii),DR-CL-001,secondary,supporting
S2.29(g),DR-EX-001,primary,quantitative_input
S2.6,DR-GOV-001,primary,narrative_input
S2.6,DR-GOV-002,primary,governance_evidence
S2.6,DR-GOV-003,secondary,quantitative_input
S1.27,DR-GOV-001,primary,narrative_input
S1.29,DR-GOV-002,primary,narrative_input
S2.25,DR-RM-001,primary,narrative_input
S1.43,DR-RM-001,primary,narrative_input
S2.33,DR-TG-001,primary,quantitative_input
S2.33,DR-TG-002,primary,quantitative_input
S1.46,DR-TG-001,secondary,quantitative_input
S2.13,DR-EX-002,primary,supporting
S2.22,DR-CL-002,secondary,supporting
S2.22,DR-SC-001,primary,narrative_input
S2.22,DR-SC-002,primary,quantitative_input
S2.22,DR-SC-003,primary,quantitative_input
S2.25,DR-PR-001,secondary,supporting
S2.25,DR-PR-002,secondary,quantitative_input
