disclosure_id,standard,topic,paragraph,disclosure_type,title
S1.27,IFRS_S1,Governance,27,narrative,Governance body oversight of sustainability risks and opportunities
S1.28,IFRS_S1,Governance,28,narrative,Governance body skills and competencies for sustainability oversight
S1.29,IFRS_S1,Governance,29,narrative,Management role in sustainability oversight
S1.33,IFRS_S1,Strategy,33,narrative,Sustainability-related risks and opportunities affecting the entity
S1.34,IFRS_S1,Strategy,34,narrative,Effects on business model and value chain
S1.35,IFRS_S1,Strategy,35,narrative,Effects on strategy and decision-making
S1.36,IFRS_S1,Strategy,36,narrative,"Effects on financial position, performance and cash flows"
S1.37,IFRS_S1,Strategy,37,narrative,Resilience of strategy and business model to sustainability risks
S1.41,IFRS_S1,Risk_management,41,narrative,Processes to identify and assess sustainability-related risks
S1.42,IFRS_S1,Risk_management,42,narrative,Processes to manage sustainability-related risks
S1.43,IFRS_S1,Risk_management,43,narrative,Integration of risk identification and management into overall risk framework
S1.50,IFRS_S1,Metrics_targets,50,quantitative,Metrics used to measure and monitor sustainability-related risks
S1.51,IFRS_S1,Metrics_targets,51,quantitative,Cross-industry metric categories
S1.52,IFRS_S1,Metrics_targets,52,narrative,Targets set to manage sustainability-related risks and opportunities
S2.6a,IFRS_S2,Governance,6(a),narrative,Board oversight of climate-related risks and opportunities
S2.6a_iii,IFRS_S2,Governance,6(a)(iii),narrative,Board oversight: how board is informed about climate risks
S2.6a_v,IFRS_S2,Governance,6(a)(v),narrative,Board oversight: how performance targets for climate are monitored
S2.6b,IFRS_S2,Governance,6(b),narrative,Management role in climate risk assessment and management
S2.9,IFRS_S2,Strategy,9,narrative,"Climate-related risks and opportunities identified over short, medium and long term"
S2.10,IFRS_S2,Strategy,10,narrative,"Definition of short, medium and long term time horizons"
S2.11,IFRS_S2,Strategy,11,narrative,Concentration of transition and physical risks in value chain
S2.13,IFRS_S2,Strategy,13,narrative,Effects of climate risks and opportunities on business model and value chain
S2.15,IFRS_S2,Strategy,15,narrative,Current and anticipated financial effects of climate risks and opportunities
S2.19,IFRS_S2,Strategy,19,narrative,Climate-related transition plan
S2.22,IFRS_S2,Strategy,22,narrative,"Climate scenario analysis inputs, assumptions, and analytical choices"
S2.22b,IFRS_S2,Strategy,22(b),narrative,"Scenario assumptions: carbon price, GDP growth, renewable share, technology readiness"
S2.29e,IFRS_S2,Strategy,29(e),narrative,Resilience of strategy assessed through scenario analysis
S2.25a,IFRS_S2,Risk_management,25(a),narrative,Processes to identify and assess climate-related risks
S2.25b,IFRS_S2,Risk_management,25(b),narrative,Inputs and parameters used in risk assessment including data sources
S2.25c,IFRS_S2,Risk_management,25(c),narrative,Whether and how transition and physical risks are prioritised
S2.31,IFRS_S2,Risk_management,31,narrative,Integration of climate risk identification into overall enterprise risk management
S2.29a_i,IFRS_S2,Metrics_targets,29(a)(i),quantitative,Absolute gross Scope 1 GHG emissions
S2.29a_ii,IFRS_S2,Metrics_targets,29(a)(ii),quantitative,Absolute gross Scope 2 GHG emissions (location-based and market-based)
S2.29a_iii,IFRS_S2,Metrics_targets,29(a)(iii),quantitative,Absolute gross Scope 3 GHG emissions and categories included
S2.29b,IFRS_S2,Metrics_targets,29(b),quantitative,Transition and physical climate risk exposure metrics
S2.29f,IFRS_S2,Metrics_targets,29(f),quantitative,Internal carbon price applied to decision-making
S2.29g,IFRS_S2,Metrics_targets,29(g),quantitative,Executive remuneration linked to climate-related considerations
S2.33,IFRS_S2,Metrics_targets,33,narrative,Targets used to manage climate-related risks and opportunities
S2.34,IFRS_S2,Metrics_targets,34,quantitative,Quantitative and qualitative targets including milestones
S2.36e,IFRS_S2,Metrics_targets,36(e),narrative,"Use of carbon credits including type, quality and quantity retired"
S2.B62,IFRS_S2,Metrics_targets,B62,quantitative,"Financed emissions: PCAF methodology, attribution factors, data quality scores"
S2.B62A,IFRS_S2,Metrics_targets,B62A,quantitative,Financed emissions from sovereign bonds using PCAF sovereign methodology
S2.B63,IFRS_S2,Metrics_targets,B63,quantitative,Portfolio carbon intensity of lending activities (tCO2e per EUR million lent)
