system_id,system_name,purpose,owner
CIF,Customer Information File,counterparty master data,CRM
KYC,Know Your Customer,due diligence and onboarding,Compliance
LMS,Loan Management System,exposure & collateral tracking,Credit
ESG_DATA,ESG Data Warehouse,"emissions, targets, sustainability metrics",Sustainability
ERM_GRC,Enterprise Risk / GRC,"risk register, governance documentation",Risk
HR,Human Resources System,"workforce, training, compensation",HR
FACILITIES,Facilities Management,"buildings, utilities, energy",Operations
FLEET,Fleet Management,vehicles and fuel,Operations
TRAVEL,Travel & Expense,business travel records,Operations
PROCUREMENT,Procurement System,supplier data and spend,Procurement
