invoice_id,facility_id,bank_id,invoice_year,invoice_month,electricity_kwh,electricity_cost_eur,renewable_share_pct,natural_gas_kwh,natural_gas_cost_eur,water_m3,water_cost_eur,rec_volume_kwh,rec_registry,grid_emission_factor_tco2e_per_mwh,scope2_location_tco2e,scope2_market_tco2e,scope1_gas_tco2e
UI0000001,FAC0001,BANK01,2022,2022-01,360139,112705.06,50,155810,20432.19,1098,5025.03,180069.5,I-REC,0.2987,107.5735,53.7868,31.4736
UI0000002,FAC0001,BANK01,2022,2022-02,354996,64592.6,40,180250,22602.68,658,2844.89,141998.4,GO,0.2987,106.0373,63.6224,36.4105
UI0000003,FAC0001,BANK01,2022,2022-03,254865,46460.49,20,128207,13213.04,684,2422.58,50973.0,I-REC,0.2987,76.1282,60.9025,25.8978
UI0000004,FAC0001,BANK01,2022,2022-04,256227,54290.27,40,125800,13090.43,665,2957.56,102490.8,I-REC,0.2987,76.535,45.921,25.4116
UI0000005,FAC0001,BANK01,2022,2022-05,269050,61739.37,20,137128,10616.56,666,3267.33,53810.0,I-REC,0.2987,80.3652,64.2922,27.6999
UI0000006,FAC0001,BANK01,2022,2022-06,347049,101514.29,50,157155,15581.0,653,1975.94,173524.5,GO,0.2987,103.6635,51.8318,31.7453
UI0000007,FAC0001,BANK01,2022,2022-07,320516,85137.94,50,143334,16044.54,1010,4099.87,160258.0,GO,0.2987,95.7381,47.8691,28.9535
UI0000008,FAC0001,BANK01,2022,2022-08,322722,74787.42,30,149941,20681.38,1053,3291.94,96816.6,GO,0.2987,96.3971,67.4779,30.2881
UI0000009,FAC0001,BANK01,2022,2022-09,269826,74568.96,40,123778,16550.38,702,3373.19,107930.4,GO,0.2987,80.597,48.3582,25.0032
UI0000010,FAC0001,BANK01,2022,2022-10,280014,72159.44,40,135983,15013.26,898,3288.59,112005.6,GO,0.2987,83.6402,50.1841,27.4686
UI0000011,FAC0001,BANK01,2022,2022-11,256043,71470.48,30,116481,13122.41,785,3631.92,76812.9,I-REC,0.2987,76.48,53.536,23.5292
UI0000012,FAC0001,BANK01,2022,2022-12,345370,86872.46,40,169948,13033.45,1201,5404.96,138148.0,GO,0.2987,103.162,61.8972,34.3295
UI0000013,FAC0001,BANK01,2023,2023-01,365153,69148.86,50,150694,14658.06,908,3074.82,182576.5,GO,0.29,105.8944,52.9472,30.4402
UI0000014,FAC0001,BANK01,2023,2023-02,375583,92515.32,30,171437,14680.72,815,2449.98,112674.9,I-REC,0.29,108.9191,76.2433,34.6303
UI0000015,FAC0001,BANK01,2023,2023-03,259570,81487.71,50,126326,13128.91,960,3483.2,129785.0,I-REC,0.29,75.2753,37.6376,25.5179
UI0000016,FAC0001,BANK01,2023,2023-04,287742,90374.47,40,115950,12966.82,1142,3700.91,115096.8,I-REC,0.29,83.4452,50.0671,23.4219
UI0000017,FAC0001,BANK01,2023,2023-05,279735,60073.57,50,129160,12440.77,692,3045.69,139867.5,GO,0.29,81.1231,40.5616,26.0903
UI0000018,FAC0001,BANK01,2023,2023-06,349691,64182.19,50,144676,16726.64,699,3162.8,174845.5,I-REC,0.29,101.4104,50.7052,29.2246
UI0000019,FAC0001,BANK01,2023,2023-07,299126,72548.8,40,149704,14482.57,1215,4026.46,119650.4,I-REC,0.29,86.7465,52.0479,30.2402
UI0000020,FAC0001,BANK01,2023,2023-08,322999,70618.22,60,145155,17337.43,1235,4824.73,193799.4,I-REC,0.29,93.6697,37.4679,29.3213
UI0000021,FAC0001,BANK01,2023,2023-09,249240,46692.44,30,114186,10603.05,1249,4938.8,74772.0,I-REC,0.29,72.2796,50.5957,23.0656
UI0000022,FAC0001,BANK01,2023,2023-10,248109,66504.29,30,131536,15158.6,824,3123.85,74432.7,I-REC,0.29,71.9516,50.3661,26.5703
UI0000023,FAC0001,BANK01,2023,2023-11,257990,58141.14,50,131641,16185.84,574,1767.21,128995.0,GO,0.29,74.8171,37.4085,26.5915
UI0000024,FAC0001,BANK01,2023,2023-12,357179,67486.44,60,171794,12842.05,1071,3537.66,214307.4,GO,0.29,103.5819,41.4328,34.7024
