collateral_id,exposure_id,bank_id,counterparty_id,collateral_type,property_type,country,market_value_meur,ltv_pct,epc_rating,year_built,floor_area_sqm,valuation_date,physical_risk_score,market_value_at_origination_meur,building_emissions_tco2e,postcode,flood_zone_class,exposure_amount_meur
COL00001,EXP000001,BANK01,CP00001,real_estate,retail,ES,11.08,47.9,C,2013,17395,2023-08-08,3,12.12,428.79,49469,high,5.31
COL00002,EXP000002,BANK01,CP00001,real_estate,office,IT,12.93,47.5,E,1998,5591,2023-07-23,2,10.41,517.06,45550,medium,6.14
COL00003,EXP000003,BANK01,CP00002,real_estate,logistics,PL,25.13,49.9,C,2015,11822,2024-12-10,3,20.16,1306.33,48411,high,12.53
COL00004,EXP000011,BANK01,CP00006,real_estate,warehouse,IT,4.4,53.9,E,2000,664,2023-06-04,4,3.6,61.41,10036,very_high,2.37
COL00005,EXP000013,BANK01,CP00006,real_estate,mixed_use,IT,4.39,46.0,C,1960,14963,2023-05-09,3,3.78,691.89,81880,high,2.02
COL00006,EXP000018,BANK01,CP00009,real_estate,industrial,NL,10.42,59.6,E,1981,19891,2024-01-22,2,9.68,2028.88,1429 EV,medium,6.21
COL00007,EXP000020,BANK01,CP00010,real_estate,logistics,DE,23.9,55.0,B,2006,730,2023-11-06,4,20.57,27.74,75664,very_high,13.14
COL00008,EXP000021,BANK01,CP00011,real_estate,logistics,PL,4.64,57.1,F,2012,13647,2023-12-27,2,3.89,3991.75,30321,medium,2.65
COL00009,EXP000022,BANK01,CP00011,real_estate,mixed_use,LU,3.33,62.5,D,2018,14237,2024-01-18,2,3.91,320.33,47031,medium,2.08
COL00010,EXP000028,BANK01,CP00016,real_estate,mixed_use,BE,1052.0,52.8,C,1996,23206,2024-09-27,5,954.77,670.65,58658,very_high,555.54
COL00011,EXP000030,BANK01,CP00017,real_estate,mixed_use,BE,183.6,71.8,A,2012,3597,2024-05-23,3,242.73,30.57,39458,high,131.76
COL00012,EXP000033,BANK01,CP00019,real_estate,warehouse,DE,7.33,54.8,D,1997,13983,2023-08-05,2,5.81,1328.38,56960,medium,4.02
COL00013,EXP000034,BANK01,CP00019,real_estate,industrial,LU,8.14,48.3,C,2004,15402,2024-02-27,5,6.45,235.65,42798,very_high,3.93
COL00014,EXP000040,BANK01,CP00022,real_estate,mixed_use,FR,4.79,66.6,G,1993,10272,2024-02-29,3,5.63,320.49,49143,high,3.19
COL00015,EXP000042,BANK01,CP00022,real_estate,office,FR,3.68,76.1,F,2007,17205,2024-09-06,2,4.4,402.6,21293,medium,2.8
COL00016,EXP000043,BANK01,CP00022,real_estate,residential_multi,PL,1.93,65.8,D,1984,20393,2024-10-21,2,2.33,3313.86,82997,medium,1.27
COL00017,EXP000044,BANK01,CP00023,real_estate,residential_multi,BE,347.33,70.6,F,1982,13409,2023-11-22,3,358.61,1025.79,62401,high,245.29
COL00018,EXP000045,BANK01,CP00024,real_estate,mixed_use,DE,15.41,70.7,B,2010,20755,2023-09-24,4,23.26,788.69,19290,very_high,10.9
COL00019,EXP000047,BANK01,CP00025,real_estate,office,ES,6.37,72.2,C,1979,1111,2024-09-24,3,6.97,27.39,40434,high,4.6
COL00020,EXP000049,BANK01,CP00027,real_estate,logistics,PL,8.86,51.0,C,2005,6313,2023-09-03,3,7.62,697.59,70939,high,4.52
COL00021,EXP000050,BANK01,CP00027,real_estate,mixed_use,IE,9.63,65.7,B,2008,8735,2024-11-06,1,9.3,253.31,71844,low,6.33
COL00022,EXP000054,BANK01,CP00030,real_estate,office,NL,2323.48,53.3,B,1973,3835,2024-04-15,5,2548.44,115.05,6166 ND,very_high,1239.49
COL00023,EXP000060,BANK01,CP00031,real_estate,retail,DE,1908.36,47.5,B,2023,12042,2023-08-01,2,1454.16,457.6,96313,medium,906.52
COL00024,EXP000061,BANK01,CP00032,real_estate,office,BE,3.02,57.6,A,1986,22722,2024-03-05,2,2.83,193.14,47548,medium,1.74
COL00025,EXP000063,BANK01,CP00032,real_estate,mixed_use,IT,3.03,69.3,F,1982,21815,2024-08-03,3,3.6,2670.16,92710,high,2.1
COL00026,EXP000065,BANK01,CP00034,real_estate,retail,NL,29.28,57.6,C,1960,5390,2024-06-18,3,28.83,274.89,9054 HS,high,16.87
COL00027,EXP000069,BANK01,CP00036,real_estate,office,AT,71.8,56.6,A,1987,12156,2023-04-28,4,63.07,66.86,87598,very_high,40.65
COL00028,EXP000070,BANK01,CP00037,real_estate,office,LU,51.49,51.2,B,1994,9167,2024-05-08,2,50.93,82.5,72562,medium,26.34
COL00029,EXP000071,BANK01,CP00037,real_estate,logistics,AT,25.48,63.9,E,2023,14488,2024-06-08,5,28.29,541.85,89561,very_high,16.28
COL00030,EXP000074,BANK01,CP00039,real_estate,mixed_use,FR,12.65,47.7,B,2010,3571,2024-08-20,4,11.8,18.57,60615,very_high,6.03
COL00031,EXP000078,BANK01,CP00040,real_estate,logistics,FI,1240.19,57.5,B,2014,19740,2023-10-06,4,1263.7,493.5,67816,very_high,713.14
COL00032,EXP000081,BANK01,CP00042,real_estate,retail,PT,66.17,47.4,D,2017,5680,2023-02-04,5,48.87,355.0,39783,very_high,31.39
COL00033,EXP000082,BANK01,CP00042,real_estate,warehouse,BE,51.41,48.9,C,2005,13251,2023-01-31,1,41.71,382.95,28511,low,25.15
COL00034,EXP000084,BANK01,CP00043,real_estate,industrial,BE,0.64,73.4,B,2007,4952,2023-11-18,1,0.77,84.18,83183,low,0.47
COL00035,EXP000085,BANK01,CP00044,real_estate,retail,NL,66.5,67.0,A,2001,7823,2024-07-29,1,72.06,117.34,8852 GW,low,44.56
COL00036,EXP000086,BANK01,CP00044,real_estate,industrial,FR,224.99,71.8,B,1969,19007,2024-10-23,3,231.49,98.84,23369,high,161.56
COL00037,EXP000089,BANK01,CP00045,real_estate,industrial,ES,16.89,74.4,C,1965,9192,2024-03-07,1,23.2,226.58,43388,low,12.56
COL00038,EXP000091,BANK01,CP00046,real_estate,warehouse,NL,10.06,60.8,D,1996,784,2024-10-21,4,8.92,58.8,8772 ZC,very_high,6.12
COL00039,EXP000093,BANK01,CP00047,real_estate,industrial,IT,9.42,48.6,C,1965,11255,2024-10-22,1,6.67,520.43,57683,low,4.58
COL00040,EXP000094,BANK01,CP00047,real_estate,residential_multi,FR,6.4,51.2,E,2004,13318,2023-03-23,3,5.23,235.46,49553,high,3.28
COL00041,EXP000095,BANK01,CP00048,real_estate,residential_multi,PL,1.8,63.9,D,2023,21207,2023-05-05,4,1.62,3446.14,21429,very_high,1.15
COL00042,EXP000098,BANK01,CP00048,real_estate,mixed_use,DE,1.9,76.3,B,2001,22731,2024-03-22,2,2.01,863.78,34999,medium,1.45
COL00043,EXP000099,BANK01,CP00049,real_estate,mixed_use,FI,2.64,61.4,E,1960,22752,2023-02-23,2,2.33,1933.92,23049,medium,1.62
COL00044,EXP000101,BANK01,CP00049,real_estate,office,BE,3.04,65.1,G,2008,9044,2024-12-16,2,2.88,922.49,44985,medium,1.98
COL00045,EXP000103,BANK01,CP00051,real_estate,industrial,FR,21.13,63.0,C,2012,21070,2024-04-02,3,25.68,186.26,84702,high,13.31
COL00046,EXP000104,BANK01,CP00051,real_estate,residential_multi,PL,24.22,52.8,B,2001,24148,2024-05-09,2,17.86,1569.62,34770,medium,12.78
COL00047,EXP000106,BANK01,CP00053,real_estate,office,PT,4.71,61.8,C,1991,21809,2024-10-24,3,4.79,926.88,22763,high,2.91
COL00048,EXP000107,BANK01,CP00054,real_estate,residential_multi,DE,9.48,73.8,A,1987,15540,2024-01-30,2,11.0,295.26,24507,medium,7.0
COL00049,EXP000109,BANK01,CP00055,real_estate,warehouse,ES,1301.26,50.4,B,2000,10417,2024-12-26,3,1084.84,151.05,17447,high,655.4
COL00050,EXP000111,BANK01,CP00057,real_estate,industrial,IT,7.26,66.8,D,2017,20531,2024-06-09,2,9.38,1396.11,95721,medium,4.85
COL00051,EXP000113,BANK01,CP00058,real_estate,residential_multi,IT,146.1,69.1,A,1973,5026,2024-04-17,4,170.06,68.35,29056,very_high,100.91
COL00052,EXP000118,BANK01,CP00059,real_estate,industrial,ES,650.79,64.9,F,2017,11732,2023-09-29,1,640.24,765.51,43768,low,422.57
COL00053,EXP000123,BANK01,CP00063,real_estate,residential_multi,ES,19.62,57.1,B,1966,14661,2023-10-07,2,17.65,212.58,19909,medium,11.2
COL00054,EXP000124,BANK01,CP00063,real_estate,residential_multi,FR,20.51,67.8,C,1982,19665,2023-10-10,3,22.06,173.84,72085,high,13.91
COL00055,EXP000125,BANK01,CP00064,real_estate,logistics,FR,885.89,74.4,C,1974,7395,2023-04-28,1,945.58,65.37,27047,low,658.71
COL00056,EXP000126,BANK01,CP00064,real_estate,office,FR,515.41,56.2,C,2011,13042,2024-02-07,1,532.07,115.29,04735,low,289.73
COL00057,EXP000130,BANK01,CP00066,real_estate,mixed_use,BE,293.47,67.4,B,1996,24247,2023-01-04,1,307.83,412.2,85782,low,197.86
COL00058,EXP000131,BANK01,CP00066,real_estate,residential_multi,PT,295.8,50.9,E,1990,5778,2023-11-19,3,210.22,491.13,63356,high,150.52
COL00059,EXP000133,BANK01,CP00067,real_estate,residential_multi,DE,8.72,70.1,C,2020,14222,2023-12-09,1,9.28,918.74,50354,low,6.11
COL00060,EXP000137,BANK01,CP00069,real_estate,office,PL,287.65,54.5,E,1960,16200,2023-09-11,3,241.77,3580.2,82968,high,156.79
COL00061,EXP000138,BANK01,CP00069,real_estate,logistics,PT,1392.13,45.6,A,1981,24939,2023-05-31,4,1097.22,311.74,92811,very_high,635.28
COL00062,EXP000139,BANK01,CP00069,real_estate,retail,AT,1025.97,58.6,E,1992,21938,2024-05-13,2,953.49,820.48,81006,medium,600.91
COL00063,EXP000140,BANK01,CP00070,real_estate,retail,FI,1715.05,51.6,E,2021,3894,2023-10-04,3,1293.86,330.99,68380,high,884.44
COL00064,EXP000144,BANK01,CP00072,real_estate,mixed_use,PL,1800.86,66.7,G,2005,16512,2023-02-01,2,2568.91,6439.68,48640,medium,1201.99
COL00065,EXP000147,BANK01,CP00073,real_estate,industrial,IT,51.68,47.0,E,1973,9175,2024-10-03,3,41.67,848.5,03201,high,24.28
COL00066,EXP000149,BANK01,CP00074,real_estate,warehouse,LU,10.45,68.6,G,2004,11052,2024-02-05,3,11.57,596.81,71176,high,7.17
COL00067,EXP000153,BANK01,CP00075,real_estate,warehouse,IT,320.2,56.6,B,1975,14403,2024-04-10,3,332.07,391.76,74440,high,181.1
COL00068,EXP000155,BANK01,CP00077,real_estate,office,BE,26.8,57.2,B,2019,22512,2023-06-03,3,26.46,382.7,48466,high,15.32
COL00069,EXP000156,BANK01,CP00077,real_estate,industrial,IT,34.86,63.6,D,1997,710,2024-04-09,1,36.16,48.28,77590,low,22.16
COL00070,EXP000157,BANK01,CP00077,real_estate,office,DE,74.47,57.5,D,2005,21835,2023-01-01,1,59.51,2074.32,55017,low,42.81
COL00071,EXP000158,BANK01,CP00078,real_estate,mixed_use,BE,1.66,48.2,F,1979,3018,2024-12-31,2,1.21,230.88,71913,medium,0.8
COL00072,EXP000161,BANK01,CP00080,real_estate,office,DE,582.29,64.0,D,2005,8350,2024-11-25,3,544.3,793.25,93754,high,372.85
COL00073,EXP000163,BANK01,CP00081,real_estate,office,LU,90.4,47.5,G,1999,5878,2024-07-31,3,71.2,317.41,28442,high,42.97
COL00074,EXP000168,BANK01,CP00084,real_estate,retail,NL,1422.48,70.3,E,1998,10194,2023-03-29,2,1474.29,1039.79,1562 KH,medium,1000.25
COL00075,EXP000170,BANK01,CP00085,real_estate,mixed_use,ES,12.34,47.9,B,1977,17454,2024-03-28,3,10.32,253.08,29195,high,5.91
COL00076,EXP000171,BANK01,CP00086,real_estate,retail,IT,60.44,58.1,D,2013,13643,2024-04-17,1,58.65,927.72,78181,low,35.11
COL00077,EXP000174,BANK01,CP00086,real_estate,warehouse,IE,175.56,47.3,E,2007,4370,2024-09-27,3,145.87,430.88,82362,high,82.96
COL00078,EXP000178,BANK01,CP00088,real_estate,residential_multi,BE,272.25,70.8,E,2019,17174,2024-04-16,4,268.34,992.66,74118,very_high,192.63
COL00079,EXP000179,BANK01,CP00088,real_estate,logistics,NL,688.26,71.6,C,1997,18728,2024-05-08,3,843.12,955.13,3290 DT,high,492.9
COL00080,EXP000181,BANK01,CP00089,real_estate,warehouse,DE,101.1,50.9,D,1986,17116,2023-05-28,3,83.83,1626.02,88890,high,51.44
