counterparty_id,bank_id,legal_name,nace_code,nace_description,sector_carbon_tier,country,country_name,annual_revenue_meur,evic_meur,is_listed,sme_flag,onboarded_date,ppp_adjusted_gdp_meur,national_scope1_tco2e,national_scope2_tco2e,national_scope3_tco2e,sbti_target_flag,data_source_type,transition_risk_score
CP00001,BANK01,Civil DE Group 1,F42,Civil engineering,medium,DE,Germany,33.5,53.7,False,True,2023-04-05,,,,,False,estimated_economic,1.78
CP00002,BANK01,Mining AT Group 2,B07,Mining of metal ores,high,AT,Austria,216.8,490.6,True,False,2016-01-19,,,,,False,audited_report,7.55
CP00003,BANK01,Manufacture ES Group 3,C20,Manufacture of chemicals,high,ES,Spain,6.0,9.3,False,True,2022-04-15,,,,,False,estimated_economic,5.18
CP00004,BANK01,Land IT Group 4,H49,Land transport (road & rail),medium,IT,Italy,111.6,189.8,False,False,2024-09-30,,,,,False,estimated_economic,1.93
CP00005,BANK01,Crop IE Group 5,A01,Crop and animal production,high,IE,Ireland,622.9,1129.0,True,False,2023-07-25,,,,,False,estimated_economic,3.09
CP00006,BANK01,Manufacture DE Group 6,C10,Manufacture of food products,medium,DE,Germany,9.8,26.7,False,True,2021-10-08,,,,,False,estimated_economic,1.93
CP00007,BANK01,Manufacture DE Group 7,C24,Manufacture of basic metals (steel),high,DE,Germany,119.7,170.5,False,False,2019-03-31,,,,,False,proxy_model,8.99
CP00008,BANK01,Extraction IT Group 8,B06,Extraction of crude petroleum and natural gas,high,IT,Italy,385.4,1076.7,True,False,2017-02-26,,,,,False,estimated_economic,3.2
CP00009,BANK01,Land DE Group 9,H49,Land transport (road & rail),medium,DE,Germany,24.2,41.6,False,True,2015-11-23,,,,,False,estimated_economic,4.63
CP00010,BANK01,Publishing FI Group 10,J58,Publishing activities,low,FI,Finland,69.2,139.5,False,False,2024-05-09,,,,,False,estimated_economic,0.56
CP00011,BANK01,Manufacture IT Group 11,C11,Manufacture of beverages,medium,IT,Italy,21.3,35.8,False,True,2022-08-31,,,,,False,estimated_economic,3.38
CP00012,BANK01,Civil NL Group 12,F42,Civil engineering,medium,NL,Netherlands,16.3,41.0,False,True,2016-10-31,,,,,True,estimated_economic,2.3
CP00013,BANK01,Manufacture FR Group 13,C27,Manufacture of electrical equipment,medium,FR,France,2993.5,7300.2,True,False,2018-08-21,,,,,False,cdp_disclosure,5.37
CP00014,BANK01,Retail IE Group 14,G47,Retail trade,low,IE,Ireland,24.4,30.7,False,True,2018-07-16,,,,,False,estimated_economic,4.23
