emissions_id,counterparty_id,reporting_year,scope_1_tco2e,scope_2_location_tco2e,scope_2_market_tco2e,scope_3_tco2e,total_ghg_tco2e,pcaf_data_quality_score,data_source,verification_status,gwp_basis
EM000001,CP00001,2022,5407.3,1966.3,1413.5,14424.7,21798.3,4,estimated_economic,modeled,IPCC_AR6
EM000002,CP00001,2023,5263.0,1913.8,1883.6,15800.0,22976.8,4,estimated_economic,modeled,IPCC_AR6
EM000003,CP00001,2024,5122.6,1862.8,1495.5,13665.2,20650.6,4,estimated_economic,modeled,IPCC_AR6
EM000004,CP00002,2022,222868.7,81043.2,77199.5,577683.6,881595.5,2,reported,self_reported,IPCC_AR6
EM000005,CP00002,2023,216135.7,78594.8,58127.6,513089.5,807820.0,2,reported,self_reported,IPCC_AR6
EM000006,CP00002,2024,209606.0,76220.4,59299.6,603807.2,889633.6,1,reported,third_party_verified,IPCC_AR6
EM000007,CP00003,2022,3041.3,1105.9,891.3,8673.2,12820.4,3,estimated_physical,self_reported,IPCC_AR6
EM000008,CP00003,2023,3008.2,1093.9,1069.0,7188.5,11290.6,3,estimated_physical,self_reported,IPCC_AR6
EM000009,CP00003,2024,2975.5,1082.0,1073.3,8231.7,12289.2,4,estimated_economic,modeled,IPCC_AR6
EM000010,CP00004,2022,33571.5,12207.8,9416.8,90627.7,136407.0,2,reported,self_reported,IPCC_AR6
EM000011,CP00004,2023,32926.5,11973.3,8835.6,58569.3,103469.1,3,estimated_physical,self_reported,IPCC_AR6
EM000012,CP00004,2024,32293.8,11743.2,10201.9,67871.6,111908.6,2,reported,self_reported,IPCC_AR6
EM000013,CP00005,2022,76104.5,27674.3,23854.1,169300.0,273078.8,2,reported,self_reported,IPCC_AR6
EM000014,CP00005,2023,73783.9,26830.5,26190.1,144442.6,245057.0,2,reported,self_reported,IPCC_AR6
EM000015,CP00005,2024,71534.1,26012.4,19343.2,165529.3,263075.8,2,reported,self_reported,IPCC_AR6
EM000016,CP00006,2022,1254.6,456.2,452.9,2163.5,3874.3,5,estimated_economic,modeled,IPCC_AR6
EM000017,CP00006,2023,1216.5,442.4,372.6,2683.7,4342.6,5,estimated_economic,modeled,IPCC_AR6
EM000018,CP00006,2024,1179.5,428.9,426.4,2530.0,4138.4,5,estimated_economic,modeled,IPCC_AR6
EM000019,CP00007,2022,108181.3,39338.7,32754.6,275928.8,423448.8,4,estimated_economic,modeled,IPCC_AR6
EM000020,CP00007,2023,104331.4,37938.7,36802.5,285148.9,427419.0,4,estimated_economic,modeled,IPCC_AR6
EM000021,CP00007,2024,100618.5,36588.5,28993.6,193541.1,330748.1,3,estimated_physical,self_reported,IPCC_AR6
EM000022,CP00008,2022,403399.4,146690.7,105105.4,958064.7,1508154.8,1,reported,third_party_verified,IPCC_AR6
EM000023,CP00008,2023,397439.7,144523.5,110798.0,1058246.9,1600210.1,2,reported,self_reported,IPCC_AR6
EM000024,CP00008,2024,391568.1,142388.4,100635.1,1212358.0,1746314.5,2,reported,self_reported,IPCC_AR6
EM000025,CP00009,2022,5757.9,2093.8,1787.1,15587.8,23439.5,3,estimated_physical,self_reported,IPCC_AR6
EM000026,CP00009,2023,5604.5,2038.0,1796.5,11234.5,18877.0,4,estimated_economic,modeled,IPCC_AR6
EM000027,CP00009,2024,5455.2,1983.7,1603.5,16952.3,24391.2,5,estimated_economic,modeled,IPCC_AR6
EM000028,CP00010,2022,996.3,362.3,284.5,4383.1,5741.7,3,estimated_physical,self_reported,IPCC_AR6
EM000029,CP00010,2023,982.0,357.1,343.6,4268.8,5607.9,4,estimated_economic,modeled,IPCC_AR6
EM000030,CP00010,2024,967.9,352.0,293.3,3476.6,4796.5,4,estimated_economic,modeled,IPCC_AR6
EM000031,CP00011,2022,3358.3,1221.2,1210.3,7197.7,11777.2,5,estimated_economic,modeled,IPCC_AR6
EM000032,CP00011,2023,3304.9,1201.8,891.6,7741.3,12248.0,5,estimated_economic,modeled,IPCC_AR6
