exposure_id,bank_id,counterparty_id,product_type,origination_date,maturity_date,outstanding_amount_meur,committed_amount_meur,currency,interest_rate_pct,stage,eu_taxonomy_aligned,pcaf_asset_class,undrawn_amount_meur,green_label_flag,green_taxonomy,origination_property_value_meur,total_project_cost_meur,has_control,instrument_type
EXP000001,BANK01,CP00001,green_loan,2018-05-13,2033-05-09,5.31,5.64,EUR,4.75,stage_1,True,business_loan,0.33,True,EU_Taxonomy,,,,
EXP000002,BANK01,CP00001,term_loan,2019-07-18,2034-07-14,6.14,7.04,EUR,4.07,stage_1,False,business_loan,0.9,False,,,,,
EXP000003,BANK01,CP00002,term_loan,2023-10-22,2033-10-19,12.53,17.11,EUR,3.09,stage_1,False,business_loan,4.58,False,,,,,
EXP000004,BANK01,CP00002,term_loan,2024-11-11,2031-11-10,56.63,72.35,EUR,7.49,stage_1,False,business_loan,15.72,False,,,,,
EXP000005,BANK01,CP00002,term_loan,2019-12-09,2029-12-06,19.67,27.52,EUR,6.55,stage_2,False,business_loan,7.85,False,,,,,
EXP000006,BANK01,CP00002,corporate_bond,2018-09-23,2033-09-19,75.01,91.28,EUR,6.96,stage_2,False,listed_equity,16.27,False,,,,,
EXP000007,BANK01,CP00003,corporate_bond,2022-01-20,2037-01-16,1.97,2.15,EUR,7.43,stage_1,False,business_loan,0.18,False,,,,,
EXP000008,BANK01,CP00003,revolving_credit,2022-01-18,2037-01-14,0.73,0.9,EUR,4.84,stage_3,False,business_loan,0.17,False,,,,,
EXP000009,BANK01,CP00004,term_loan,2022-06-19,2032-06-16,35.18,42.58,EUR,6.35,stage_1,False,business_loan,7.4,False,,,,,
EXP000010,BANK01,CP00005,corporate_bond,2023-01-18,2033-01-15,212.85,270.75,EUR,4.22,stage_2,False,listed_equity,57.9,False,,,,,
EXP000011,BANK01,CP00006,term_loan,2019-06-13,2029-06-10,2.37,2.85,EUR,6.84,stage_1,False,business_loan,0.48,False,,,,,
EXP000012,BANK01,CP00006,term_loan,2019-10-26,2026-10-24,2.01,2.76,EUR,3.63,stage_2,False,business_loan,0.75,False,,,,,
EXP000013,BANK01,CP00006,term_loan,2018-11-20,2025-11-18,2.02,2.18,EUR,7.28,stage_1,False,business_loan,0.16,False,,,,,
EXP000014,BANK01,CP00007,term_loan,2019-11-22,2034-11-18,28.05,38.61,EUR,3.27,stage_1,False,business_loan,10.56,False,,,,,
EXP000015,BANK01,CP00007,project_finance,2024-04-27,2027-04-27,31.86,42.38,EUR,2.64,stage_1,False,project_finance,10.52,False,,,109.95,False,project_loan
EXP000016,BANK01,CP00008,corporate_bond,2024-06-01,2034-05-30,85.96,107.21,EUR,2.65,stage_2,False,listed_equity,21.25,False,,,,,
EXP000017,BANK01,CP00008,corporate_bond,2021-05-22,2031-05-20,82.35,90.42,EUR,6.54,stage_1,False,listed_equity,8.07,False,,,,,
EXP000018,BANK01,CP00009,term_loan,2022-08-30,2032-08-27,6.21,7.36,EUR,4.2,stage_1,False,business_loan,1.15,False,,,,,
EXP000019,BANK01,CP00009,revolving_credit,2021-11-15,2031-11-13,7.46,7.85,EUR,4.35,stage_1,False,business_loan,0.39,False,,,,,
EXP000020,BANK01,CP00010,term_loan,2020-10-12,2025-10-11,13.14,13.65,EUR,3.95,stage_1,False,business_loan,0.51,False,,,,,
EXP000021,BANK01,CP00011,mortgage,2019-10-17,2026-10-15,2.65,3.64,EUR,6.11,stage_1,False,commercial_re,0.99,False,,4.5,,,
EXP000022,BANK01,CP00011,green_loan,2023-03-28,2033-03-25,2.08,2.81,EUR,4.99,stage_1,True,business_loan,0.73,True,LMA_GLP,,,,
EXP000023,BANK01,CP00012,term_loan,2024-07-17,2031-07-16,3.05,3.11,EUR,3.91,stage_1,False,business_loan,0.06,False,,,,,
EXP000024,BANK01,CP00012,corporate_bond,2021-03-16,2036-03-12,4.94,4.96,EUR,3.04,stage_1,False,business_loan,0.02,False,,,,,
EXP000025,BANK01,CP00013,revolving_credit,2018-07-05,2028-07-02,478.16,487.94,EUR,5.31,stage_1,False,business_loan,9.78,False,,,,,
EXP000026,BANK01,CP00014,revolving_credit,2024-03-02,2031-03-01,4.05,5.39,EUR,5.62,stage_1,False,business_loan,1.34,False,,,,,
EXP000027,BANK01,CP00015,revolving_credit,2021-10-20,2036-10-16,217.3,298.91,EUR,6.27,stage_1,False,business_loan,81.61,False,,,,,
EXP000028,BANK01,CP00016,term_loan,2019-07-16,2026-07-14,555.54,734.19,EUR,5.1,stage_1,False,business_loan,178.65,False,,,,,
EXP000029,BANK01,CP00016,term_loan,2024-11-16,2031-11-15,883.05,940.45,EUR,7.45,stage_1,False,business_loan,57.4,False,,,,,
EXP000030,BANK01,CP00017,mortgage,2023-12-21,2033-12-18,131.76,169.11,EUR,4.0,stage_1,False,commercial_re,37.35,False,,203.37,,,
EXP000031,BANK01,CP00018,green_loan,2024-07-18,2031-07-17,42.69,56.3,EUR,6.13,stage_1,True,mortgage,13.61,True,ICMA_GBP,68.06,,,
