facility_id,bank_id,facility_type,country,city,floor_area_sqm,headcount,year_built,epc_rating,ownership
FAC0001,BANK01,headquarters,IE,Munich,19290,366,2005,F,owned
FAC0002,BANK01,branch,DE,Turin,1181,386,2001,F,owned
FAC0003,BANK01,training_center,DE,Vienna,10185,121,2012,C,leased
FAC0004,BANK01,branch,DE,Madrid,9215,554,2003,D,leased
FAC0005,BANK01,back_office,DE,Barcelona,3744,319,1990,B,leased
FAC0006,BANK01,branch,DE,Amsterdam,2209,349,1975,C,leased
FAC0007,BANK01,back_office,IE,Madrid,1403,560,2020,C,leased
FAC0008,BANK01,branch,DE,Paris,9393,197,2007,B,leased
FAC0009,BANK01,back_office,IT,Rome,9310,73,1973,D,leased
FAC0010,BANK01,back_office,DE,Frankfurt,8835,399,2002,C,leased
FAC0011,BANK01,branch,FI,Madrid,5747,94,1999,B,leased
FAC0012,BANK01,branch,DE,Dublin,6750,230,2009,D,leased
FAC0013,BANK01,branch,DE,Dublin,14120,358,1985,C,leased
FAC0014,BANK01,training_center,IT,Frankfurt,2821,633,1993,E,owned
FAC0015,BANK01,back_office,DE,Madrid,14651,943,1997,E,leased
FAC0016,BANK01,branch,IT,Berlin,7313,863,2017,E,leased
FAC0017,BANK01,branch,DE,Paris,670,661,2019,F,leased
FAC0018,BANK01,branch,DE,Hamburg,1655,672,1978,E,owned
FAC0019,BANK01,branch,DE,Rome,3242,986,1974,E,leased
FAC0020,BANK01,training_center,DE,Rotterdam,5193,311,2014,D,leased
FAC0021,BANK01,branch,FI,Munich,9589,886,1995,E,leased
FAC0022,BANK01,branch,DE,Munich,4246,58,2000,G,leased
FAC0023,BANK01,branch,DE,Paris,6576,468,1974,E,leased
FAC0024,BANK01,branch,IE,Hamburg,13091,235,2012,E,leased
FAC0025,BANK01,branch,DE,Milan,3375,378,1979,A,leased
FAC0026,BANK01,operations_center,DE,Milan,8783,85,1994,A,owned
FAC0027,BANK01,back_office,DE,Vienna,7717,91,2016,C,leased
FAC0028,BANK01,back_office,DE,Rome,1429,134,1980,C,leased
