physical_risk_id,counterparty_id,bank_id,hazard_type,country,acute_risk_score,chronic_risk_score,assessment_horizon,scenario_basis,data_source,hazard_category,exposure_amount_meur,high_risk_flag,financial_impact_meur,portfolio_pct,nace_code
PR000001,CP00001,BANK01,drought,DE,2,5,2030,RCP_4.5,ECB_climate_indicators,chronic,11.45,True,0.84,0.037,F42
PR000002,CP00002,BANK01,flood,AT,2,5,2050,RCP_2.6,ECB_climate_indicators,acute,163.84,True,18.72,0.526,B07
PR000003,CP00003,BANK01,wildfire,ES,4,3,2050,RCP_4.5,ECB_climate_indicators,acute,2.7,True,0.11,0.009,C20
PR000004,CP00003,BANK01,drought,ES,3,5,2050,RCP_2.6,ECB_climate_indicators,chronic,2.7,True,0.14,0.009,C20
PR000005,CP00003,BANK01,flood,ES,3,1,2050,RCP_4.5,ECB_climate_indicators,acute,2.7,False,0.4,0.009,C20
PR000006,CP00004,BANK01,flood,IT,2,3,2030,RCP_8.5,ECB_climate_indicators,acute,35.18,False,2.92,0.113,H49
PR000007,CP00004,BANK01,wildfire,IT,4,3,2050,RCP_8.5,ECB_climate_indicators,acute,35.18,True,3.49,0.113,H49
PR000008,CP00005,BANK01,flood,IE,3,3,2050,RCP_8.5,ECB_climate_indicators,acute,212.85,False,19.34,0.683,A01
PR000009,CP00006,BANK01,drought,DE,3,2,2030,RCP_4.5,ECB_climate_indicators,chronic,6.4,False,0.29,0.021,C10
PR000010,CP00006,BANK01,windstorm,DE,3,4,2030,RCP_8.5,ECB_climate_indicators,acute,6.4,True,0.24,0.021,C10
PR000011,CP00007,BANK01,flood,DE,2,3,2030,RCP_8.5,ECB_climate_indicators,acute,59.91,False,8.65,0.192,C24
PR000012,CP00008,BANK01,sea_level_rise,IT,2,1,2050,RCP_2.6,ECB_climate_indicators,chronic,168.31,False,18.59,0.54,B06
PR000013,CP00008,BANK01,heatwave,IT,3,4,2050,RCP_2.6,ECB_climate_indicators,acute,168.31,True,8.04,0.54,B06
