rec_id,bank_id,certificate_type,energy_source,country_of_generation,volume_mwh,issuing_registry,issue_date,expiry_date,cancellation_date,associated_facility_ids,reporting_year,price_eur_per_mwh
REC-BANK01-2022-0001,BANK01,GO,hydro,DE,1949.3,EECS,2022-01-10,2023-01-10,2022-09-22,"FAC0022,FAC0015,FAC0017",2022,
REC-BANK01-2022-0002,BANK01,GO,solar,DE,1949.3,EECS,2022-04-22,2023-04-22,2022-07-17,FAC0010,2022,5.49
REC-BANK01-2022-0003,BANK01,GO,geothermal,DE,1949.3,EECS,2022-07-23,2023-07-23,2023-01-02,"FAC0003,FAC0026,FAC0016",2022,2.46
REC-BANK01-2022-0004,BANK01,GO,solar,DE,1949.3,EECS,2022-10-03,2023-10-03,2023-04-13,"FAC0020,FAC0010",2022,6.59
REC-BANK01-2023-0001,BANK01,GO,hydro,DE,2466.7,EECS,2023-01-18,2024-01-18,,"FAC0006,FAC0001,FAC0028",2023,
REC-BANK01-2023-0002,BANK01,GO,hydro,DE,2466.7,EECS,2023-04-03,2024-04-02,2023-08-14,FAC0013,2023,6.82
REC-BANK01-2023-0003,BANK01,GO,geothermal,DE,2466.7,EECS,2023-07-17,2024-07-16,2024-01-11,"FAC0024,FAC0008,FAC0025",2023,2.93
REC-BANK01-2023-0004,BANK01,GO,wind_offshore,DE,2466.7,EECS,2023-10-26,2024-10-25,2024-08-08,"FAC0024,FAC0023,FAC0003",2023,4.69
REC-BANK01-2024-0001,BANK01,GO,wind_onshore,DE,2997.3,EECS,2024-01-21,2025-01-20,2024-08-20,FAC0008,2024,1.58
REC-BANK01-2024-0002,BANK01,GO,wind_offshore,DE,2997.3,EECS,2024-04-15,2025-04-15,2024-12-07,"FAC0022,FAC0024,FAC0007,FAC0008",2024,1.53
REC-BANK01-2024-0003,BANK01,GO,wind_onshore,DE,2997.3,EECS,2024-07-08,2025-07-08,,FAC0022,2024,
REC-BANK01-2024-0004,BANK01,GO,solar,DE,2997.3,EECS,2024-10-07,2025-10-07,2025-05-02,"FAC0008,FAC0017,FAC0007",2024,
