scope3_id,bank_id,reporting_year,category_number,category_name,included_flag,emissions_tco2e,calculation_method,data_source,pcaf_data_quality_score,exclusion_reason,is_synthetic
S3-BANK01-2022-C01,BANK01,2022,1,Purchased goods and services,True,14942.0,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK01-2022-C02,BANK01,2022,2,Capital goods,True,3740.5,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK01-2022-C03,BANK01,2022,3,Fuel- and energy-related activities,True,2971.9,average_data_method,spend_based_estimate,4.0,,True
S3-BANK01-2022-C04,BANK01,2022,4,Upstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2022-C05,BANK01,2022,5,Waste generated in operations,True,511.1,average_data_method,spend_based_estimate,4.0,,True
S3-BANK01-2022-C06,BANK01,2022,6,Business travel (reported in operational Scope 3 travel),True,,reported_separately,cross_reference,,,True
S3-BANK01-2022-C07,BANK01,2022,7,Employee commuting,True,25098.5,average_data_method,spend_based_estimate,4.0,,True
S3-BANK01-2022-C08,BANK01,2022,8,Upstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2022-C09,BANK01,2022,9,Downstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2022-C10,BANK01,2022,10,Processing of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2022-C11,BANK01,2022,11,Use of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2022-C12,BANK01,2022,12,End-of-life treatment of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2022-C13,BANK01,2022,13,Downstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2022-C14,BANK01,2022,14,Franchises,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2022-C15,BANK01,2022,15,Financed emissions (reported in the financed-emissions section),True,,reported_separately,cross_reference,,,True
S3-BANK01-2023-C01,BANK01,2023,1,Purchased goods and services,True,17122.9,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK01-2023-C02,BANK01,2023,2,Capital goods,True,4052.8,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK01-2023-C03,BANK01,2023,3,Fuel- and energy-related activities,True,3251.9,average_data_method,spend_based_estimate,4.0,,True
S3-BANK01-2023-C04,BANK01,2023,4,Upstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2023-C05,BANK01,2023,5,Waste generated in operations,True,551.5,average_data_method,spend_based_estimate,4.0,,True
S3-BANK01-2023-C06,BANK01,2023,6,Business travel (reported in operational Scope 3 travel),True,,reported_separately,cross_reference,,,True
S3-BANK01-2023-C07,BANK01,2023,7,Employee commuting,True,25305.4,average_data_method,spend_based_estimate,4.0,,True
S3-BANK01-2023-C08,BANK01,2023,8,Upstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2023-C09,BANK01,2023,9,Downstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2023-C10,BANK01,2023,10,Processing of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2023-C11,BANK01,2023,11,Use of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2023-C12,BANK01,2023,12,End-of-life treatment of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2023-C13,BANK01,2023,13,Downstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2023-C14,BANK01,2023,14,Franchises,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2023-C15,BANK01,2023,15,Financed emissions (reported in the financed-emissions section),True,,reported_separately,cross_reference,,,True
S3-BANK01-2024-C01,BANK01,2024,1,Purchased goods and services,True,14271.7,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK01-2024-C02,BANK01,2024,2,Capital goods,True,3511.5,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK01-2024-C03,BANK01,2024,3,Fuel- and energy-related activities,True,2804.0,average_data_method,spend_based_estimate,4.0,,True
S3-BANK01-2024-C04,BANK01,2024,4,Upstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2024-C05,BANK01,2024,5,Waste generated in operations,True,503.6,average_data_method,spend_based_estimate,4.0,,True
S3-BANK01-2024-C06,BANK01,2024,6,Business travel (reported in operational Scope 3 travel),True,,reported_separately,cross_reference,,,True
S3-BANK01-2024-C07,BANK01,2024,7,Employee commuting,True,27044.2,average_data_method,spend_based_estimate,4.0,,True
S3-BANK01-2024-C08,BANK01,2024,8,Upstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2024-C09,BANK01,2024,9,Downstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2024-C10,BANK01,2024,10,Processing of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2024-C11,BANK01,2024,11,Use of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2024-C12,BANK01,2024,12,End-of-life treatment of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2024-C13,BANK01,2024,13,Downstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2024-C14,BANK01,2024,14,Franchises,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK01-2024-C15,BANK01,2024,15,Financed emissions (reported in the financed-emissions section),True,,reported_separately,cross_reference,,,True
