travel_id,bank_id,employee_id_hash,travel_date,mode,distance_km,emission_factor_kg_co2e_per_km,emissions_kg_co2e,purpose
TR000001,BANK01,EMP16554,2024-10-03,rail,1010,0.041,41.4,training
TR000002,BANK01,EMP32743,2024-02-11,air_short,755,0.255,192.5,training
TR000003,BANK01,EMP11188,2024-10-15,air_long,4423,0.15,663.4,audit
TR000004,BANK01,EMP00380,2024-04-02,rail,464,0.041,19.0,audit
TR000005,BANK01,EMP11862,2024-01-25,car,719,0.171,122.9,audit
TR000006,BANK01,EMP25722,2024-10-07,rail,326,0.041,13.4,client_meeting
TR000007,BANK01,EMP21900,2024-01-24,air_short,623,0.255,158.9,training
TR000008,BANK01,EMP08905,2024-05-22,rail,566,0.041,23.2,audit
TR000009,BANK01,EMP45089,2024-03-27,air_short,904,0.255,230.5,training
TR000010,BANK01,EMP26047,2024-03-18,air_short,644,0.255,164.2,internal_meeting
TR000011,BANK01,EMP44511,2024-04-28,rail,705,0.041,28.9,conference
TR000012,BANK01,EMP38276,2024-10-30,rail,531,0.041,21.8,training
TR000013,BANK01,EMP01256,2024-04-07,air_short,1451,0.255,370.0,internal_meeting
TR000014,BANK01,EMP18841,2024-10-11,car,148,0.171,25.3,conference
TR000015,BANK01,EMP20928,2024-01-11,rail,195,0.041,8.0,training
TR000016,BANK01,EMP43306,2024-02-24,car,557,0.171,95.2,training
TR000017,BANK01,EMP30581,2024-09-06,rail,356,0.041,14.6,internal_meeting
TR000018,BANK01,EMP16853,2024-08-28,air_short,406,0.255,103.5,audit
TR000019,BANK01,EMP08184,2024-09-05,rail,246,0.041,10.1,training
TR000020,BANK01,EMP16791,2024-07-01,car,777,0.171,132.9,conference
TR000021,BANK01,EMP25961,2024-06-17,air_long,7134,0.15,1070.1,conference
TR000022,BANK01,EMP24797,2024-07-26,rail,669,0.041,27.4,conference
TR000023,BANK01,EMP24802,2024-01-30,car,453,0.171,77.5,training
TR000024,BANK01,EMP00438,2024-10-12,car,201,0.171,34.4,client_meeting
TR000025,BANK01,EMP13809,2024-09-13,air_long,5074,0.15,761.1,internal_meeting
TR000026,BANK01,EMP38380,2024-11-16,air_short,571,0.255,145.6,training
TR000027,BANK01,EMP07666,2024-07-24,air_short,742,0.255,189.2,client_meeting
TR000028,BANK01,EMP08677,2024-12-19,air_short,972,0.255,247.9,conference
TR000029,BANK01,EMP43676,2024-02-20,air_long,6078,0.15,911.7,conference
TR000030,BANK01,EMP20651,2024-03-17,air_short,1262,0.255,321.8,training
TR000031,BANK01,EMP15998,2024-09-06,car,396,0.171,67.7,conference
TR000032,BANK01,EMP40192,2024-04-22,car,285,0.171,48.7,client_meeting
TR000033,BANK01,EMP45757,2024-07-22,air_short,1032,0.255,263.2,client_meeting
TR000034,BANK01,EMP39328,2024-10-13,air_long,4332,0.15,649.8,conference
TR000035,BANK01,EMP05511,2024-05-10,car,145,0.171,24.8,audit
TR000036,BANK01,EMP21565,2024-05-19,rail,723,0.041,29.6,conference
TR000037,BANK01,EMP18053,2024-10-28,air_short,1220,0.255,311.1,audit
TR000038,BANK01,EMP39529,2024-06-07,air_short,1154,0.255,294.3,training
TR000039,BANK01,EMP31410,2024-08-18,car,638,0.171,109.1,internal_meeting
TR000040,BANK01,EMP13145,2024-12-17,rail,164,0.041,6.7,training
TR000041,BANK01,EMP47796,2024-10-24,air_short,1262,0.255,321.8,client_meeting
TR000042,BANK01,EMP07177,2024-12-27,car,350,0.171,59.9,conference
TR000043,BANK01,EMP02078,2024-08-30,car,269,0.171,46.0,internal_meeting
TR000044,BANK01,EMP43369,2024-08-20,rail,1136,0.041,46.6,client_meeting
TR000045,BANK01,EMP20990,2024-09-16,rail,306,0.041,12.5,conference
TR000046,BANK01,EMP07781,2024-01-17,air_short,1140,0.255,290.7,training
TR000047,BANK01,EMP07234,2024-03-15,air_long,5101,0.15,765.1,conference
TR000048,BANK01,EMP04370,2024-10-10,air_short,1277,0.255,325.6,internal_meeting
TR000049,BANK01,EMP40881,2024-11-24,car,625,0.171,106.9,audit
TR000050,BANK01,EMP26499,2024-01-14,air_long,3615,0.15,542.2,audit
TR000051,BANK01,EMP12669,2024-08-26,air_short,1012,0.255,258.1,internal_meeting
TR000052,BANK01,EMP13318,2024-03-04,air_short,869,0.255,221.6,audit
TR000053,BANK01,EMP32313,2024-03-04,air_short,1458,0.255,371.8,conference
TR000054,BANK01,EMP20017,2024-01-02,rail,295,0.041,12.1,client_meeting
TR000055,BANK01,EMP26890,2024-01-24,air_short,856,0.255,218.3,internal_meeting
TR000056,BANK01,EMP02645,2024-08-15,air_short,551,0.255,140.5,audit
TR000057,BANK01,EMP11565,2024-10-14,air_long,4867,0.15,730.0,audit
TR000058,BANK01,EMP29718,2024-04-15,rail,725,0.041,29.7,training
TR000059,BANK01,EMP07531,2024-11-24,air_short,1294,0.255,330.0,audit
TR000060,BANK01,EMP41358,2024-06-13,air_long,8155,0.15,1223.2,training
TR000061,BANK01,EMP46023,2024-12-07,air_long,5667,0.15,850.0,internal_meeting
TR000062,BANK01,EMP45932,2024-06-14,car,111,0.171,19.0,internal_meeting
TR000063,BANK01,EMP45430,2024-09-10,car,490,0.171,83.8,conference
TR000064,BANK01,EMP41628,2024-02-24,air_short,963,0.255,245.6,conference
TR000065,BANK01,EMP04016,2024-03-21,air_short,759,0.255,193.5,training
TR000066,BANK01,EMP13172,2024-02-20,air_long,1882,0.15,282.3,conference
TR000067,BANK01,EMP31477,2024-01-01,rail,821,0.041,33.7,conference
TR000068,BANK01,EMP46310,2024-12-18,air_short,618,0.255,157.6,conference
TR000069,BANK01,EMP26899,2024-05-31,air_short,1180,0.255,300.9,internal_meeting
