summary_id,bank_id,reporting_year,total_assets_meur,total_loans_meur,total_undrawn_meur,green_loans_meur,green_loans_pct,total_revenue_meur,net_interest_income_meur,net_profit_meur,tier1_capital_meur,cet1_ratio_pct,return_on_equity_pct,climate_capex_meur,climate_opex_meur,carbon_intensity_tco2e_per_meur_lending
FIN-BANK01-2022,BANK01,2022,763922.8,31150.64,6595.48,3335.75,10.71,25466.1,17579.1,5759.9,95149.4,19.2,6.05,322.2,420.32,
FIN-BANK01-2023,BANK01,2023,820167.2,31150.64,6595.48,3335.75,10.71,27779.7,19263.8,4731.7,143979.2,27.0,3.29,373.91,509.21,
FIN-BANK01-2024,BANK01,2024,850000.0,31150.64,6595.48,3335.75,10.71,24136.2,15947.7,3356.1,151208.6,27.4,2.22,476.95,219.32,
FIN-BANK02-2022,BANK02,2022,558309.5,19638.7,4029.4,1100.78,5.61,18653.2,12891.7,4271.5,74564.6,20.5,5.73,91.5,350.71,
FIN-BANK02-2023,BANK02,2023,600675.1,19638.7,4029.4,1100.78,5.61,20203.2,15687.4,2575.7,97378.1,24.9,2.65,160.29,248.35,
FIN-BANK02-2024,BANK02,2024,620000.0,19638.7,4029.4,1100.78,5.61,18473.1,12014.9,2384.8,87823.1,21.8,2.72,112.95,296.85,
FIN-BANK03-2022,BANK03,2022,110505.3,24088.68,5191.0,170.05,0.71,3308.3,2409.5,689.8,18007.1,25.1,3.83,25.32,16.68,
FIN-BANK03-2023,BANK03,2023,116072.8,24088.68,5191.0,170.05,0.71,4054.2,3006.0,645.4,14525.3,19.3,4.44,25.25,75.43,
FIN-BANK03-2024,BANK03,2024,120000.0,24088.68,5191.0,170.05,0.71,3069.1,2332.1,541.0,17899.1,22.9,3.02,15.22,43.07,
FIN-BANK04-2022,BANK04,2022,16080.8,8890.58,1702.96,4193.33,47.17,552.3,441.0,70.5,2204.7,21.1,3.2,332.68,6.09,
FIN-BANK04-2023,BANK04,2023,17257.6,8890.58,1702.96,4193.33,47.17,507.6,374.9,69.5,2951.2,26.3,2.35,332.23,4.91,
FIN-BANK04-2024,BANK04,2024,18000.0,8890.58,1702.96,4193.33,47.17,571.8,420.6,126.8,2406.8,20.6,5.27,446.47,6.85,
FIN-BANK05-2022,BANK05,2022,42355.2,9783.4,2416.05,121.07,1.24,1855.3,1431.9,235.4,7170.1,26.0,3.28,11.39,12.57,
FIN-BANK05-2023,BANK05,2023,42960.4,9783.4,2416.05,121.07,1.24,1932.5,1501.4,449.6,5770.0,20.7,7.79,9.08,26.96,
FIN-BANK05-2024,BANK05,2024,45000.0,9783.4,2416.05,121.07,1.24,1980.4,1549.8,486.6,7453.4,25.5,6.53,8.89,17.65,
