method_id,bank_id,reporting_year,scope,measurement_approach,key_inputs,key_assumptions,reason_for_approach,changes_in_period,consolidation_basis,gwp_basis,standard_reference,is_synthetic
GM-BANK01-scope1,BANK01,2024,scope1,GHG Protocol Corporate Standard; activity x emission factor,"Facility fuel use, fleet fuel/distance",Operational control boundary; IPCC AR6 GWPs,"Direct measurement where metered, else activity-based",None,operational_control,IPCC_AR6,GHG Protocol,True
GM-BANK01-scope2,BANK01,2024,scope2,GHG Protocol Corporate Standard; location- and market-based,"Metered electricity, supplier/grid factors, RECs",Location and market methods both computed,Dual reporting per GHG Protocol Scope 2 Guidance,None,operational_control,IPCC_AR6,GHG Protocol,True
GM-BANK01-scope3,BANK01,2024,scope3,GHG Protocol Scope 3 Standard; spend-/average-data,"Operating spend, headcount, average emission factors",Estimation uncertainty higher; data-quality scored,Material categories prioritised,None,operational_control,IPCC_AR6,GHG Protocol,True
GM-BANK01-financed,BANK01,2024,financed,PCAF Global GHG Accounting Standard,Outstanding/EVIC attribution; counterparty emissions; sovereign PPP-GDP,Attribution factor x counterparty emissions,Financed emissions are the dominant Scope 3 category,None,operational_control,IPCC_AR6,PCAF,True
GM-BANK02-scope1,BANK02,2024,scope1,GHG Protocol Corporate Standard; activity x emission factor,"Facility fuel use, fleet fuel/distance",Operational control boundary; IPCC AR6 GWPs,"Direct measurement where metered, else activity-based",None,operational_control,IPCC_AR6,GHG Protocol,True
GM-BANK02-scope2,BANK02,2024,scope2,GHG Protocol Corporate Standard; location- and market-based,"Metered electricity, supplier/grid factors, RECs",Location and market methods both computed,Dual reporting per GHG Protocol Scope 2 Guidance,None,operational_control,IPCC_AR6,GHG Protocol,True
GM-BANK02-scope3,BANK02,2024,scope3,GHG Protocol Scope 3 Standard; spend-/average-data,"Operating spend, headcount, average emission factors",Estimation uncertainty higher; data-quality scored,Material categories prioritised,None,operational_control,IPCC_AR6,GHG Protocol,True
GM-BANK02-financed,BANK02,2024,financed,PCAF Global GHG Accounting Standard,Outstanding/EVIC attribution; counterparty emissions; sovereign PPP-GDP,Attribution factor x counterparty emissions,Financed emissions are the dominant Scope 3 category,None,operational_control,IPCC_AR6,PCAF,True
GM-BANK03-scope1,BANK03,2024,scope1,GHG Protocol Corporate Standard; activity x emission factor,"Facility fuel use, fleet fuel/distance",Operational control boundary; IPCC AR6 GWPs,"Direct measurement where metered, else activity-based",None,operational_control,IPCC_AR6,GHG Protocol,True
GM-BANK03-scope2,BANK03,2024,scope2,GHG Protocol Corporate Standard; location- and market-based,"Metered electricity, supplier/grid factors, RECs",Location and market methods both computed,Dual reporting per GHG Protocol Scope 2 Guidance,None,operational_control,IPCC_AR6,GHG Protocol,True
GM-BANK03-scope3,BANK03,2024,scope3,GHG Protocol Scope 3 Standard; spend-/average-data,"Operating spend, headcount, average emission factors",Estimation uncertainty higher; data-quality scored,Material categories prioritised,None,operational_control,IPCC_AR6,GHG Protocol,True
GM-BANK03-financed,BANK03,2024,financed,PCAF Global GHG Accounting Standard,Outstanding/EVIC attribution; counterparty emissions; sovereign PPP-GDP,Attribution factor x counterparty emissions,Financed emissions are the dominant Scope 3 category,None,operational_control,IPCC_AR6,PCAF,True
GM-BANK04-scope1,BANK04,2024,scope1,GHG Protocol Corporate Standard; activity x emission factor,"Facility fuel use, fleet fuel/distance",Operational control boundary; IPCC AR6 GWPs,"Direct measurement where metered, else activity-based",None,operational_control,IPCC_AR6,GHG Protocol,True
GM-BANK04-scope2,BANK04,2024,scope2,GHG Protocol Corporate Standard; location- and market-based,"Metered electricity, supplier/grid factors, RECs",Location and market methods both computed,Dual reporting per GHG Protocol Scope 2 Guidance,None,operational_control,IPCC_AR6,GHG Protocol,True
GM-BANK04-scope3,BANK04,2024,scope3,GHG Protocol Scope 3 Standard; spend-/average-data,"Operating spend, headcount, average emission factors",Estimation uncertainty higher; data-quality scored,Material categories prioritised,None,operational_control,IPCC_AR6,GHG Protocol,True
GM-BANK04-financed,BANK04,2024,financed,PCAF Global GHG Accounting Standard,Outstanding/EVIC attribution; counterparty emissions; sovereign PPP-GDP,Attribution factor x counterparty emissions,Financed emissions are the dominant Scope 3 category,None,operational_control,IPCC_AR6,PCAF,True
GM-BANK05-scope1,BANK05,2024,scope1,GHG Protocol Corporate Standard; activity x emission factor,"Facility fuel use, fleet fuel/distance",Operational control boundary; IPCC AR6 GWPs,"Direct measurement where metered, else activity-based",None,operational_control,IPCC_AR6,GHG Protocol,True
GM-BANK05-scope2,BANK05,2024,scope2,GHG Protocol Corporate Standard; location- and market-based,"Metered electricity, supplier/grid factors, RECs",Location and market methods both computed,Dual reporting per GHG Protocol Scope 2 Guidance,None,operational_control,IPCC_AR6,GHG Protocol,True
GM-BANK05-scope3,BANK05,2024,scope3,GHG Protocol Scope 3 Standard; spend-/average-data,"Operating spend, headcount, average emission factors",Estimation uncertainty higher; data-quality scored,Material categories prioritised,None,operational_control,IPCC_AR6,GHG Protocol,True
GM-BANK05-financed,BANK05,2024,financed,PCAF Global GHG Accounting Standard,Outstanding/EVIC attribution; counterparty emissions; sovereign PPP-GDP,Attribution factor x counterparty emissions,Financed emissions are the dominant Scope 3 category,None,operational_control,IPCC_AR6,PCAF,True
