bank_id,reporting_year,board_size,independent_directors_pct,esg_committee_exists,esg_committee_meetings_per_year,board_climate_expertise_pct,ceo_compensation_esg_linked,ceo_esg_compensation_pct,climate_risk_reporting_to_board,tcfd_aligned,ifrs_s2_aligned,external_assurance,assurance_provider,all_exec_climate_remuneration_pct,board_full_meeting_frequency,climate_on_board_agenda_pct,management_committee_name,erm_integration_flag,skills_development_programme,major_transactions_climate_check,assurance_scope,assurance_standard
BANK01,2022,10,70.0,True,5,30.0,True,6.3,semi_annual,True,True,limited,EY,8.7,4,100.0,Group Sustainability Committee,True,True,True,Scope 1 and 2 emissions,ISAE3000
BANK01,2023,10,70.0,True,6,40.0,True,7.8,semi_annual,True,True,limited,EY,15.3,7,85.7,ESG Executive Committee,True,True,True,Scope 1 and 2 emissions,ISAE3000
BANK01,2024,10,70.0,True,7,40.0,True,9.3,semi_annual,True,True,limited,EY,15.1,8,100.0,Climate Risk Management Committee,True,True,True,Scope 1 and 2 emissions,ISAE3000
BANK02,2022,9,77.8,True,2,22.2,True,7.7,semi_annual,True,True,limited,PwC,14.9,6,66.7,ESG Executive Committee,True,True,True,Scope 1 and 2 emissions,ISAE3000
BANK02,2023,9,77.8,True,3,22.2,True,9.2,semi_annual,True,True,limited,PwC,9.2,6,33.3,Climate Risk Management Committee,True,True,True,Scope 1 and 2 emissions,ISAE3000
BANK02,2024,9,77.8,True,4,22.2,True,10.7,semi_annual,True,True,limited,PwC,14.1,4,75.0,ESG Executive Committee,True,True,True,Scope 1 and 2 emissions,ISAE3000
BANK03,2022,10,60.0,True,2,20.0,True,8.0,semi_annual,True,True,limited,Deloitte,8.4,5,60.0,ESG Executive Committee,True,True,True,Scope 1 and 2 emissions,ISAE3000
BANK03,2023,10,60.0,True,3,30.0,True,9.5,semi_annual,True,True,limited,Deloitte,14.1,4,75.0,ESG Executive Committee,True,True,True,Scope 1 and 2 emissions,ISAE3000
BANK03,2024,10,60.0,True,4,30.0,True,11.0,semi_annual,True,True,limited,Deloitte,14.9,4,100.0,Group Sustainability Committee,True,True,True,Scope 1 and 2 emissions,ISAE3000
BANK04,2022,12,66.7,True,9,33.3,True,17.1,quarterly,True,True,reasonable,KPMG,22.3,8,100.0,Climate Risk Management Committee,True,True,True,"Scope 1, 2 and financed emissions (Cat.15)",ISAE3000
BANK04,2023,12,66.7,True,10,41.7,True,18.6,quarterly,True,True,reasonable,KPMG,24.2,4,75.0,Climate Risk Management Committee,True,True,True,"Scope 1, 2 and financed emissions (Cat.15)",ISAE3000
BANK04,2024,12,66.7,True,11,41.7,True,20.1,quarterly,True,True,reasonable,KPMG,23.6,6,100.0,Climate Risk Management Committee,True,True,True,"Scope 1, 2 and financed emissions (Cat.15)",ISAE3000
BANK05,2022,12,58.3,False,0,8.3,False,3.4,annual,True,False,none,,3.4,4,25.0,Risk Committee,False,False,False,,
BANK05,2023,12,58.3,False,0,8.3,False,4.9,annual,True,False,none,,4.9,7,57.1,Risk Committee,False,False,False,,
BANK05,2024,12,58.3,False,1,8.3,False,6.4,annual,True,False,none,,6.4,5,20.0,Risk Committee,False,False,False,,
