target_id,bank_id,target_type,scope,metric,baseline_year,baseline_value,target_year,target_value_pct_reduction,target_framework,status,gross_or_net,associated_gross_target_id,ghg_gases_covered,scope_coverage,third_party_validated,validation_body,sectoral_decarbonisation,interim_milestones_json,planned_carbon_credits_pct,planned_credit_type,target_applies_to,latest_paris_alignment,review_frequency,progress_metric
TGT001,BANK01,absolute_reduction,scope_1_and_2,tco2e,2020,137849.0,2030,42,SBTi_1.5C,on_track,gross,,all_kyoto_7,scope1_and_2,True,SBTi,False,"[{""year"": 2025, ""value"": 120480.0, ""metric"": ""tco2e""}, {""year"": 2028, ""value"": 97321.4, ""metric"": ""tco2e""}]",,,whole_entity,True,triennial,tco2e_absolute
TGT002,BANK01,intensity_reduction,scope_3_cat15_financed,tco2e_per_meur_lending,2022,1173.34,2030,30,NZBA,on_track,gross,,all_kyoto_7,scope3_cat15,True,UNEP_FI,True,"[{""year"": 2025, ""value"": 1067.74, ""metric"": ""tco2e_per_meur_lending""}, {""year"": 2028, ""value"": 926.94, ""metric"": ""tco2e_per_meur_lending""}]",,,whole_entity,True,annual,tco2e_per_meur
TGT003,BANK01,net_zero,all_scopes,tco2e,2020,36688026.0,2050,100,NZBA,on_track,net,TGT001,all_kyoto_7,all_scopes,True,UNEP_FI,False,,8.2,technology_removal,whole_entity,True,biennial,pct_reduction_vs_baseline
TGT004,BANK02,absolute_reduction,scope_1_and_2,tco2e,2020,63333.2,2030,42,SBTi_1.5C,on_track,gross,,all_kyoto_7,scope1_and_2,True,SBTi,False,"[{""year"": 2025, ""value"": 55353.2, ""metric"": ""tco2e""}, {""year"": 2028, ""value"": 44713.2, ""metric"": ""tco2e""}]",,,whole_entity,True,triennial,tco2e_absolute
TGT005,BANK02,intensity_reduction,scope_3_cat15_financed,tco2e_per_meur_lending,2022,620.12,2030,30,NZBA,on_track,gross,,all_kyoto_7,scope3_cat15,True,UNEP_FI,True,"[{""year"": 2025, ""value"": 563.75, ""metric"": ""tco2e_per_meur_lending""}, {""year"": 2028, ""value"": 490.46, ""metric"": ""tco2e_per_meur_lending""}]",,,whole_entity,True,biennial,tco2e_per_meur
TGT006,BANK02,net_zero,all_scopes,tco2e,2020,12241717.0,2050,100,NZBA,on_track,net,TGT004,all_kyoto_7,all_scopes,True,UNEP_FI,False,,37.8,nature_based_removal,whole_entity,True,triennial,pct_reduction_vs_baseline
TGT007,BANK03,absolute_reduction,scope_1_and_2,tco2e,2020,24776.1,2030,42,SBTi_1.5C,on_track,gross,,all_kyoto_7,scope1_and_2,True,SBTi,False,"[{""year"": 2025, ""value"": 21654.3, ""metric"": ""tco2e""}, {""year"": 2028, ""value"": 17491.9, ""metric"": ""tco2e""}]",,,whole_entity,True,annual,tco2e_absolute
TGT008,BANK03,intensity_reduction,scope_3_cat15_financed,tco2e_per_meur_lending,2022,295.17,2030,30,NZBA,on_track,gross,,all_kyoto_7,scope3_cat15,True,UNEP_FI,True,"[{""year"": 2025, ""value"": 269.59, ""metric"": ""tco2e_per_meur_lending""}, {""year"": 2028, ""value"": 234.17, ""metric"": ""tco2e_per_meur_lending""}]",,,whole_entity,True,annual,tco2e_per_meur
TGT009,BANK03,net_zero,all_scopes,tco2e,2020,7135039.0,2050,100,NZBA,on_track,net,TGT007,all_kyoto_7,all_scopes,True,UNEP_FI,False,,11.0,avoidance_reduction,whole_entity,True,biennial,pct_reduction_vs_baseline
TGT010,BANK04,absolute_reduction,scope_1_and_2,tco2e,2020,1528.3,2030,50,SBTi_1.5C,on_track,gross,,all_kyoto_7,scope1_and_2,True,SBTi,False,"[{""year"": 2025, ""value"": 1299.1, ""metric"": ""tco2e""}, {""year"": 2028, ""value"": 993.4, ""metric"": ""tco2e""}]",,,whole_entity,True,biennial,tco2e_absolute
TGT011,BANK04,intensity_reduction,scope_3_cat15_financed,tco2e_per_meur_lending,2022,143.27,2030,55,NZBA,on_track,gross,,all_kyoto_7,scope3_cat15,True,UNEP_FI,True,"[{""year"": 2025, ""value"": 119.39, ""metric"": ""tco2e_per_meur_lending""}, {""year"": 2028, ""value"": 88.35, ""metric"": ""tco2e_per_meur_lending""}]",,,whole_entity,True,triennial,tco2e_per_meur
TGT012,BANK04,net_zero,all_scopes,tco2e,2020,1275276.0,2040,100,NZBA,on_track,net,TGT010,all_kyoto_7,all_scopes,True,UNEP_FI,False,,29.3,technology_removal,whole_entity,True,annual,pct_reduction_vs_baseline
TGT013,BANK05,absolute_reduction,scope_1_and_2,tco2e,2020,6633.2,2030,35,SBTi_1.5C,behind,gross,,all_kyoto_7,scope1_and_2,True,SBTi,False,"[{""year"": 2025, ""value"": 5936.7, ""metric"": ""tco2e""}, {""year"": 2028, ""value"": 5008.1, ""metric"": ""tco2e""}]",,,whole_entity,True,annual,tco2e_absolute
TGT014,BANK05,intensity_reduction,scope_3_cat15_financed,tco2e_per_meur_lending,2022,658.7,2030,30,NZBA,behind,gross,,all_kyoto_7,scope3_cat15,True,UNEP_FI,True,"[{""year"": 2025, ""value"": 600.73, ""metric"": ""tco2e_per_meur_lending""}, {""year"": 2028, ""value"": 521.69, ""metric"": ""tco2e_per_meur_lending""}]",,,whole_entity,True,triennial,tco2e_per_meur
TGT015,BANK05,net_zero,all_scopes,tco2e,2020,6450940.0,2050,100,NZBA,on_track,net,TGT013,all_kyoto_7,all_scopes,True,UNEP_FI,False,,12.2,nature_based_removal,whole_entity,True,biennial,pct_reduction_vs_baseline
