vehicle_id,bank_id,vehicle_type,fuel_type,registration_year,emissions_g_co2_per_km,annual_km_2024,annual_fuel_consumption_l,annual_electricity_consumption_kwh,annual_km_2022,annual_km_2023,scope1_tco2e_2024,emission_factor_source,scope1_check,scope1_delta_pct,scope1_recalc,delta_pct,scope1_fuel_path,delta_fuel_path,scope1_tco2e_2024_clean,scope1_tco2e_2024_original
VEH0001,BANK01,executive,hybrid,2018,99,32020,1823.0,0.0,31500,31244,4.86741,DEFRA_fleet_average,3.16998,53.5467100738806,3.16998,0.0002054484940547,4.88564,0.3733390098329078,4.86741,4.8674
VEH0002,BANK01,suv,petrol,2021,171,17433,1380.2,0.0,16194,17569,3.685134,DEFRA_fleet_average,2.981043,23.61780759284585,2.981043,0.0009226343925622,3.1882620000000004,15.583349172684033,3.685134,3.6851
VEH0003,BANK01,sedan,petrol,2019,149,17170,1005.0,0.0,16122,18197,2.68335,manufacturer_declared,2.55833,4.8848272115012445,2.55833,0.0018633771848054,2.32155,15.582261850918558,2.68335,2.6833
VEH0004,BANK01,compact,electric,2018,3,23590,0.0,4246.2,21704,24671,0.0,DEFRA_fleet_average,0.07077,0.0423908435777903,0.07077,100.0,0.0,,0.0,0.0708
VEH0005,BANK01,van,petrol,2018,141,29833,1823.6,0.0,30301,29798,4.869012,DEFRA_fleet_average,4.206453,15.75072870183026,4.206453,0.0002464571780632,4.212516,15.58413071902872,4.869012,4.869
VEH0006,BANK01,suv,electric,2022,2,10646,0.0,1916.3,10690,10491,0.0,manufacturer_declared,0.021292,0.0375727972947635,0.021292,100.0,0.0,,0.0,0.0213
VEH0007,BANK01,sedan,diesel,2019,131,19475,1524.8,0.0,18696,20241,4.071216,NEDC,2.551225,59.57824182500564,2.551225,0.0003930045195414,0.0,,4.071216,4.0712
VEH0008,BANK01,compact,hybrid,2024,102,9240,702.2,0.0,9801,9246,1.874874,DEFRA_fleet_average,0.94248,98.93260334436803,0.94248,0.001386740626171,1.881896,0.3717527429783698,1.874874,1.8749
VEH0009,BANK01,executive,petrol,2023,162,33989,2987.5,0.0,32225,35121,7.976625,manufacturer_declared,5.506218,44.86531408672887,5.506218,0.0003134167439753,6.901125,15.584053324639097,7.976625,7.9766
VEH0010,BANK01,suv,diesel,2019,180,16942,1270.6,0.0,16524,17319,3.392502,manufacturer_declared,3.04956,11.245556736053723,3.04956,5.8953574055577504e-05,0.0,,3.392502,3.3925
VEH0011,BANK01,compact,diesel,2019,178,15511,1229.3,0.0,16565,15744,3.282231,NEDC,2.760958,18.87902677259125,2.760958,0.0009444884528636,0.0,,3.282231,3.2822
