bank_id,reporting_year,total_headcount,female_pct,board_female_pct,executive_female_pct,avg_training_hours_per_employee,esg_training_hours_per_employee,ceo_pay_ratio,voluntary_turnover_pct,lost_time_injury_rate
BANK01,2022,48000,53.8,31.5,29.2,22.9,5.0,163,9.2,0.11
BANK01,2023,47902,46.5,32.8,29.2,36.6,5.8,72,12.3,1.19
BANK01,2024,48781,52.1,36.5,34.2,42.0,6.6,73,11.7,0.34
BANK02,2022,36000,53.2,30.1,26.2,27.4,5.0,127,14.5,0.61
BANK02,2023,36538,46.8,32.0,26.8,44.2,5.8,91,13.6,0.81
BANK02,2024,36497,45.6,36.3,32.7,27.5,6.6,92,14.9,1.33
BANK03,2022,9500,45.8,33.1,30.9,39.6,5.0,141,7.1,1.24
BANK03,2023,9630,48.9,33.6,28.0,33.6,5.8,44,11.5,0.89
BANK03,2024,9592,47.1,36.8,34.7,29.6,6.6,115,8.6,0.37
BANK04,2022,950,46.0,36.1,32.7,47.1,8.0,40,14.6,0.91
BANK04,2023,954,46.0,39.3,35.9,45.4,9.5,45,14.3,0.49
BANK04,2024,931,49.1,45.5,40.5,34.5,11.0,138,11.9,0.98
BANK05,2022,2200,46.9,24.5,21.3,30.0,2.7,99,12.5,0.49
BANK05,2023,2220,52.8,26.7,21.4,33.2,2.8,176,13.5,1.12
BANK05,2024,2201,50.4,28.0,25.8,24.0,2.3,153,12.2,1.47
