investment_id,bank_id,asset_class,issuer_name,nace_code,country,nominal_amount_meur,market_value_meur,currency,esg_classification,purchase_date,issuer_revenue_meur,issuer_evic_meur,ppp_gdp_meur,pcaf_data_quality_score,counterparty_id,reporting_year
INV00001,BANK01,listed_equity,Manufacture 1,C25,IT,27.98,23.93,EUR,article_8,2019-05-26,168.8,457.8,,2,,2024
INV00002,BANK01,sovereign_bond,Sovereign 2,O84,DE,78.18,83.78,EUR,article_6,2019-12-11,,,4580000,3,,2024
INV00003,BANK01,sovereign_bond,Sovereign 3,O84,FR,20.66,20.62,EUR,not_applicable,2022-11-15,,,3680000,3,,2024
INV00004,BANK01,fund,Education 4,P85,LU,349.22,391.5,EUR,not_applicable,2024-11-14,,,,5,,2024
INV00005,BANK01,sovereign_bond,Sovereign 5,O84,IT,12.64,10.89,EUR,article_8,2020-02-19,,,3020000,3,,2024
INV00006,BANK01,corporate_bond,Residential 6,Q87,LU,15.74,16.92,EUR,article_8,2019-04-02,104.2,,,3,,2024
INV00007,BANK01,listed_equity,Manufacture 7,C22,AT,636.77,556.4,EUR,not_applicable,2020-04-21,2168.8,4478.7,,2,,2024
INV00008,BANK01,etf,Computer 8,J62,IT,44.92,45.11,EUR,not_applicable,2021-09-25,,,,5,,2024
INV00009,BANK01,sovereign_bond,Sovereign 9,O84,NL,13.25,12.12,EUR,not_applicable,2022-01-30,,,1120000,3,,2024
INV00010,BANK01,etf,"Electricity, 10",D35,BE,49.22,50.76,EUR,not_applicable,2022-03-13,,,,5,,2024
INV00011,BANK01,corporate_bond,Specialised 11,F43,IE,32.95,34.5,EUR,article_8,2024-03-09,347.3,,,4,,2024
INV00012,BANK01,sovereign_bond,Sovereign 12,O84,IT,2752.61,2522.48,EUR,article_6,2022-08-22,,,3020000,3,,2024
INV00013,BANK01,corporate_bond,Insurance 13,K65,BE,52.43,57.57,EUR,article_8,2022-09-08,600.9,,,3,,2024
INV00014,BANK01,sovereign_bond,Sovereign 14,O84,NL,154.53,147.25,EUR,article_8,2023-12-26,,,1120000,3,,2024
INV00015,BANK01,listed_equity,Food 15,I56,BE,33.62,35.36,EUR,article_8,2019-05-13,382.5,943.2,,2,,2024
INV00016,BANK01,sovereign_bond,Sovereign 16,O84,DE,268.09,267.01,EUR,not_applicable,2019-12-07,,,4580000,3,,2024
INV00017,BANK01,listed_equity,Wholesale 17,G46,IT,83.75,79.11,EUR,article_9,2019-05-02,425.6,1087.0,,2,,2024
INV00018,BANK01,listed_equity,Information 18,J63,IT,26.11,25.57,EUR,not_applicable,2019-04-06,255.4,584.2,,2,,2024
INV00019,BANK01,etf,Manufacture 19,C27,ES,246.09,226.51,EUR,not_applicable,2020-06-23,,,,5,,2024
INV00020,BANK01,corporate_bond,Manufacture 20,C19,FR,17.48,20.06,EUR,article_8,2021-01-01,199.5,,,3,,2024
INV00021,BANK01,fund,Civil 21,F42,IT,237.23,217.14,EUR,not_applicable,2022-02-16,,,,5,,2024
INV00022,BANK01,corporate_bond,Waste 22,E38,BE,376.43,397.53,EUR,article_8,2022-07-25,1934.5,,,4,,2024
INV00023,BANK01,sovereign_bond,Sovereign 23,O84,FR,214.42,208.24,EUR,not_applicable,2022-03-18,,,3680000,3,,2024
INV00024,BANK01,etf,Water 24,H50,FI,24.68,23.94,EUR,article_6,2022-09-30,,,,5,,2024
INV00025,BANK01,etf,Management 25,M70,LU,26.96,26.02,EUR,article_8,2023-09-10,,,,5,,2024
INV00026,BANK01,corporate_bond,Real 26,L68,FR,11.82,12.21,EUR,article_8,2019-11-26,33.1,,,3,,2024
INV00027,BANK01,sovereign_bond,Sovereign 27,O84,LU,676.66,641.14,EUR,article_6,2024-04-16,,,80000,3,,2024
INV00028,BANK01,sovereign_bond,Sovereign 28,O84,DE,2396.71,2469.58,EUR,not_applicable,2023-05-14,,,4580000,3,,2024
INV00029,BANK01,sovereign_bond,Sovereign 29,O84,PT,1440.77,1294.41,EUR,article_8,2021-09-07,,,390000,3,,2024
INV00030,BANK01,listed_equity,Human 30,Q86,IT,2011.24,1886.33,EUR,not_applicable,2021-04-27,4976.3,6911.6,,2,,2024
INV00031,BANK01,sovereign_bond,Sovereign 31,O84,BE,140.6,138.22,EUR,article_6,2020-12-25,,,680000,3,,2024
INV00032,BANK01,fund,Wholesale 32,G45,IE,401.28,441.95,EUR,not_applicable,2020-10-14,,,,5,,2024
INV00033,BANK01,corporate_bond,Residential 33,Q87,DE,2547.92,2190.44,EUR,article_9,2024-10-29,22962.4,,,3,,2024
INV00034,BANK01,fund,Construction 34,F41,IT,14.99,13.91,EUR,article_9,2020-05-10,,,,5,,2024
INV00035,BANK01,etf,Financial 35,K64,NL,414.69,355.44,EUR,article_8,2019-09-02,,,,5,,2024
INV00036,BANK01,corporate_bond,Civil 36,F42,AT,1176.98,1014.52,EUR,article_8,2024-09-26,3961.2,,,3,,2024
INV00037,BANK01,sovereign_bond,Sovereign 37,O84,IE,125.93,110.96,EUR,not_applicable,2020-04-02,,,520000,3,,2024
INV00038,BANK01,etf,Waste 38,E38,IT,107.7,121.04,EUR,not_applicable,2021-05-10,,,,5,,2024
INV00039,BANK01,corporate_bond,Manufacture 39,C30,DE,402.8,451.04,EUR,article_8,2021-09-29,4366.8,,,3,,2024
INV00040,BANK01,etf,Manufacture 40,C30,ES,54.73,59.45,EUR,article_9,2022-02-01,,,,5,,2024
INV00041,BANK01,sovereign_bond,Sovereign 41,O84,FR,800.4,749.6,EUR,article_6,2023-02-28,,,3680000,3,,2024
INV00042,BANK01,sovereign_bond,Sovereign 42,O84,IT,608.85,648.27,EUR,article_8,2022-06-02,,,3020000,3,,2024
