bank_id,table,field,row_id,old_value,new_value,reason
BANK01,vehicles,scope1_tco2e_2024,VEH0001,4.8674,4.86741,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0002,3.6851,3.685134,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0003,2.6833,2.68335,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0004,0.0708,0.0,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0005,4.869,4.869012,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0006,0.0213,0.0,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0007,4.0712,4.071216,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0008,1.8749,1.874874,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0009,7.9766,7.976625,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0010,3.3925,3.392502,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0011,3.2822,3.282231,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0012,3.0825,3.082515,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0014,5.4084,5.408352,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0015,0.1356,0.0,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0016,5.5969,5.596854,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0017,2.6147,2.614731,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0018,4.4987,4.498683,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0019,5.525,5.525031,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0020,3.0574,3.057417,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0021,1.5758,1.575834,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0022,2.5023,2.502324,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0023,2.6791,2.679078,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0024,0.0582,0.0,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0025,2.0917,2.091678,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0026,3.3535,3.35352,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0027,1.614,1.614015,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0028,1.374,1.373982,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0029,0.0439,0.0,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0030,4.2205,4.220469,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0031,5.831,5.831013,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0032,2.4439,2.443851,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0033,3.5351,3.53508,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0034,0.0186,0.0,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
BANK01,vehicles,scope1_tco2e_2024,VEH0035,0.0331,0.0,Recalculated Scope 1 fleet emissions from annual_fuel_consumption_l * 2.67 kgCO2/litre / 1000; electric vehicles set to zero.
