cons_id,bank_id,reporting_year,scope,consolidated_group_share_pct,other_investees_share_pct,consolidation_basis,note,is_synthetic
CON-BANK01-2022-scope1,BANK01,2022,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK01-2022-scope2,BANK01,2022,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK01-2023-scope1,BANK01,2023,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK01-2023-scope2,BANK01,2023,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK01-2024-scope1,BANK01,2024,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK01-2024-scope2,BANK01,2024,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK02-2022-scope1,BANK02,2022,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK02-2022-scope2,BANK02,2022,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK02-2023-scope1,BANK02,2023,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK02-2023-scope2,BANK02,2023,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK02-2024-scope1,BANK02,2024,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK02-2024-scope2,BANK02,2024,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK03-2022-scope1,BANK03,2022,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK03-2022-scope2,BANK03,2022,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK03-2023-scope1,BANK03,2023,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK03-2023-scope2,BANK03,2023,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK03-2024-scope1,BANK03,2024,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK03-2024-scope2,BANK03,2024,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK04-2022-scope1,BANK04,2022,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK04-2022-scope2,BANK04,2022,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK04-2023-scope1,BANK04,2023,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK04-2023-scope2,BANK04,2023,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK04-2024-scope1,BANK04,2024,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK04-2024-scope2,BANK04,2024,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK05-2022-scope1,BANK05,2022,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK05-2022-scope2,BANK05,2022,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK05-2023-scope1,BANK05,2023,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK05-2023-scope2,BANK05,2023,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK05-2024-scope1,BANK05,2024,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
CON-BANK05-2024-scope2,BANK05,2024,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
