section,chunk_index,char_count
General Requirements,1,7322
General Requirements,2,3757
Governance,1,7408
Governance,2,4511
Governance,3,8348
Governance,4,7899
Governance,5,6713
Strategy,1,9554
Strategy,2,7025
Strategy,3,9156
Strategy,4,5479
Strategy,5,7047
Strategy,6,8097
Strategy,7,9761
Strategy,8,8976
Strategy,9,9834
Strategy,10,7654
Risk Management,1,7022
Risk Management,2,7859
Risk Management,3,9152
Metrics and Targets,1,7286
Metrics and Targets,2,8991
Metrics and Targets,3,6949
Metrics and Targets,4,3809
