artifact,path,size_kb
global_style_guide.json,C:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\style\style_system\global_style_guide.json,8.11
language_rules\forbidden_reference_terms.json,C:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\style\style_system\language_rules\forbidden_reference_terms.json,0.7
language_rules\no_copying_rules.md,C:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\style\style_system\language_rules\no_copying_rules.md,1.37
layout_style_guide.json,C:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\style\style_system\layout_style_guide.json,4.44
section_blueprints\general_requirements_blueprint.json,C:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\style\style_system\section_blueprints\general_requirements_blueprint.json,7.61
section_blueprints\governance_blueprint.json,C:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\style\style_system\section_blueprints\governance_blueprint.json,8.85
section_blueprints\metrics_and_targets_blueprint.json,C:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\style\style_system\section_blueprints\metrics_and_targets_blueprint.json,8.87
section_blueprints\risk_management_blueprint.json,C:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\style\style_system\section_blueprints\risk_management_blueprint.json,9.35
section_blueprints\strategy_blueprint.json,C:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\style\style_system\section_blueprints\strategy_blueprint.json,11.04
section_style_guides\general_requirements_style.json,C:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\style\style_system\section_style_guides\general_requirements_style.json,5.31
section_style_guides\governance_style.json,C:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\style\style_system\section_style_guides\governance_style.json,5.28
section_style_guides\metrics_and_targets_style.json,C:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\style\style_system\section_style_guides\metrics_and_targets_style.json,5.48
section_style_guides\risk_management_style.json,C:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\style\style_system\section_style_guides\risk_management_style.json,4.96
section_style_guides\strategy_style.json,C:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\style\style_system\section_style_guides\strategy_style.json,5.79
style_artifact_validation.csv,C:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\style\style_system\style_artifact_validation.csv,2.75
style_artifacts_index.csv,C:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\style\style_system\style_artifacts_index.csv,3.03
style_extraction_audit_summary.md,C:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\style\style_system\style_extraction_audit_summary.md,2.13
table_patterns\table_patterns.json,C:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\style\style_system\table_patterns\table_patterns.json,7.38
