standard,paragraph_id,core_area,heading,text,source_document,source_markdown,order_index,is_appendix,source_hash,raw_block
IFRS_S1,1,Strategy,Unknown,"**The objective of IFRS S1** _**General Requirements for Disclosure of Sustainabilityrelated Financial Information**_ **is to require an entity to disclose information about its sustainability-related risks and opportunities that is useful to** _**primary users of general purpose financial reports**_ **in making decisions relating to providing resources to the entity.**[1]

- 2 Information about sustainability-related risks and opportunities is useful to primary users because an entity ’ s ability to generate cash flows over the short, medium and long term is inextricably linked to the interactions between the entity and its stakeholders, society, the economy and the natural environment throughout the entity ’ s _value chain_ . Together, the entity and the resources and relationships throughout its value chain form an interdependent system in which the entity operates. The entity ’ s dependencies on those resources and relationships and its impacts on those resources and relationships give rise to sustainability-related risks and opportunities for the entity.

- 3 **This Standard requires an entity to disclose information about all sustainability-related risks and opportunities that could reasonably be expected to affect the entity** ’ **s cash flows, its access to finance or cost of capital over the short, medium or long term. For the purposes of this Standard, these risks and opportunities are collectively referred to as** ‘ **sustainability-related risks and opportunities that could reasonably be** ’ ’

- **expected to affect the entity s prospects .**

- 4 This Standard also prescribes how an entity prepares and reports its _sustainability-related financial disclosures_ . It sets out general requirements for the content and presentation of those disclosures so that the information disclosed is useful to primary users in making decisions relating to providing resources to the entity.

## **Scope**

- 5 **An entity shall apply this Standard in preparing and reporting sustainability-related financial disclosures in accordance with** _**IFRS Sustainability Disclosure Standards**_ **.**

- 6 Sustainability-related risks and opportunities that could not reasonably be expected to affect an entity ’ s prospects are outside the scope of this Standard.

- 7 Other IFRS Sustainability Disclosure Standards specify information an entity is required to disclose about specific sustainability-related risks and opportunities.

> 1 Throughout this Standard, the terms ‘ primary users ’ and ‘ users ’ are used interchangeably, with the same meaning.

© IFRS Foundation

6

## IFRS SUSTAINABILITY DISCLOSURE STANDARDS",c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\IFRS\ifrs_s1.pdf,c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\ifrs_outputs\ifrs_disclosures\ifrs_s1.md,0,False,8fff2248ec27d782,"1 **The objective of IFRS S1** _**General Requirements for Disclosure of Sustainabilityrelated Financial Information**_ **is to require an entity to disclose information about its sustainability-related risks and opportunities that is useful to** _**primary users of general purpose financial reports**_ **in making decisions relating to providing resources to the entity.**[1] 

- 2 Information about sustainability-related risks and opportunities is useful to primary users because an entity ’ s ability to generate cash flows over the short, medium and long term is inextricably linked to the interactions between the entity and its stakeholders, society, the economy and the natural environment throughout the entity ’ s _value chain_ . Together, the entity and the resources and relationships throughout its value chain form an interdependent system in which the entity operates. The entity ’ s dependencies on those resources and relationships and its impacts on those resources and relationships give rise to sustainability-related risks and opportunities for the entity. 

- 3 **This Standard requires an entity to disclose information about all sustainability-related risks and opportunities that could reasonably be expected to affect the entity** ’ **s cash flows, its access to finance or cost of capital over the short, medium or long term. For the purposes of this Standard, these risks and opportunities are collectively referred to as** ‘ **sustainability-related risks and opportunities that could reasonably be** ’ ’ 

- **expected to affect the entity s prospects .** 

- 4 This Standard also prescribes how an entity prepares and reports its _sustainability-related financial disclosures_ . It sets out general requirements for the content and presentation of those disclosures so that the information disclosed is useful to primary users in making decisions relating to providing resources to the entity. 

## **Scope** 

- 5 **An entity shall apply this Standard in preparing and reporting sustainability-related financial disclosures in accordance with** _**IFRS Sustainability Disclosure Standards**_ **.** 

- 6 Sustainability-related risks and opportunities that could not reasonably be expected to affect an entity ’ s prospects are outside the scope of this Standard. 

- 7 Other IFRS Sustainability Disclosure Standards specify information an entity is required to disclose about specific sustainability-related risks and opportunities. 

> 1 Throughout this Standard, the terms ‘ primary users ’ and ‘ users ’ are used interchangeably, with the same meaning. 

© IFRS Foundation 

6 

## IFRS SUSTAINABILITY DISCLOSURE STANDARDS"
IFRS_S1,13,General Requirements,Unknown,"**Fair presentation requires disclosure of relevant information about sustainability-related risks and opportunities that could reasonably be expected to affect the entity** ’ **s prospects, and their faithful representation in accordance with the principles set out in this Standard. To achieve faithful representation, an entity shall provide a complete, neutral and accurate depiction of those sustainability-related risks and opportunities.**",c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\IFRS\ifrs_s1.pdf,c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\ifrs_outputs\ifrs_disclosures\ifrs_s1.md,5,False,6cbceb363569176c,"13 **Fair presentation requires disclosure of relevant information about sustainability-related risks and opportunities that could reasonably be expected to affect the entity** ’ **s prospects, and their faithful representation in accordance with the principles set out in this Standard. To achieve faithful representation, an entity shall provide a complete, neutral and accurate depiction of those sustainability-related risks and opportunities.**"
IFRS_S1,14,Risk Management,Unknown,"Materiality is an entity-specific aspect of relevance based on the nature or magnitude, or both, of the items to which the information relates, in the context of the entity ’ s sustainability-related financial disclosures.

- 15

Fair presentation also requires an entity:

- (a) to disclose information that is comparable, verifiable, timely and understandable; and

- (b) to disclose additional information if compliance with the specifically applicable requirements in IFRS Sustainability Disclosure Standards is insufficient to enable _users of general purpose financial reports_ to understand the effects of sustainability-related risks and opportunities

© IFRS Foundation

7

## IFRS S1 GENERAL REQUIREMENTS FOR DISCLOSURE OF SUSTAINABILITYRELATED FINANCIAL INFORMATION — JUNE 2023

on the entity ’ s cash flows, its access to finance and cost of capital over the short, medium and long term.

- 16 Applying IFRS Sustainability Disclosure Standards, with additional information disclosed when necessary (see paragraph 15(b)), is presumed to result in sustainability-related financial disclosures that achieve fair presentation.

## **Materiality**

- 17 **An entity shall disclose** _**material information**_ **about the sustainability-related risks and opportunities that could reasonably be expected to affect the entity** ’ **s prospects.**

- 18 **In the context of sustainability-related financial disclosures, information is material if omitting, misstating or obscuring that information could reasonably be expected to influence decisions that primary users of general purpose financial reports make on the basis of those reports, which include financial statements and sustainability-related financial disclosures and which provide information about a specific** _**reporting entity**_ **.**

- 19 To identify and disclose material information, an entity shall apply paragraphs B13 – B37.

## **Reporting entity**",c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\IFRS\ifrs_s1.pdf,c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\ifrs_outputs\ifrs_disclosures\ifrs_s1.md,6,False,fdd827b89bf04195,"14 Materiality is an entity-specific aspect of relevance based on the nature or magnitude, or both, of the items to which the information relates, in the context of the entity ’ s sustainability-related financial disclosures. 

- 15 

Fair presentation also requires an entity: 

- (a) to disclose information that is comparable, verifiable, timely and understandable; and 

- (b) to disclose additional information if compliance with the specifically applicable requirements in IFRS Sustainability Disclosure Standards is insufficient to enable _users of general purpose financial reports_ to understand the effects of sustainability-related risks and opportunities 

© IFRS Foundation 

7 

## IFRS S1 GENERAL REQUIREMENTS FOR DISCLOSURE OF SUSTAINABILITYRELATED FINANCIAL INFORMATION — JUNE 2023 

on the entity ’ s cash flows, its access to finance and cost of capital over the short, medium and long term. 

- 16 Applying IFRS Sustainability Disclosure Standards, with additional information disclosed when necessary (see paragraph 15(b)), is presumed to result in sustainability-related financial disclosures that achieve fair presentation. 

## **Materiality** 

- 17 **An entity shall disclose** _**material information**_ **about the sustainability-related risks and opportunities that could reasonably be expected to affect the entity** ’ **s prospects.** 

- 18 **In the context of sustainability-related financial disclosures, information is material if omitting, misstating or obscuring that information could reasonably be expected to influence decisions that primary users of general purpose financial reports make on the basis of those reports, which include financial statements and sustainability-related financial disclosures and which provide information about a specific** _**reporting entity**_ **.** 

- 19 To identify and disclose material information, an entity shall apply paragraphs B13 – B37. 

## **Reporting entity**"
IFRS_S1,20,Governance,Unknown,"**An entity** ’ **s sustainability-related financial disclosures shall be for the same reporting entity as the related financial statements (see paragraph B38).**

## **Connected information**

- 21 **An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections:**

- **(a) the connections between the items to which the information relates** — **such as connections between various sustainability-related risks**

- **and opportunities that could reasonably be expected to affect the entity** ’ **s prospects; and**

- **(b) the connections between disclosures provided by the entity:**

- **(i) within its sustainability-related financial disclosures** — **such as connections between disclosures on governance, strategy, risk management and metrics and targets; and**

- **(ii) across its sustainability-related financial disclosures and other** _**general purpose financial reports**_ **published by the entity** — **such as its related financial statements (see paragraphs**

- **B39** – **B44).**

- 22 **An entity shall identify the financial statements to which the sustainabilityrelated financial disclosures relate.**

© IFRS Foundation

8

## IFRS SUSTAINABILITY DISCLOSURE STANDARDS",c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\IFRS\ifrs_s1.pdf,c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\ifrs_outputs\ifrs_disclosures\ifrs_s1.md,7,False,e0ca5a312935d4f6,"20 **An entity** ’ **s sustainability-related financial disclosures shall be for the same reporting entity as the related financial statements (see paragraph B38).** 

## **Connected information** 

- 21 **An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections:** 

 - **(a) the connections between the items to which the information relates** — **such as connections between various sustainability-related risks** 

 - **and opportunities that could reasonably be expected to affect the entity** ’ **s prospects; and** 

 - **(b) the connections between disclosures provided by the entity:** 

 - **(i) within its sustainability-related financial disclosures** — **such as connections between disclosures on governance, strategy, risk management and metrics and targets; and** 

 - **(ii) across its sustainability-related financial disclosures and other** _**general purpose financial reports**_ **published by the entity** — **such as its related financial statements (see paragraphs** 

 - **B39** – **B44).** 

- 22 **An entity shall identify the financial statements to which the sustainabilityrelated financial disclosures relate.** 

© IFRS Foundation 

8 

## IFRS SUSTAINABILITY DISCLOSURE STANDARDS"
IFRS_S1,24,Governance,Unknown,"**When currency is specified as the unit of measure in the sustainabilityrelated financial disclosures, the entity shall use the presentation currency of its related financial statements.**

## **Core content**

- 25 **Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about:**

- **(a) governance** — **the governance processes, controls and procedures the entity uses to monitor and manage sustainability-related risks and** –

- **opportunities (see paragraphs 26 27);**

-

- **(b) strategy the approach the entity uses to manage sustainability-** –

- **related risks and opportunities (see paragraphs 28 42);**

-

- **(c) risk management the processes the entity uses to identify, assess, prioritise and monitor sustainability-related risks and opportunities** –

- **(see paragraphs 43 44); and**

- ’

- **(d) metrics and targets the entity s performance in relation to sustainability-related risks and opportunities, including progress towards any targets the entity has set or is required to meet by law** –

- **or regulation (see paragraphs 45 53).**

## **Governance**",c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\IFRS\ifrs_s1.pdf,c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\ifrs_outputs\ifrs_disclosures\ifrs_s1.md,9,False,f4c5069ed6fa8049,"24 **When currency is specified as the unit of measure in the sustainabilityrelated financial disclosures, the entity shall use the presentation currency of its related financial statements.** 

## **Core content** 

- 25 **Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about:** 

 - **(a) governance** — **the governance processes, controls and procedures the entity uses to monitor and manage sustainability-related risks and** – 

 - **opportunities (see paragraphs 26 27);** 

 - 

 - **(b) strategy the approach the entity uses to manage sustainability-** – 

 - **related risks and opportunities (see paragraphs 28 42);** 

 - 

 - **(c) risk management the processes the entity uses to identify, assess, prioritise and monitor sustainability-related risks and opportunities** – 

 - **(see paragraphs 43 44); and** 

 - ’ 

 - **(d) metrics and targets the entity s performance in relation to sustainability-related risks and opportunities, including progress towards any targets the entity has set or is required to meet by law** – 

 - **or regulation (see paragraphs 45 53).** 

## **Governance**"
IFRS_S1,27,Governance,Unknown,"To achieve this objective, an entity shall disclose information about:

- (a) the governance body(s) (which can include a board, committee or equivalent body charged with governance) or individual(s) responsible for oversight of sustainability-related risks and opportunities. Specifically, the entity shall identify that body(s) or individual(s) and disclose information about:

- (i) how responsibilities for sustainability-related risks and opportunities are reflected in the terms of reference, mandates, role descriptions and other related policies applicable to that body(s) or individual(s);

© IFRS Foundation

9

## IFRS S1 GENERAL REQUIREMENTS FOR DISCLOSURE OF SUSTAINABILITYRELATED FINANCIAL INFORMATION — JUNE 2023

- (ii) how the body(s) or individual(s) determines whether appropriate skills and competencies are available or will be developed to oversee strategies designed to respond to sustainability-related risks and opportunities;

- (iii) how and how often the body(s) or individual(s) is informed about sustainability-related risks and opportunities;

- (iv) how the body(s) or individual(s) takes into account sustainability-related risks and opportunities when overseeing the entity ’ s strategy, its decisions on major transactions and its risk management processes and related policies, including whether the body(s) or individual(s) has considered trade-offs associated with those risks and opportunities; and

- (v) how the body(s) or individual(s) oversees the setting of targets related to sustainability-related risks and opportunities, and monitors progress towards those targets (see paragraph 51), including whether and how related performance metrics are included in remuneration policies.

- (b) management ’ s role in the governance processes, controls and procedures used to monitor, manage and oversee sustainability-related risks and opportunities, including information about:

- (i) whether the role is delegated to a specific management-level position or management-level committee and how oversight is exercised over that position or committee; and

- (ii) whether management uses controls and procedures to support the oversight of sustainability-related risks and opportunities and, if so, how these controls and procedures are integrated with other internal functions.

## **Strategy**",c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\IFRS\ifrs_s1.pdf,c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\ifrs_outputs\ifrs_disclosures\ifrs_s1.md,11,False,c9055480b2ed71f4,"27 To achieve this objective, an entity shall disclose information about: 

- (a) the governance body(s) (which can include a board, committee or equivalent body charged with governance) or individual(s) responsible for oversight of sustainability-related risks and opportunities. Specifically, the entity shall identify that body(s) or individual(s) and disclose information about: 

 - (i) how responsibilities for sustainability-related risks and opportunities are reflected in the terms of reference, mandates, role descriptions and other related policies applicable to that body(s) or individual(s); 

© IFRS Foundation 

9 

## IFRS S1 GENERAL REQUIREMENTS FOR DISCLOSURE OF SUSTAINABILITYRELATED FINANCIAL INFORMATION — JUNE 2023 

 - (ii) how the body(s) or individual(s) determines whether appropriate skills and competencies are available or will be developed to oversee strategies designed to respond to sustainability-related risks and opportunities; 

 - (iii) how and how often the body(s) or individual(s) is informed about sustainability-related risks and opportunities; 

 - (iv) how the body(s) or individual(s) takes into account sustainability-related risks and opportunities when overseeing the entity ’ s strategy, its decisions on major transactions and its risk management processes and related policies, including whether the body(s) or individual(s) has considered trade-offs associated with those risks and opportunities; and 

 - (v) how the body(s) or individual(s) oversees the setting of targets related to sustainability-related risks and opportunities, and monitors progress towards those targets (see paragraph 51), including whether and how related performance metrics are included in remuneration policies. 

- (b) management ’ s role in the governance processes, controls and procedures used to monitor, manage and oversee sustainability-related risks and opportunities, including information about: 

 - (i) whether the role is delegated to a specific management-level position or management-level committee and how oversight is exercised over that position or committee; and 

 - (ii) whether management uses controls and procedures to support the oversight of sustainability-related risks and opportunities and, if so, how these controls and procedures are integrated with other internal functions. 

## **Strategy**"
IFRS_S1,28,Strategy,Unknown,"**The objective of sustainability-related financial disclosures on strategy is to enable users of general purpose financial reports to understand an entity** ’ **s strategy for managing sustainability-related risks and opportunities.**

- 29 Specifically, an entity shall disclose information to enable users of general purpose financial reports to understand:

- (a) the sustainability-related risks and opportunities that could reasonably ’ –

- be expected to affect the entity s prospects (see paragraphs 30 31);

- (b) the current and anticipated effects of those sustainability-related risks and opportunities on the entity ’ s _business model_ and value chain (see paragraph 32);

- (c) the effects of those sustainability-related risks and opportunities on the entity ’ s strategy and decision-making (see paragraph 33);

© IFRS Foundation

10

## IFRS SUSTAINABILITY DISCLOSURE STANDARDS

- (d) the effects of those sustainability-related risks and opportunities on the entity ’ s financial position, financial performance and cash flows for the reporting period, and their anticipated effects on the entity ’ s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how those sustainability-related risks and opportunities have been factored into ʼ –

- the entity s financial planning (see paragraphs 34 40); and

- (e) the resilience of the entity ’ s strategy and its business model to those –

- sustainability-related risks (see paragraphs 41 42).

## **Sustainability-related risks and opportunities**",c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\IFRS\ifrs_s1.pdf,c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\ifrs_outputs\ifrs_disclosures\ifrs_s1.md,12,False,37ca8caa0443552a,"28 **The objective of sustainability-related financial disclosures on strategy is to enable users of general purpose financial reports to understand an entity** ’ **s strategy for managing sustainability-related risks and opportunities.** 

- 29 Specifically, an entity shall disclose information to enable users of general purpose financial reports to understand: 

 - (a) the sustainability-related risks and opportunities that could reasonably ’ – 

 - be expected to affect the entity s prospects (see paragraphs 30 31); 

 - (b) the current and anticipated effects of those sustainability-related risks and opportunities on the entity ’ s _business model_ and value chain (see paragraph 32); 

 - (c) the effects of those sustainability-related risks and opportunities on the entity ’ s strategy and decision-making (see paragraph 33); 

© IFRS Foundation 

10 

## IFRS SUSTAINABILITY DISCLOSURE STANDARDS 

- (d) the effects of those sustainability-related risks and opportunities on the entity ’ s financial position, financial performance and cash flows for the reporting period, and their anticipated effects on the entity ’ s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how those sustainability-related risks and opportunities have been factored into ʼ – 

- the entity s financial planning (see paragraphs 34 40); and 

- (e) the resilience of the entity ’ s strategy and its business model to those – 

- sustainability-related risks (see paragraphs 41 42). 

## **Sustainability-related risks and opportunities**"
IFRS_S1,30,Strategy,Unknown,"An entity shall disclose information that enables users of general purpose financial reports to understand the sustainability-related risks and opportunities that could reasonably be expected to affect the entity ’ s prospects. Specifically, the entity shall:

- (a) describe sustainability-related risks and opportunities that could reasonably be expected to affect the entity ’ s prospects;

- (b) specify the time horizons — short, medium or long term — over which the effects of each of those sustainability-related risks and opportunities could reasonably be expected to occur; and

- (c) explain how the entity defines ‘ short term ’ , ‘ medium term ’ and ‘ long term ’ and how these definitions are linked to the planning horizons used by the entity for strategic decision-making.",c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\IFRS\ifrs_s1.pdf,c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\ifrs_outputs\ifrs_disclosures\ifrs_s1.md,13,False,0355addfe9e0febc,"30 An entity shall disclose information that enables users of general purpose financial reports to understand the sustainability-related risks and opportunities that could reasonably be expected to affect the entity ’ s prospects. Specifically, the entity shall: 

- (a) describe sustainability-related risks and opportunities that could reasonably be expected to affect the entity ’ s prospects; 

- (b) specify the time horizons — short, medium or long term — over which the effects of each of those sustainability-related risks and opportunities could reasonably be expected to occur; and 

- (c) explain how the entity defines ‘ short term ’ , ‘ medium term ’ and ‘ long term ’ and how these definitions are linked to the planning horizons used by the entity for strategic decision-making."
IFRS_S1,32,Strategy,Unknown,"An entity shall disclose information that enables users of general purpose financial reports to understand the current and anticipated effects of sustainability-related risks and opportunities on the entity ’ s business model and value chain. Specifically, the entity shall disclose:

- (a) a description of the current and anticipated effects of sustainabilityrelated risks and opportunities on the entity ’ s business model and value chain; and

- (b) a description of where in the entity ’ s business model and value chain sustainability-related risks and opportunities are concentrated (for example, geographical areas, facilities and types of assets).

© IFRS Foundation

11

## IFRS S1 GENERAL REQUIREMENTS FOR DISCLOSURE OF SUSTAINABILITYRELATED FINANCIAL INFORMATION — JUNE 2023

## **Strategy and decision-making**",c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\IFRS\ifrs_s1.pdf,c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\ifrs_outputs\ifrs_disclosures\ifrs_s1.md,15,False,5cba96c807916440,"32 An entity shall disclose information that enables users of general purpose financial reports to understand the current and anticipated effects of sustainability-related risks and opportunities on the entity ’ s business model and value chain. Specifically, the entity shall disclose: 

- (a) a description of the current and anticipated effects of sustainabilityrelated risks and opportunities on the entity ’ s business model and value chain; and 

- (b) a description of where in the entity ’ s business model and value chain sustainability-related risks and opportunities are concentrated (for example, geographical areas, facilities and types of assets). 

© IFRS Foundation 

11 

## IFRS S1 GENERAL REQUIREMENTS FOR DISCLOSURE OF SUSTAINABILITYRELATED FINANCIAL INFORMATION — JUNE 2023 

## **Strategy and decision-making**"
IFRS_S1,33,Strategy,Unknown,"An entity shall disclose information that enables users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on its strategy and decision-making. Specifically, the entity shall disclose information about:

- (a) how the entity has responded to, and plans to respond to, sustainability-related risks and opportunities in its strategy and decision-making;

- (b) the progress against plans the entity has disclosed in previous reporting periods, including quantitative and qualitative information; and

- (c) trade-offs between sustainability-related risks and opportunities that the entity considered (for example, in making a decision on the location of new operations, an entity might have considered the environmental impacts of those operations and the employment opportunities they would create in a community).

## **Financial position, financial performance and cash flows**",c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\gen_data\IFRS\ifrs_s1.pdf,c:\Users\BV426BP\Documents\IFRS Data\Reporting-Data-\notebooks\ifrs_outputs\ifrs_disclosures\ifrs_s1.md,16,False,89c94ef87e952eb1,"33 An entity shall disclose information that enables users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on its strategy and decision-making. Specifically, the entity shall disclose information about: 

- (a) how the entity has responded to, and plans to respond to, sustainability-related risks and opportunities in its strategy and decision-making; 

- (b) the progress against plans the entity has disclosed in previous reporting periods, including quantitative and qualitative information; and 

- (c) trade-offs between sustainability-related risks and opportunities that the entity considered (for example, in making a decision on the location of new operations, an entity might have considered the environmental impacts of those operations and the employment opportunities they would create in a community). 

## **Financial position, financial performance and cash flows**"
