company_id,reporting_year,board_oversight_exists,board_oversight_body,board_review_frequency,board_oversight_note,management_oversight_exists,management_oversight_body,management_review_frequency,management_oversight_note,formal_roles_documented,formal_roles_note,board_competency_process_exists,board_competency_approach,board_competency_note,executive_remuneration_linked_to_esg,executive_remuneration_link_type,executive_remuneration_note,governance_escalation_process_exists,governance_integration_with_risk_exists,source_document_name,source_document_type,governance_escalation_process_note,governance_risk_integration_note
C001,2020,True,Board Sustainability Committee,quarterly,Board Sustainability Committee reviews climate and sustainability-related matters.,False,,,No formal management-level oversight identified.,True,Roles and responsibilities are documented in governance policies or committee charters.,True,internal sustainability workshops,Board competency on sustainability-related issues is maintained through structured updates and training.,False,,No explicit ESG or climate linkage identified in executive remuneration.,True,True,Governance Source Pack 2020,annual governance memo,Material sustainability matters can be escalated from management to board-level governance bodies.,Governance bodies review sustainability matters in coordination with enterprise risk management processes.
C001,2021,True,Board Sustainability Committee,monthly,Board Sustainability Committee reviews climate and sustainability-related matters.,True,Executive Committee,quarterly,Executive Committee is responsible for day-to-day oversight of ESG and climate issues.,True,Roles and responsibilities are documented in governance policies or committee charters.,False,,No formal competency-building process identified.,True,climate targets,Executive remuneration includes selected ESG- or climate-related performance indicators.,True,True,Governance Source Pack 2021,committee terms of reference,Material sustainability matters can be escalated from management to board-level governance bodies.,Governance bodies review sustainability matters in coordination with enterprise risk management processes.
C001,2022,True,Board of Directors,annually,Board of Directors reviews climate and sustainability-related matters.,False,,,No formal management-level oversight identified.,True,Roles and responsibilities are documented in governance policies or committee charters.,True,internal sustainability workshops,Board competency on sustainability-related issues is maintained through structured updates and training.,False,,No explicit ESG or climate linkage identified in executive remuneration.,False,True,Governance Source Pack 2022,governance policy,No formal escalation process identified.,Governance bodies review sustainability matters in coordination with enterprise risk management processes.
C001,2023,True,Board of Directors,annually,Board of Directors reviews climate and sustainability-related matters.,True,Executive Committee,monthly,Executive Committee is responsible for day-to-day oversight of ESG and climate issues.,True,Roles and responsibilities are documented in governance policies or committee charters.,True,board training sessions,Board competency on sustainability-related issues is maintained through structured updates and training.,False,,No explicit ESG or climate linkage identified in executive remuneration.,True,True,Governance Source Pack 2023,committee terms of reference,Material sustainability matters can be escalated from management to board-level governance bodies.,Governance bodies review sustainability matters in coordination with enterprise risk management processes.
C001,2024,False,,,No formal board-level oversight identified.,True,Sustainability Department,semi-annually,Sustainability Department is responsible for day-to-day oversight of ESG and climate issues.,True,Roles and responsibilities are documented in governance policies or committee charters.,True,board training sessions,Board competency on sustainability-related issues is maintained through structured updates and training.,False,,No explicit ESG or climate linkage identified in executive remuneration.,True,True,Governance Source Pack 2024,board charter,Material sustainability matters can be escalated from management to board-level governance bodies.,Governance bodies review sustainability matters in coordination with enterprise risk management processes.
C002,2020,False,,,No formal board-level oversight identified.,True,Chief Risk Officer,semi-annually,Chief Risk Officer is responsible for day-to-day oversight of ESG and climate issues.,True,Roles and responsibilities are documented in governance policies or committee charters.,True,external expert briefings,Board competency on sustainability-related issues is maintained through structured updates and training.,True,broader ESG performance,Executive remuneration includes selected ESG- or climate-related performance indicators.,True,True,Governance Source Pack 2020,governance policy,Material sustainability matters can be escalated from management to board-level governance bodies.,Governance bodies review sustainability matters in coordination with enterprise risk management processes.
C002,2021,True,Board Risk Committee,monthly,Board Risk Committee reviews climate and sustainability-related matters.,True,Executive Committee,semi-annually,Executive Committee is responsible for day-to-day oversight of ESG and climate issues.,True,Roles and responsibilities are documented in governance policies or committee charters.,True,external expert briefings,Board competency on sustainability-related issues is maintained through structured updates and training.,False,,No explicit ESG or climate linkage identified in executive remuneration.,True,True,Governance Source Pack 2021,remuneration policy,Material sustainability matters can be escalated from management to board-level governance bodies.,Governance bodies review sustainability matters in coordination with enterprise risk management processes.
C002,2022,True,Board Sustainability Committee,monthly,Board Sustainability Committee reviews climate and sustainability-related matters.,True,Sustainability Department,semi-annually,Sustainability Department is responsible for day-to-day oversight of ESG and climate issues.,True,Roles and responsibilities are documented in governance policies or committee charters.,False,,No formal competency-building process identified.,True,emissions reduction objectives,Executive remuneration includes selected ESG- or climate-related performance indicators.,True,True,Governance Source Pack 2022,governance policy,Material sustainability matters can be escalated from management to board-level governance bodies.,Governance bodies review sustainability matters in coordination with enterprise risk management processes.
C002,2023,False,,,No formal board-level oversight identified.,True,Chief Sustainability Officer,monthly,Chief Sustainability Officer is responsible for day-to-day oversight of ESG and climate issues.,False,Roles and responsibilities are not formally documented.,True,internal sustainability workshops,Board competency on sustainability-related issues is maintained through structured updates and training.,False,,No explicit ESG or climate linkage identified in executive remuneration.,False,False,Governance Source Pack 2023,remuneration policy,No formal escalation process identified.,Governance and risk management processes appear only partially connected.
C002,2024,False,,,No formal board-level oversight identified.,True,Chief Sustainability Officer,annually,Chief Sustainability Officer is responsible for day-to-day oversight of ESG and climate issues.,True,Roles and responsibilities are documented in governance policies or committee charters.,True,board training sessions,Board competency on sustainability-related issues is maintained through structured updates and training.,False,,No explicit ESG or climate linkage identified in executive remuneration.,True,False,Governance Source Pack 2024,remuneration policy,Material sustainability matters can be escalated from management to board-level governance bodies.,Governance and risk management processes appear only partially connected.
C003,2020,True,Board of Directors,monthly,Board of Directors reviews climate and sustainability-related matters.,True,ESG Steering Committee,annually,ESG Steering Committee is responsible for day-to-day oversight of ESG and climate issues.,True,Roles and responsibilities are documented in governance policies or committee charters.,False,,No formal competency-building process identified.,False,,No explicit ESG or climate linkage identified in executive remuneration.,True,False,Governance Source Pack 2020,remuneration policy,Material sustainability matters can be escalated from management to board-level governance bodies.,Governance and risk management processes appear only partially connected.
C003,2021,True,Board Audit Committee,semi-annually,Board Audit Committee reviews climate and sustainability-related matters.,True,Chief Risk Officer,monthly,Chief Risk Officer is responsible for day-to-day oversight of ESG and climate issues.,True,Roles and responsibilities are documented in governance policies or committee charters.,True,internal sustainability workshops,Board competency on sustainability-related issues is maintained through structured updates and training.,False,,No explicit ESG or climate linkage identified in executive remuneration.,True,True,Governance Source Pack 2021,annual governance memo,Material sustainability matters can be escalated from management to board-level governance bodies.,Governance bodies review sustainability matters in coordination with enterprise risk management processes.
C003,2022,True,Board Risk Committee,monthly,Board Risk Committee reviews climate and sustainability-related matters.,True,Executive Committee,annually,Executive Committee is responsible for day-to-day oversight of ESG and climate issues.,True,Roles and responsibilities are documented in governance policies or committee charters.,True,internal sustainability workshops,Board competency on sustainability-related issues is maintained through structured updates and training.,False,,No explicit ESG or climate linkage identified in executive remuneration.,False,True,Governance Source Pack 2022,annual governance memo,No formal escalation process identified.,Governance bodies review sustainability matters in coordination with enterprise risk management processes.
